,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,input_26,input_27,input_28,input_29,input_30,input_31,input_32,input_33,input_34,input_35,input_36,input_37,input_38,input_39,input_40,input_41,input_42,input_43,input_44,input_45,input_46,input_47,input_48,input_49,input_50,input_51,input_52,input_53,input_54,input_55,input_56,input_57,input_58,input_59,input_60,input_61,input_62,input_63,input_64
neuron_12,0.031837862,0.040640708,0.037720114,6.176698e-35,-5.3927144e-34,-1.9650969e-34,-3.465118e-34,1.6108685e-34,3.894093e-34,-3.843771e-34,0.035267133,4.5420835e-34,-7.16751e-35,-2.9822377e-34,0.03963803,-1.6442824e-35,0.03544001,-2.6761236e-34,-6.996213e-35,-0.028222848,0.043904208,0.03736688,-0.041090954,-0.029363291,5.7007036e-34,-2.6812504e-35,0.036225338,0.04487787,0.044011887,0.032672167,0.03924808,1.6908465e-34,4.809798e-34,2.1705354e-34,-4.8044364e-34,5.7985153e-34,-4.151114e-34,0.036916643,1.9597743e-34,3.067598e-34,0.03926207,1.2520668e-34,-0.036325857,1.8623995e-35,-3.6322674e-34,-4.5147446e-34,-0.03177573,0.04290675,3.1461367e-34,0.03793524,3.5159158e-34,0.041757558,4.66458e-34,0.03800229,0.039593756,2.5745243e-34,-0.03416974,3.4051387e-34,-2.6643087e-34,0.03664994,-0.036621314,1.3561063e-34,-3.6475952e-34,-0.032285456
neuron_13,-0.016209012,-0.021823348,-0.020671481,-4.0112133e-34,2.5574645e-34,2.4869355e-34,7.6796555e-35,8.3107123e-35,-2.8511205e-34,-2.6334414e-34,-0.019261194,9.2934273e-35,3.3042219e-34,-4.1559033e-34,-0.022492016,-2.8677234e-34,-0.01814879,-3.2264783e-35,-2.7385655e-34,0.02649286,-0.025483727,-0.019933464,0.038102414,0.026734147,-5.4959876e-34,-2.4956016e-34,-0.01789481,-0.024974996,-0.025094252,-0.016790532,-0.020748202,-4.077586e-34,1.4673339e-34,-1.1512856e-34,3.353127e-34,-1.970606e-34,3.5405555e-34,-0.02060416,4.51822e-34,-1.0381459e-34,-0.021942206,-2.7398682e-34,0.03483998,2.1621951e-34,-5.5327493e-34,-1.0368703e-34,0.029360382,-0.02074937,-1.005902e-35,-0.019775132,3.8224252e-34,-0.02146841,-4.6653957e-34,-0.020124521,-0.021446677,4.3904273e-34,0.03159392,3.496832e-34,-3.2134276e-34,-0.019211343,0.03319855,-7.4619876e-35,-1.102431e-34,0.02907182
neuron_14,0.026921978,0.038517673,0.03389411,2.9512464e-34,1.3774868e-34,-2.0667092e-34,1.3875879e-34,-3.3848755e-34,4.2919595e-34,2.9230166e-34,0.0336879,-4.698619e-34,4.455993e-34,3.7600184e-34,0.038041472,-4.934494e-34,0.034945533,-3.3622093e-34,-2.737236e-34,-0.025662735,0.043954063,0.034745302,-0.034503914,-0.028304579,6.588462e-35,4.4158736e-34,0.033921737,0.04165129,0.03984838,0.028955294,0.037049554,-1.0580835e-34,1.5653708e-35,1.2426052e-34,-4.9952926e-34,2.6942937e-34,1.1100138e-34,0.036064137,-1.1441938e-34,-2.705504e-34,0.038107675,-2.357962e-34,-0.030752182,3.7229022e-34,2.7796169e-34,-5.646325e-34,-0.03059821,0.0406464,-1.1009438e-34,0.03479129,-2.0632337e-34,0.03647699,-3.4173917e-34,0.034605082,0.035490178,8.084153e-35,-0.033613607,-3.3874246e-34,4.142728e-34,0.035029005,-0.035092793,3.3158632e-34,7.0951674e-35,-0.026594084
neuron_15,-0.018178467,-0.024890808,-0.023009121,-4.229112e-34,8.6791294e-35,2.621885e-34,9.97989e-35,-2.188342e-34,-4.40573e-34,-3.357964e-34,-0.021148873,-5.8125413e-34,2.0811907e-34,-1.3891642e-34,-0.025019167,-4.203667e-34,-0.02134808,3.2265894e-34,-1.7049338e-34,0.027217792,-0.028315585,-0.023460776,0.038635015,0.029020498,-1.2383748e-34,-4.3220177e-34,-0.02068491,-0.028819412,-0.02773519,-0.01861074,-0.02422481,-3.918721e-34,-3.3537995e-34,-5.938202e-35,-2.8533362e-34,-3.8980936e-34,-3.711836e-34,-0.022441775,-1.8786241e-34,-2.8055324e-34,-0.025357664,2.4248612e-34,0.03527325,-3.7213116e-34,4.8253314e-35,1.1050224e-34,0.03185978,-0.025573343,1.0907306e-34,-0.022286007,-2.8271827e-35,-0.022839678,3.609653e-34,-0.023028191,-0.023513054,-2.6885605e-35,0.03261948,5.269032e-34,5.364653e-34,-0.022184558,0.0347874,-4.5701453e-34,-1.6596003e-34,0.029550988
neuron_16,-0.017578892,-0.02492874,-0.023893993,-4.0004906e-34,2.0697048e-34,5.7361525e-34,-1.7274905e-34,1.9671728e-34,-2.132176e-34,-3.754523e-34,-0.021072922,-3.7164227e-34,-1.9510543e-34,-4.1984264e-34,-0.025620406,6.35907e-35,-0.02162179,-4.698905e-34,-2.5775873e-34,0.02560677,-0.0286282,-0.024015322,0.034499723,0.02583054,3.507568e-34,-3.2266787e-34,-0.021929331,-0.029000182,-0.027964463,-0.021308444,-0.024455734,-2.1211545e-34,2.3944014e-34,2.700796e-34,-3.1693238e-34,-5.3676966e-34,-5.3477793e-34,-0.024802012,5.862102e-34,-4.8363804e-35,-0.024923628,1.2357692e-34,0.032761842,5.569708e-34,2.9696378e-34,1.6145134e-34,0.027732776,-0.02527632,2.6500847e-34,-0.022973955,3.991079e-36,-0.024220092,-3.3922802e-34,-0.022640128,-0.023942454,4.00103e-34,0.030069863,5.03085e-34,-3.9332757e-34,-0.02241784,0.032092232,-6.0158277e-36,-1.9272147e-34,0.027605584
neuron_17,1.9349613e-35,2.5405553e-34,3.1207683e-34,1.0082422e-34,-3.7795978e-34,5.4605346e-35,2.9823835e-34,1.146413e-34,1.6945518e-34,1.9587423e-34,-9.980953e-35,-3.6855427e-35,-3.2042112e-34,-3.2490875e-34,9.756541e-35,-7.3733205e-35,5.2481888e-34,4.039595e-34,2.9582236e-34,-4.650842e-34,-3.683518e-34,8.84174e-35,-4.7750587e-34,1.9662356e-34,1.6396957e-34,-1.4004715e-34,-2.9063854e-34,2.847175e-35,-1.7817778e-34,1.7579241e-34,1.9193573e-34,5.0882164e-34,5.638444e-34,4.852366e-34,4.8192986e-34,3.2726674e-34,-5.581102e-34,-1.3624604e-34,4.7280298e-34,2.1361506e-34,-2.3528227e-34,5.39176e-34,-8.979444e-35,3.1347783e-34,1.1213131e-34,-2.6313218e-34,1.6103803e-34,4.04811e-34,2.860256e-35,-1.7505626e-34,1.3496246e-34,-2.942328e-34,1.6850535e-34,-4.022209e-34,1.1102395e-36,-4.495986e-34,-6.4637105e-35,-4.642456e-34,5.6372554e-34,2.628837e-34,-4.3519593e-35,-1.3085111e-34,3.655511e-35,1.6203277e-34
neuron_18,-0.019043973,-0.024564026,-0.024817424,2.2096144e-34,7.171664e-35,3.065254e-34,2.008165e-34,1.7129501e-34,-2.8635398e-34,-3.7971255e-34,-0.021506542,3.7367875e-34,-2.6735147e-34,-2.1766507e-34,-0.025388319,-3.5892868e-34,-0.019630289,4.9844946e-34,3.3279264e-34,0.02477579,-0.028515477,-0.02396349,0.034813073,0.025399268,5.7493837e-34,-1.1081384e-34,-0.019205786,-0.026507389,-0.02795164,-0.020993885,-0.024011143,3.5601486e-34,-1.6182235e-34,-4.5878245e-34,6.6572653e-35,3.1367185e-34,3.7385565e-34,-0.024280395,-4.0564675e-34,-3.28596e-35,-0.025582641,2.7361739e-34,0.033441182,-1.7757308e-34,1.4506188e-34,4.1726505e-34,0.027151285,-0.025377221,5.0198274e-34,-0.02295956,-4.8991455e-34,-0.023980824,3.9891264e-34,-0.021460714,-0.023175707,-2.895114e-34,0.029209848,4.4254024e-34,4.6290683e-34,-0.022386221,0.031109057,-4.87877e-35,-3.9524877e-34,0.026940852
neuron_19,-0.019486345,-0.0265462,-0.024744263,3.0765465e-34,-1.5764928e-34,-1.4060382e-34,5.467132e-34,-1.0122631e-34,-2.438733e-34,-4.60119e-34,-0.02303008,1.3202994e-34,5.7340054e-34,5.9162194e-34,-0.026926313,2.2553168e-34,-0.022682954,3.044111e-34,-4.631612e-34,0.027438993,-0.029746529,-0.02352123,0.039640162,0.02827007,1.1190449e-34,3.8297252e-34,-0.020711416,-0.030054152,-0.028279668,-0.021721428,-0.02574895,-1.4159312e-34,2.442685e-34,3.5201682e-35,7.930032e-35,5.930389e-34,2.666724e-35,-0.02487823,-1.7331459e-34,1.8544925e-34,-0.027860103,5.1086445e-35,0.03639047,3.0907225e-34,-5.340819e-34,-4.0280766e-34,0.030907264,-0.026253792,1.1392216e-34,-0.023137655,3.591279e-34,-0.027478226,-3.5252488e-34,-0.023498975,-0.0233891,3.325803e-34,0.03255446,5.7788717e-34,2.1156926e-34,-0.02404504,0.03576483,-1.9372032e-34,-4.989385e-34,0.030384928
neuron_20,0.028211763,0.03625694,0.033598777,3.2848065e-34,1.2561027e-34,1.5975051e-34,4.9639152e-36,-2.02254e-34,-5.5220555e-34,2.451083e-34,0.03258048,4.6500724e-34,-3.3565642e-34,3.6614326e-34,0.036040418,3.3793052e-34,0.033641607,-2.6743824e-34,2.986295e-34,-0.029948138,0.040691234,0.03247093,-0.040372618,-0.031865668,3.2925372e-34,8.363444e-35,0.0327815,0.04133319,0.040042985,0.027929945,0.03518996,4.7894356e-34,-1.4382093e-34,-2.8352857e-34,3.5747665e-34,-4.179573e-34,-3.2260565e-34,0.033757813,-4.544462e-34,-1.6417759e-34,0.035030432,2.477551e-34,-0.03497076,-9.826949e-35,3.0877906e-34,4.79476e-34,-0.034698483,0.037666358,-5.465775e-34,0.032977648,-1.947496e-34,0.035868086,-2.616825e-34,0.03459619,0.036100004,8.371383e-35,-0.037156835,3.1257325e-34,1.2973389e-34,0.033021245,-0.03707092,-3.0892437e-34,1.4972039e-35,-0.033099003
neuron_21,0.025842544,0.03469712,0.034215532,1.0209787e-34,9.565155e-35,-1.8958832e-34,-3.1545043e-34,3.8394992e-35,-1.439585e-34,1.7766214e-34,0.029659364,5.090446e-34,3.1848731e-34,-4.969203e-34,0.033408493,9.529448e-36,0.03146921,-8.6162364e-35,1.0435658e-34,-0.03038695,0.04065061,0.032508053,-0.0410684,-0.030057339,-6.1532595e-35,-4.171827e-34,0.030982368,0.038608275,0.03826917,0.025957664,0.033020295,1.2494665e-34,-1.8793658e-34,-2.7560333e-34,2.417551e-35,-5.2495594e-34,4.2546926e-34,0.031711448,3.5454255e-34,-4.4223438e-35,0.03297168,3.418917e-34,-0.03581616,4.1000646e-34,8.9519635e-36,-4.9857973e-34,-0.033921584,0.037756264,-3.686044e-34,0.032213796,1.1690767e-34,0.03496313,5.062147e-34,0.03158209,0.034709994,-2.7771518e-34,-0.036199838,6.6704374e-35,1.2477402e-34,0.031811297,-0.037757404,4.008742e-34,2.933678e-34,-0.033756293
neuron_22,-3.2719116e-34,2.0025242e-34,-2.8764923e-34,2.5311348e-34,-2.110877e-34,5.301897e-34,-1.0815198e-34,-3.4819936e-34,-2.5104872e-34,-8.278318e-35,2.6143954e-34,3.870202e-34,9.20208e-35,-3.3113304e-34,-4.12684e-34,-2.3221615e-34,-5.84142e-34,4.5365e-34,2.5677432e-34,-4.927665e-35,-3.922554e-35,-3.5207516e-34,2.432243e-35,-2.994023e-35,5.646299e-36,5.7884115e-34,-5.2657693e-34,-1.0332864e-34,-2.7614502e-34,5.01419e-34,5.0820455e-35,3.432637e-34,-4.412244e-34,3.7553755e-34,-2.5772893e-34,7.184421e-35,-2.6488448e-35,5.7202622e-34,3.6091166e-34,-2.1050151e-35,-2.8942508e-34,6.325442e-35,5.367332e-34,-5.3090123e-35,4.853807e-34,-2.2620221e-34,7.511035e-35,-1.4690531e-34,-2.3719648e-34,3.0270215e-34,-4.3136873e-34,4.4883106e-34,4.4949486e-36,2.9189146e-34,-2.8668705e-34,-5.707816e-34,1.5490592e-34,-3.050651e-35,5.371744e-34,5.4796927e-34,-6.680648e-36,2.6099988e-34,-5.168544e-34,-5.763243e-34
neuron_23,-0.016476676,-0.0221945,-0.021096833,3.0109223e-34,-1.0154138e-34,1.4714416e-34,-3.7812193e-34,-1.1060745e-34,4.0382364e-34,-3.8796567e-34,-0.01858899,-6.8049844e-36,-5.5519086e-35,7.9519277e-35,-0.021697965,-1.321791e-34,-0.019263998,-4.46053e-34,4.822568e-34,0.021734497,-0.02458474,-0.021190144,0.03183363,0.022302061,-4.5089507e-34,-2.6159006e-34,-0.0178033,-0.02434312,-0.024703333,-0.019047894,-0.0197592,6.6211786e-36,-1.9793562e-34,2.2916428e-34,-4.7312913e-34,5.0600624e-34,6.780652e-35,-0.020136738,1.1301599e-34,3.6453838e-34,-0.021972336,2.1948527e-34,0.02935586,3.37063e-34,2.211284e-37,-4.7640706e-34,0.024991928,-0.019867761,-5.584575e-34,-0.019337686,-1.0861178e-34,-0.020787992,-1.638742e-34,-0.020429516,-0.021133013,2.0004687e-34,0.027399017,1.2364117e-34,-3.550192e-34,-0.019439187,0.027764756,2.9965932e-34,3.8767648e-34,0.023619557
neuron_24,-0.01854741,-0.025184646,-0.023184665,9.107998e-35,-5.0843345e-36,8.518385e-35,-2.7181098e-34,3.6448303e-34,-1.944403e-34,-8.2287096e-35,-0.021070695,-5.6124924e-34,-4.940735e-35,-1.967779e-34,-0.025558386,-1.2135389e-34,-0.021193262,4.8068118e-34,-3.6900967e-34,0.027759418,-0.02616971,-0.02320622,0.04037029,0.028976478,-7.4723656e-35,4.7308523e-34,-0.020546317,-0.027168147,-0.027935231,-0.019411232,-0.023515226,-2.075321e-34,-2.2433832e-34,-9.822637e-35,-2.6399607e-09,1.8857795e-34,5.0365993e-34,-0.023215428,1.3463123e-34,-3.4969276e-34,-0.023796916,5.6463347e-34,0.036093462,-4.616442e-34,3.5985528e-34,-5.2466136e-35,0.029591054,-0.024398284,3.0098526e-34,-0.022015309,-4.253438e-34,-0.023422658,2.9805403e-34,-0.021007994,-0.024388675,6.108137e-35,0.034184054,-2.442917e-34,3.198167e-34,-0.021345545,0.035551783,9.570174e-35,1.6785531e-34,0.03137781
