epoch_number,rank1_feature,rank1_frequency,rank2_feature,rank2_frequency,rank3_feature,rank3_frequency,rank4_feature,rank4_frequency,rank5_feature,rank5_frequency,rank6_feature,rank6_frequency,rank7_feature,rank7_frequency,rank8_feature,rank8_frequency,rank9_feature,rank9_frequency,rank10_feature,rank10_frequency,rank11_feature,rank11_frequency,rank12_feature,rank12_frequency
30,count,103,dst_host_count,6,dst_host_same_srv_rate,6,dst_host_srv_count,5,service_private,4,dst_host_same_src_port_rate,1,dst_host_serror_rate,1.0,,,,,,,,,,
31,count,103,dst_host_srv_count,8,dst_host_count,4,dst_host_same_srv_rate,4,service_private,4,dst_host_serror_rate,1,service_http,1.0,srv_diff_host_rate,1.0,,,,,,,,
32,count,103,dst_host_srv_count,7,dst_host_same_srv_rate,6,dst_host_count,4,service_http,2,dst_host_serror_rate,1,flag_SF,1.0,service_private,1.0,srv_diff_host_rate,1.0,,,,,,
33,count,102,dst_host_srv_count,7,dst_host_count,4,dst_host_same_srv_rate,4,service_private,4,service_http,2,dst_host_serror_rate,1.0,service_courier,1.0,srv_diff_host_rate,1.0,,,,,,
34,count,103,dst_host_srv_count,6,dst_host_count,5,dst_host_same_srv_rate,5,service_private,3,service_http,2,flag_S0,1.0,srv_diff_host_rate,1.0,,,,,,,,
35,count,103,dst_host_srv_count,6,dst_host_count,5,dst_host_same_srv_rate,4,service_private,4,dst_host_srv_serror_rate,1,flag_SF,1.0,service_http,1.0,srv_diff_host_rate,1.0,,,,,,
36,count,103,dst_host_srv_count,7,dst_host_count,4,dst_host_same_srv_rate,4,service_http,2,service_private,2,dst_host_same_src_port_rate,1.0,dst_host_srv_serror_rate,1.0,flag_SF,1.0,same_srv_rate,1.0,,,,
37,count,103,dst_host_srv_count,7,dst_host_same_srv_rate,5,dst_host_count,4,service_http,2,service_private,2,dst_host_serror_rate,1.0,flag_SF,1.0,srv_diff_host_rate,1.0,,,,,,
38,count,102,dst_host_srv_count,8,dst_host_same_srv_rate,6,dst_host_count,3,service_private,3,dst_host_serror_rate,1,flag_REJ,1.0,same_srv_rate,1.0,srv_diff_host_rate,1.0,,,,,,
39,count,103,dst_host_srv_count,8,dst_host_same_srv_rate,5,dst_host_count,3,service_http,2,service_private,2,dst_host_serror_rate,1.0,flag_SF,1.0,srv_diff_host_rate,1.0,,,,,,
40,count,104,dst_host_srv_count,9,dst_host_same_srv_rate,5,dst_host_count,3,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,service_http,1.0,,,,,,,,
41,count,104,dst_host_same_srv_rate,6,dst_host_srv_count,6,dst_host_count,5,service_http,2,dst_host_srv_serror_rate,1,flag_SF,1.0,service_private,1.0,,,,,,,,
42,count,104,dst_host_srv_count,7,dst_host_same_srv_rate,5,dst_host_count,4,service_private,4,flag_S0,1,flag_SF,1.0,,,,,,,,,,
43,count,104,dst_host_srv_count,7,service_private,5,dst_host_count,4,dst_host_same_srv_rate,3,dst_host_srv_serror_rate,1,flag_SF,1.0,service_http,1.0,,,,,,,,
44,count,104,dst_host_srv_count,7,dst_host_count,4,dst_host_same_srv_rate,4,service_private,4,dst_host_srv_serror_rate,1,flag_SF,1.0,service_http,1.0,,,,,,,,
45,count,104,dst_host_same_srv_rate,6,dst_host_srv_count,6,dst_host_count,5,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,service_http,1.0,,,,,,,,
46,count,104,dst_host_srv_count,8,service_private,5,dst_host_same_srv_rate,4,dst_host_count,3,flag_S0,1,service_http,1.0,,,,,,,,,,
47,count,104,dst_host_srv_count,6,dst_host_count,5,dst_host_same_srv_rate,5,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,service_http,1.0,,,,,,
