epoch,mean,median,mode,std_dev,min,max,q1_25th,q3_75th,skewness,kurtosis
0,-0.053096093750000024,-0.2736905,-0.848727,0.6034112827043923,-0.848727,0.952548,-0.631031,0.59041625,0.2536858261619088,-1.5632321843234105
1,-0.07023256250000001,-0.2736905,-1.097421,0.844654985229137,-1.097421,1.319517,-0.9004035,0.89996775,0.3032900899125764,-1.5170811368402286
2,-0.074976875,-0.2736905,-1.295374,1.0475659630040532,-1.295374,1.626761,-1.113629,1.15071275,0.33340579286458244,-1.5032137506001062
3,-0.07518303124999999,-0.2736905,-1.490231,1.245382388793636,-1.490231,1.926882,-1.3213945,1.39916475,0.35518689682120336,-1.5016536108013288
4,-0.07078703124999997,-0.2736905,-1.688763,1.4450418147620652,-1.688763,2.218681,-1.510577,1.66023875,0.371688645117917,-1.5027569191967498
5,-0.06622565624999999,-0.2736905,-1.875343,1.646940622619115,-1.875343,2.521098,-1.69687425,1.9297545,0.3857554211048962,-1.505290665951278
6,-0.060182187499999984,-0.2736905,-2.062711,1.854594842961874,-2.062711,2.817662,-1.88649825,2.2171155,0.3971259257989257,-1.5083378450125087
7,-0.05502168750000003,-0.2736905,-2.253831,2.0672819848512205,-2.253831,3.114897,-2.07708175,2.524158,0.40517926600879567,-1.510837559435521
8,-0.05048321874999995,-0.2736905,-2.458569,2.279438842474663,-2.458569,3.409122,-2.26724425,2.8227105000000003,0.41206701913884786,-1.5112941194572393
9,-0.04502056249999997,-0.2736905,-2.658964,2.4931392897437052,-2.658964,3.712168,-2.4626082499999997,3.13291475,0.4176759558970737,-1.5119417163317146
10,-0.040735937499999875,-0.2736905,-2.868202,2.710566362226052,-2.868202,4.008975,-2.64064475,3.44567725,0.4217844639478649,-1.513141708298409
11,-0.0360823125000001,-0.2736905,-3.059485,2.9150990891814517,-3.059485,4.30439,-2.8143089999999997,3.74808325,0.4256433727763397,-1.5131913771347112
12,-0.032264406250000155,-0.2736905,-3.242762,3.120924632093096,-3.242762,4.590461,-3.00216425,4.02978375,0.4289723599539601,-1.512751336578201
13,-0.02840050000000005,-0.2736905,-3.448484,3.3284619822766865,-3.448484,4.890637,-3.19486075,4.32481875,0.43161775406204644,-1.5117496463967846
14,-0.030577593750000076,-0.2736905,-3.633048,3.5318375249058906,-3.633048,5.16973,-3.3958802500000003,4.605048,0.4323013964530336,-1.5121131359010356
15,-0.03053637500000017,-0.2736905,-3.821842,3.722145901231647,-3.821842,5.435117,-3.585056,4.883335,0.4336306785256655,-1.5123996148655177
16,-0.03114553124999997,-0.2736905,-4.01325,3.9152715474946067,-4.01325,5.704094,-3.7662525000000002,5.13729225,0.4349123229386165,-1.5124630256892713
17,-0.029766375000000123,-0.2736905,-4.210047,4.110966116341767,-4.210047,5.97271,-3.950246,5.41450675,0.4363267490494771,-1.51248884264178
18,-0.029794468750000025,-0.2736905,-4.387507,4.307987895903079,-4.387507,6.252212,-4.13184,5.68571025,0.43740258070882654,-1.5121911367749832
19,-0.02999443749999997,-0.2736905,-4.554117,4.496285200981361,-4.554117,6.513665,-4.30289325,5.94720775,0.4385033602976165,-1.5121456887344615
20,-0.032983187500000066,-0.2736905,-4.728189,4.6850734239604135,-4.728189,6.75961,-4.48270925,6.20578325,0.43904918112820657,-1.5127455245545667
21,-0.03360056250000021,-0.2736905,-4.929276,4.875361128380536,-4.929276,7.037538,-4.66444675,6.47161875,0.439793691716408,-1.5125911358247353
22,-0.03506362500000004,-0.2736905,-5.095963,5.0601090905520305,-5.095963,7.295815,-4.84665575,6.720375499999999,0.4402609622010787,-1.5125650089541645
23,-0.03717474999999992,-0.2736905,-5.268921,5.240331768765003,-5.268921,7.552626,-5.02374425,6.966872,0.44061572546016653,-1.5125923141211013
24,-0.036783562500000255,-0.2736905,-5.439254,5.411712169312822,-5.439254,7.788697,-5.172618,7.203761,0.4414282819918278,-1.5123702804184878
25,-0.039284187499999845,-0.2736905,-5.607039,5.593588898794251,-5.607039,8.04612,-5.34167475,7.4502102500000005,0.4416293005185275,-1.512564831197555
26,-0.04066090624999996,-0.2736905,-5.766408,5.770915042642042,-5.766408,8.287877,-5.50505175,7.7029555,0.4420546086161179,-1.5127967228604806
27,-0.041893812499999905,-0.2736905,-5.93454,5.953147720635878,-5.93454,8.535487,-5.6787600000000005,7.95960425,0.44258418297985425,-1.5129362270517386
28,-0.04581231249999995,-0.2736905,-6.099114,6.131795532098512,-6.099114,8.779589,-5.850678500000001,8.202088,0.44263873765509687,-1.5131676009106279
29,-0.04973765624999993,-0.2736905,-6.266657,6.311714029955283,-6.266657,9.010571,-6.0192875,8.445439749999998,0.4427304376693316,-1.5134171985269393
