epoch,neurons_positive,neurons_negative,neurons_zero,mean_incl_zero,median_incl_zero,std_incl_zero,min_incl_zero,max_incl_zero,q1_incl_zero,q3_incl_zero,skewness_incl_zero,kurtosis_incl_zero,mode_incl_zero,mean_excl_zero,median_excl_zero,std_excl_zero,min_excl_zero,max_excl_zero,q1_excl_zero,q3_excl_zero,skewness_excl_zero,kurtosis_excl_zero,mode_excl_zero
0.0,50,0,14,0.0074273125,0.0064785,0.007258345582144994,0.0,0.029802,0.0002585,0.012642249999999999,0.7823891177549211,-0.003940823005842198,0.0,0.00950696,0.009587,0.006903901618534262,0.000151,0.029802,0.0039165,0.01324125,0.5813731740587039,0.05701675029815689,0.000151
1.0,50,0,14,0.007189296875000001,0.0070325,0.006072618187095269,0.0,0.019955,0.00014725,0.012627,0.28530525381936356,-1.1939040806864998,0.0,0.009202299999999998,0.008044,0.005355175688061037,1.9e-05,0.019955,0.0059395,0.01385875,0.029177639902335867,-0.9985401249285633,1.9e-05
2.0,47,0,17,0.007008421875,0.0064245,0.00602857353775721,0.0,0.017542,0.0,0.013201000000000001,0.29950155297111686,-1.3398356987014826,0.0,0.009543382978723404,0.007906,0.005029630947728529,0.000709,0.017542,0.0054789999999999995,0.014360999999999999,0.04084167616208024,-1.3685709601770308,0.006618
3.0,47,0,17,0.007640265625,0.0070525,0.00647907308726089,0.0,0.021291,0.0,0.012290249999999999,0.4117063388017453,-0.9865894438765044,0.0,0.01040376595744681,0.008433,0.005330220414638436,0.001104,0.021291,0.00651,0.015674,0.377354237462252,-1.0092080423078713,0.001104
4.0,47,0,17,0.007599359375,0.006925499999999999,0.006200833551243301,0.0,0.019945,0.0,0.012689250000000001,0.29543105807362,-1.097892091561256,0.0,0.010348063829787233,0.009301,0.004890208194690194,0.002305,0.019945,0.0063455000000000004,0.014734500000000001,0.3137169600212926,-1.1142496802855553,0.002305
5.0,47,0,17,0.00724646875,0.0062675000000000005,0.0060825295775296835,0.0,0.020423,0.0,0.013108499999999999,0.3632972822884701,-1.0692876757102416,0.0,0.009867531914893616,0.007938,0.0049513326804822184,0.002385,0.020423,0.006043,0.013613,0.31456312565126493,-1.0978969586555798,0.002385
6.0,47,0,17,0.007402796875,0.0062369999999999995,0.00614384989537222,0.0,0.021712,0.0,0.012924999999999999,0.299132421072217,-1.138233390602183,0.0,0.01008040425531915,0.009757,0.0049405118851837074,0.002176,0.021712,0.0054255,0.01413,0.21504989299623528,-1.0751965243948391,0.002176
7.0,47,0,17,0.0073211249999999995,0.0058779999999999995,0.0064698182366759735,0.0,0.020536,0.0,0.01321075,0.46619674920598425,-1.0568738328842793,0.0,0.009969191489361703,0.009304,0.0055317078723128915,0.0012,0.020536,0.005091,0.014092,0.30834967849300415,-1.1764172120298202,0.0012
8.0,47,0,17,0.00723040625,0.005607,0.006295716382784484,0.0,0.021513,0.0,0.012477499999999999,0.42983202813671306,-1.0748694944463906,0.0,0.009845659574468084,0.010858,0.005312588123030198,0.001356,0.021513,0.005322,0.014234,0.28981213646568965,-1.1543248740650376,0.001356
9.0,47,0,17,0.00738284375,0.0053995,0.006832591213758945,0.0,0.024254,0.0,0.013384,0.5532023443784068,-0.9547023844393059,0.0,0.01005323404255319,0.010431,0.0060600375998158245,0.001102,0.024254,0.0049429999999999995,0.0152405,0.3261786421093909,-1.0738007642510021,0.001102
10.0,47,0,17,0.007299640624999999,0.0045955,0.007190605786300248,0.0,0.023924,0.0,0.0131715,0.6762728777590731,-0.9021753610572909,0.0,0.009939936170212767,0.008732,0.006645463320236341,0.000974,0.023924,0.00383,0.01554,0.391346768166062,-1.2048252818610057,0.00158
11.0,47,0,17,0.0073940937500000005,0.004439500000000001,0.007309650965758279,0.0,0.023539,0.0,0.01470625,0.6546656678021847,-0.9239886498614922,0.0,0.010068553191489362,0.009662,0.006769724180586178,2.4e-05,0.023539,0.004187,0.015289,0.3466727041601055,-1.1808876408806592,2.4e-05
12.0,46,0,18,0.00754109375,0.0042175,0.007552039332853143,0.0,0.023066,0.0,0.014328500000000001,0.6218651394931383,-1.0826451417588658,0.0,0.010491956521739131,0.01043,0.006956317394553085,0.000156,0.023066,0.0038937499999999996,0.01613775,0.25665162024171567,-1.3823109416823451,0.000156
13.0,45,0,19,0.007315796875,0.004886,0.007007697032058053,0.0,0.022413,0.0,0.0137675,0.4605834136074332,-1.2769001617161992,0.0,0.010404688888888887,0.012216,0.006140298786875014,0.000749,0.022413,0.004372,0.015568,0.05135496450967415,-1.3791579520128114,0.000749
14.0,45,0,19,0.00749446875,0.0047345,0.0075332197900548105,0.0,0.026576,0.0,0.01481975,0.5854996134493694,-1.0268881547336444,0.0,0.0106588,0.012624,0.006854362437649957,0.00021,0.026576,0.00403,0.015825,0.17399658886307034,-1.1546626739142163,0.00021
15.0,44,0,20,0.00746153125,0.004025,0.00761323484747275,0.0,0.022856,0.0,0.014783000000000001,0.5699365751101453,-1.1833915626256146,0.0,0.010853136363636365,0.011068,0.006891868969335958,0.000772,0.022856,0.00399675,0.017270749999999998,0.09880960014082003,-1.3959877652635277,0.000772
