epoch,neuron1_bias,neuron2_bias,neuron3_bias,neuron4_bias,neuron5_bias,neuron6_bias,neuron7_bias,neuron8_bias,neuron9_bias,neuron10_bias,neuron11_bias,neuron12_bias,neuron13_bias,neuron14_bias,neuron15_bias,neuron16_bias,neuron17_bias,neuron18_bias,neuron19_bias,neuron20_bias,neuron21_bias,neuron22_bias,neuron23_bias,neuron24_bias,neuron25_bias,neuron26_bias,neuron27_bias,neuron28_bias,neuron29_bias,neuron30_bias,neuron31_bias,neuron32_bias,neuron33_bias,neuron34_bias,neuron35_bias,neuron36_bias,neuron37_bias,neuron38_bias,neuron39_bias,neuron40_bias,neuron41_bias,neuron42_bias,neuron43_bias,neuron44_bias,neuron45_bias,neuron46_bias,neuron47_bias,neuron48_bias,neuron49_bias,neuron50_bias,neuron51_bias,neuron52_bias,neuron53_bias,neuron54_bias,neuron55_bias,neuron56_bias,neuron57_bias,neuron58_bias,neuron59_bias,neuron60_bias,neuron61_bias,neuron62_bias,neuron63_bias,neuron64_bias
10,0.041764,0.058174,0.043560,0.039765,-0.012948,0.034125,-0.010895,0.059657,-0.000000,-0.000000,0.042125,-0.031061,0.021430,-0.000000,0.044379,-0.048973,0.055454,0.050035,0.035197,0.030495,0.060027,0.050380,0.027777,0.033461,-0.026597,-0.020533,0.048740,0.054963,0.057919,0.053333,0.051643,0.043130,-0.019140,0.040126,0.028997,0.036979,-0.041386,0.047966,-0.033881,0.035567,0.036514,0.037698,0.041559,0.028085,-0.018794,-0.000000,0.039832,0.058809,-0.000010,0.048207,0.017264,0.056450,0.023751,0.065752,0.056718,0.044912,0.031179,0.031346,-0.043888,0.049180,0.041263,0.032096,-0.025036,0.046391
11,0.054136,0.056126,0.036740,0.032111,-0.012948,0.031373,-0.010895,0.060226,-0.000000,-0.000000,0.040776,-0.031061,0.011144,-0.000000,0.045415,-0.048973,0.056201,0.052079,0.030050,0.030365,0.048410,0.048618,0.022686,0.030695,-0.026597,-0.020533,0.050989,0.056522,0.048764,0.051406,0.047758,0.042239,-0.019140,0.034682,0.024336,0.032748,-0.041386,0.042732,-0.033881,0.032333,0.042840,0.032396,0.033869,0.029763,-0.018794,-0.000000,0.034540,0.050059,-0.000010,0.049802,0.003090,0.050219,0.034008,0.048988,0.053717,0.047662,0.034768,0.019119,-0.043888,0.042917,0.039767,0.026654,-0.025036,0.037046
12,0.055551,0.044440,0.033540,0.029056,-0.012948,0.039022,-0.010895,0.054860,-0.000000,-0.000000,0.037449,-0.031061,0.006033,-0.000000,0.041551,-0.048973,0.043475,0.046387,0.027396,0.027399,0.052962,0.039466,0.027116,0.024163,-0.026597,-0.020533,0.047744,0.056502,0.042831,0.044003,0.051451,0.032641,-0.019140,0.027192,0.021428,0.026688,-0.041386,0.042853,-0.033881,0.029842,0.045857,0.021761,0.031648,0.027200,-0.018794,-0.000000,0.030089,0.054172,-0.000010,0.046068,0.000331,0.051578,0.032796,0.050593,0.053193,0.048778,0.028855,0.016463,-0.043888,0.050308,0.036151,0.030439,-0.025036,0.028467
13,0.054014,0.050408,0.041000,0.018671,-0.012948,0.029481,-0.010895,0.047458,-0.000000,-0.000000,0.042286,-0.031061,0.000394,-0.000000,0.054638,-0.048973,0.044685,0.049455,0.014067,0.043699,0.042461,0.043722,0.025127,0.028441,-0.026597,-0.020533,0.048415,0.048681,0.048251,0.043914,0.048073,0.025309,-0.019140,0.033369,0.016512,0.032704,-0.041386,0.044915,-0.033881,0.028967,0.049627,0.020205,0.026697,0.026312,-0.018794,-0.000000,0.027140,0.052879,-0.000010,0.045741,0.000000,0.056872,0.028106,0.046002,0.053842,0.052113,0.025900,0.010723,-0.043888,0.046001,0.028133,0.027730,-0.025036,0.023046
14,0.050547,0.040687,0.038312,0.016670,-0.012948,0.029960,-0.010895,0.048346,-0.000000,-0.000000,0.043472,-0.031061,-0.000000,-0.000000,0.048125,-0.048973,0.039100,0.047011,0.017104,0.043164,0.040601,0.045333,0.024623,0.033385,-0.026597,-0.020533,0.056440,0.040342,0.044858,0.040914,0.051588,0.017416,-0.019140,0.028242,0.018953,0.022075,-0.041386,0.041515,-0.033881,0.028342,0.050707,0.018540,0.024499,0.029956,-0.018794,-0.000000,0.030890,0.048072,-0.000010,0.048095,-0.000000,0.052430,0.031087,0.036963,0.043199,0.043588,0.021448,0.005810,-0.043888,0.041990,0.028107,0.026229,-0.025036,0.022873
15,0.045420,0.034851,0.036047,0.015702,-0.012948,0.033656,-0.010895,0.044913,-0.000000,-0.000000,0.032127,-0.031061,-0.000000,-0.000000,0.043459,-0.048973,0.047109,0.041319,0.012304,0.033072,0.033996,0.035572,0.016900,0.022592,-0.026597,-0.020533,0.046185,0.036736,0.044830,0.041809,0.050373,0.014040,-0.019140,0.035941,0.009850,0.027038,-0.041386,0.042241,-0.033881,0.022685,0.046445,0.015157,0.028105,0.027468,-0.018794,-0.000000,0.024141,0.047277,-0.000010,0.045792,-0.000000,0.047866,0.022994,0.045167,0.034785,0.047139,0.016654,0.000052,-0.043888,0.048576,0.019050,0.023231,-0.025036,0.021065
16,0.040466,0.039485,0.034414,0.010376,-0.012948,0.020024,-0.010895,0.037923,-0.000000,-0.000000,0.035101,-0.031061,-0.000000,-0.000000,0.046181,-0.048973,0.041207,0.045545,0.010367,0.024942,0.040881,0.042440,0.028598,0.025108,-0.026597,-0.020533,0.045541,0.045063,0.043486,0.041285,0.048979,0.020841,-0.019140,0.025048,0.008653,0.021353,-0.041386,0.038277,-0.033881,0.024226,0.041748,0.017273,0.026326,0.028126,-0.018794,-0.000000,0.029455,0.050716,-0.000010,0.043842,-0.000000,0.048990,0.017571,0.041761,0.032903,0.047304,0.019978,-0.000000,-0.043888,0.052643,0.022937,0.017994,-0.025036,0.018685
17,0.041481,0.039830,0.036188,0.007232,-0.012948,0.024236,-0.010895,0.046636,-0.000000,-0.000000,0.042169,-0.031061,-0.000000,-0.000000,0.041163,-0.048973,0.037159,0.047185,0.003381,0.022705,0.033353,0.045182,0.029653,0.024515,-0.026597,-0.020533,0.044083,0.044064,0.038895,0.042955,0.047614,0.017352,-0.019140,0.026631,0.003196,0.022832,-0.041386,0.036767,-0.033881,0.022326,0.042613,0.009228,0.025736,0.032096,-0.018794,-0.000000,0.023939,0.046169,-0.000010,0.047258,-0.000000,0.046341,0.014131,0.038350,0.041180,0.047242,0.025065,-0.000000,-0.043888,0.049858,0.027128,0.012537,-0.025036,0.021950
18,0.040248,0.037731,0.037443,0.012362,-0.012948,0.029349,-0.010895,0.042544,-0.000000,-0.000000,0.032356,-0.031061,-0.000000,-0.000000,0.040670,-0.048973,0.040858,0.041902,0.002163,0.017384,0.044473,0.041716,0.024496,0.021775,-0.026597,-0.020533,0.043963,0.040660,0.037585,0.042256,0.037363,0.011920,-0.019140,0.020175,0.000081,0.013190,-0.041386,0.032916,-0.033881,0.016648,0.037152,0.012641,0.030564,0.024076,-0.018794,-0.000000,0.026070,0.045511,-0.000010,0.046168,-0.000000,0.044171,0.010009,0.038379,0.043792,0.046080,0.013920,-0.000000,-0.043888,0.043298,0.026625,0.012594,-0.025036,0.020773
19,0.039186,0.042001,0.038399,0.004252,-0.012948,0.024802,-0.010895,0.036979,-0.000000,-0.000000,0.038667,-0.031061,-0.000000,-0.000000,0.036340,-0.048973,0.043958,0.048865,-0.000000,0.016987,0.039348,0.033421,0.022450,0.024068,-0.026597,-0.020533,0.043971,0.039636,0.036159,0.043514,0.034747,0.009582,-0.019140,0.024551,-0.000000,0.009903,-0.041386,0.031139,-0.033881,0.015778,0.031814,0.007597,0.025608,0.026029,-0.018794,-0.000000,0.016808,0.042396,-0.000010,0.039479,-0.000000,0.037418,0.008457,0.039370,0.039249,0.041995,0.020142,-0.000000,-0.043888,0.044213,0.016131,0.002611,-0.025036,0.018033
20,0.040144,0.043650,0.037584,0.000353,-0.012948,0.028075,-0.010895,0.034331,-0.000000,-0.000000,0.038593,-0.031061,-0.000000,-0.000000,0.031214,-0.048973,0.040012,0.048879,-0.000000,0.022143,0.043529,0.033896,0.028435,0.022279,-0.026597,-0.020533,0.042352,0.037637,0.031963,0.044372,0.035901,0.005890,-0.019140,0.017832,-0.000000,0.007355,-0.041386,0.031074,-0.033881,0.015650,0.026860,0.007781,0.021359,0.018839,-0.018794,-0.000000,0.018557,0.041309,-0.000010,0.043166,-0.000000,0.032420,0.010015,0.043827,0.048579,0.037293,0.015925,-0.000000,-0.043888,0.040940,0.021261,0.001214,-0.025036,0.021241
21,0.042982,0.043728,0.038063,-0.000000,-0.012948,0.022948,-0.010895,0.033742,-0.000000,-0.000000,0.034790,-0.031061,-0.000000,-0.000000,0.031288,-0.048973,0.034479,0.041059,-0.000000,0.016602,0.045082,0.032645,0.019927,0.022014,-0.026597,-0.020533,0.035816,0.041474,0.021388,0.046353,0.034485,0.000339,-0.019140,0.016196,-0.000000,0.000647,-0.041386,0.027435,-0.033881,0.020717,0.025773,0.012936,0.032204,0.022031,-0.018794,-0.000000,0.020551,0.035079,-0.000010,0.039740,-0.000000,0.037941,0.001471,0.047400,0.039781,0.041216,0.014428,-0.000000,-0.043888,0.034299,0.017786,-0.000000,-0.025036,0.025554
22,0.037773,0.040735,0.039529,-0.000000,-0.012948,0.014580,-0.010895,0.031644,-0.000000,-0.000000,0.033418,-0.031061,-0.000000,-0.000000,0.033340,-0.048973,0.035505,0.040590,-0.000000,0.009996,0.037372,0.036377,0.017290,0.011617,-0.026597,-0.020533,0.031169,0.039870,0.025380,0.043798,0.037901,-0.000000,-0.019140,0.012164,-0.000000,0.000001,-0.041386,0.033667,-0.033881,0.020871,0.035355,0.004834,0.020340,0.017249,-0.018794,-0.000000,0.019356,0.036315,-0.000010,0.035242,-0.000000,0.034814,0.000002,0.043952,0.036724,0.036950,0.015000,-0.000000,-0.043888,0.035078,0.014846,-0.000000,-0.025036,0.017876
23,0.029099,0.034516,0.033347,-0.000000,-0.012948,0.023110,-0.010895,0.028504,-0.000000,-0.000000,0.026883,-0.031061,-0.000000,-0.000000,0.036071,-0.048973,0.035446,0.040614,-0.000000,0.012516,0.029993,0.032073,0.021326,0.013936,-0.026597,-0.020533,0.032717,0.043979,0.030474,0.037577,0.026180,-0.000000,-0.019140,0.014990,-0.000000,-0.000000,-0.041386,0.033338,-0.033881,0.017430,0.024242,0.003909,0.018016,0.023851,-0.018794,-0.000000,0.022032,0.037489,-0.000010,0.035396,-0.000000,0.034229,-0.000000,0.034496,0.036674,0.036770,0.018270,-0.000000,-0.043888,0.038184,0.019260,-0.000000,-0.025036,0.018744
24,0.028495,0.030587,0.039272,-0.000000,-0.012948,0.014645,-0.010895,0.036240,-0.000000,-0.000000,0.031622,-0.031061,-0.000000,-0.000000,0.040316,-0.048973,0.038879,0.037922,-0.000000,0.008162,0.032690,0.029252,0.017304,0.016684,-0.026597,-0.020533,0.033208,0.035820,0.038227,0.034969,0.027955,-0.000000,-0.019140,0.008905,-0.000000,-0.000000,-0.041386,0.033309,-0.033881,0.010191,0.037024,-0.000002,0.025068,0.019013,-0.018794,-0.000000,0.017281,0.036136,-0.000010,0.028393,-0.000000,0.035139,-0.000000,0.033805,0.028462,0.035541,0.013361,-0.000000,-0.043888,0.034901,0.015821,-0.000000,-0.025036,0.019010
25,0.034735,0.028412,0.030205,-0.000000,-0.012948,0.006291,-0.010895,0.026510,-0.000000,-0.000000,0.033183,-0.031061,-0.000000,-0.000000,0.035467,-0.048973,0.034145,0.037082,-0.000000,0.008167,0.041088,0.031026,0.007792,0.018985,-0.026597,-0.020533,0.032071,0.038846,0.044298,0.038018,0.034526,-0.000000,-0.019140,0.008349,-0.000000,-0.000000,-0.041386,0.030585,-0.033881,0.014982,0.043978,-0.000002,0.017665,0.012614,-0.018794,-0.000000,0.016643,0.033724,-0.000010,0.039184,-0.000000,0.035417,-0.000000,0.039783,0.036507,0.036459,0.026503,-0.000000,-0.043888,0.039674,0.019034,-0.000000,-0.025036,0.010072
26,0.033358,0.031217,0.029245,-0.000000,-0.012948,0.005676,-0.010895,0.029233,-0.000000,-0.000000,0.031388,-0.031061,-0.000000,-0.000000,0.033420,-0.048973,0.035981,0.036676,-0.000000,0.017796,0.038766,0.035418,0.014270,0.013166,-0.026597,-0.020533,0.025935,0.044366,0.035933,0.027103,0.035618,-0.000000,-0.019140,0.012094,-0.000000,-0.000000,-0.041386,0.024665,-0.033881,0.014822,0.035707,-0.000002,0.017836,0.012898,-0.018794,-0.000000,0.024112,0.031284,-0.000010,0.033609,-0.000000,0.033366,-0.000000,0.041398,0.033191,0.025519,0.016770,-0.000000,-0.043888,0.037468,0.014686,-0.000000,-0.025036,0.011996
27,0.032749,0.032624,0.033879,-0.000000,-0.012948,0.005133,-0.010895,0.032159,-0.000000,-0.000000,0.033815,-0.031061,-0.000000,-0.000000,0.030189,-0.048973,0.032644,0.031729,-0.000000,0.017736,0.030959,0.032781,0.015252,0.010440,-0.026597,-0.020533,0.031542,0.048147,0.031228,0.036811,0.043632,-0.000000,-0.019140,0.009147,-0.000000,-0.000000,-0.041386,0.023184,-0.033881,0.011604,0.035072,-0.000002,0.015362,0.019242,-0.018794,-0.000000,0.017763,0.028342,-0.000010,0.033425,-0.000000,0.035737,-0.000000,0.031128,0.035924,0.028327,0.018929,-0.000000,-0.043888,0.036520,0.013566,-0.000000,-0.025036,0.013840
28,0.034151,0.028737,0.041235,-0.000000,-0.012948,0.002572,-0.010895,0.033821,-0.000000,-0.000000,0.034930,-0.031061,-0.000000,-0.000000,0.027784,-0.048973,0.039840,0.033249,-0.000000,0.012950,0.027834,0.030247,0.019127,0.016745,-0.026597,-0.020533,0.026744,0.039549,0.041010,0.030541,0.033761,-0.000000,-0.019140,0.007444,-0.000000,-0.000000,-0.041386,0.019925,-0.033881,0.012946,0.034842,-0.000002,0.016814,0.013379,-0.018794,-0.000000,0.016498,0.025598,-0.000010,0.029988,-0.000000,0.032332,-0.000000,0.041747,0.034520,0.033063,0.016014,-0.000000,-0.043888,0.036378,0.010749,-0.000000,-0.025036,0.016198
29,0.030369,0.036454,0.030855,-0.000000,-0.012948,0.000377,-0.010895,0.035646,-0.000000,-0.000000,0.036966,-0.031061,-0.000000,-0.000000,0.027360,-0.048973,0.037383,0.031187,-0.000000,0.010188,0.031272,0.037404,0.016767,0.016039,-0.026597,-0.020533,0.035389,0.036167,0.034953,0.029843,0.031026,-0.000000,-0.019140,0.005464,-0.000000,-0.000000,-0.041386,0.024827,-0.033881,0.011704,0.036213,-0.000002,0.018277,0.018541,-0.018794,-0.000000,0.014634,0.020824,-0.000010,0.033816,-0.000000,0.034465,-0.000000,0.034177,0.035467,0.029875,0.016659,-0.000000,-0.043888,0.034714,0.014913,-0.000000,-0.025036,0.010705
30,0.032493,0.025913,0.028153,-0.000000,-0.012948,-0.000000,-0.010895,0.031885,-0.000000,-0.000000,0.032346,-0.031061,-0.000000,-0.000000,0.024001,-0.048973,0.029107,0.034985,-0.000000,0.012140,0.031431,0.030000,0.023974,0.016361,-0.026597,-0.020533,0.030119,0.028300,0.033241,0.028126,0.031925,-0.000000,-0.019140,0.000324,-0.000000,-0.000000,-0.041386,0.025643,-0.033881,0.017776,0.031385,-0.000002,0.014189,0.020958,-0.018794,-0.000000,0.015270,0.026231,-0.000010,0.036536,-0.000000,0.019763,-0.000000,0.033314,0.030009,0.034992,0.016638,-0.000000,-0.043888,0.030240,0.016084,-0.000000,-0.025036,0.010534
31,0.029193,0.026472,0.026822,-0.000000,-0.012948,-0.000000,-0.010895,0.028927,-0.000000,-0.000000,0.036770,-0.031061,-0.000000,-0.000000,0.023266,-0.048973,0.033277,0.033598,-0.000000,0.016726,0.037751,0.028016,0.013335,0.016548,-0.026597,-0.020533,0.034911,0.033972,0.028195,0.025389,0.025408,-0.000000,-0.019140,0.000001,-0.000000,-0.000000,-0.041386,0.027695,-0.033881,0.011675,0.041827,-0.000002,0.014416,0.016723,-0.018794,-0.000000,0.010370,0.025234,-0.000010,0.040197,-0.000000,0.029241,-0.000000,0.033109,0.030970,0.031707,0.016890,-0.000000,-0.043888,0.026130,0.014337,-0.000000,-0.025036,0.012796
32,0.037842,0.029078,0.023492,-0.000000,-0.012948,-0.000000,-0.010895,0.027328,-0.000000,-0.000000,0.033839,-0.031061,-0.000000,-0.000000,0.024173,-0.048973,0.028623,0.026901,-0.000000,0.011528,0.034342,0.028278,0.015514,0.016960,-0.026597,-0.020533,0.030521,0.027406,0.027079,0.024739,0.026210,-0.000000,-0.019140,-0.000000,-0.000000,-0.000000,-0.041386,0.031490,-0.033881,0.014264,0.030781,-0.000002,0.014484,0.018874,-0.018794,-0.000000,0.017734,0.022326,-0.000010,0.029825,-0.000000,0.026670,-0.000000,0.030187,0.027403,0.031990,0.017381,-0.000000,-0.043888,0.024817,0.017763,-0.000000,-0.025036,0.015721
33,0.027339,0.026044,0.025986,-0.000000,-0.012948,-0.000000,-0.010895,0.027604,-0.000000,-0.000000,0.031732,-0.031061,-0.000000,-0.000000,0.023147,-0.048973,0.029973,0.030884,-0.000000,0.012428,0.030700,0.031826,0.015165,0.013126,-0.026597,-0.020533,0.030215,0.029960,0.025980,0.031276,0.030335,-0.000000,-0.019140,-0.000000,-0.000000,-0.000000,-0.041386,0.030002,-0.033881,0.015326,0.028570,-0.000002,0.017731,0.013426,-0.018794,-0.000000,0.015936,0.027461,-0.000010,0.029407,-0.000000,0.031636,-0.000000,0.029259,0.023511,0.030894,0.013648,-0.000000,-0.043888,0.021119,0.014365,-0.000000,-0.025036,0.013605
34,0.024812,0.028669,0.024030,-0.000000,-0.012948,-0.000000,-0.010895,0.025851,-0.000000,-0.000000,0.029506,-0.031061,-0.000000,-0.000000,0.018055,-0.048973,0.025066,0.034217,-0.000000,0.007180,0.027290,0.029763,0.016012,0.017947,-0.026597,-0.020533,0.037264,0.023102,0.022094,0.028805,0.032100,-0.000000,-0.019140,-0.000000,-0.000000,-0.000000,-0.041386,0.034506,-0.033881,0.013806,0.030132,-0.000002,0.019092,0.009960,-0.018794,-0.000000,0.015440,0.020595,-0.000010,0.025719,-0.000000,0.028540,-0.000000,0.020264,0.025074,0.028589,0.012803,-0.000000,-0.043888,0.022493,0.017060,-0.000000,-0.025036,0.014278
35,0.020163,0.031631,0.028004,-0.000000,-0.012948,-0.000000,-0.010895,0.023545,-0.000000,-0.000000,0.030246,-0.031061,-0.000000,-0.000000,0.020574,-0.048973,0.032279,0.031791,-0.000000,0.011649,0.033406,0.027646,0.011926,0.015096,-0.026597,-0.020533,0.035002,0.028875,0.031228,0.024661,0.029691,-0.000000,-0.019140,-0.000000,-0.000000,-0.000000,-0.041386,0.035960,-0.033881,0.006102,0.026451,-0.000002,0.010428,0.008260,-0.018794,-0.000000,0.015388,0.026326,-0.000010,0.025736,-0.000000,0.025460,-0.000000,0.027585,0.027091,0.030710,0.015853,-0.000000,-0.043888,0.025683,0.017330,-0.000000,-0.025036,0.008280
36,0.019567,0.025555,0.028380,-0.000000,-0.012948,-0.000000,-0.010895,0.028157,-0.000000,-0.000000,0.032113,-0.031061,-0.000000,-0.000000,0.024876,-0.048973,0.032515,0.024611,-0.000000,0.014951,0.031745,0.027086,0.012157,0.016365,-0.026597,-0.020533,0.026641,0.027099,0.031811,0.023793,0.027839,-0.000000,-0.019140,-0.000000,-0.000000,-0.000000,-0.041386,0.029396,-0.033881,0.007442,0.030574,-0.000002,0.014193,0.010628,-0.018794,-0.000000,0.021534,0.034711,-0.000010,0.025612,-0.000000,0.028580,-0.000000,0.029458,0.026173,0.028253,0.010750,-0.000000,-0.043888,0.025673,0.011710,-0.000000,-0.025036,0.011219
