epoch,mean,median,mode,std_dev,min,max,q1_25th,q3_75th,skewness,kurtosis
0,0.040863,0.040863,0.040863,0.0,0.040863,0.040863,0.040863,0.040863,,
1,0.04335,0.04335,0.04335,0.0,0.04335,0.04335,0.04335,0.04335,,
2,0.055347,0.055347,0.055347,0.0,0.055347,0.055347,0.055347,0.055347,,
3,0.056218,0.056218,0.056218,0.0,0.056218,0.056218,0.056218,0.056218,,
4,0.056141,0.056141,0.056141,0.0,0.056141,0.056141,0.056141,0.056141,,
5,0.052549,0.052549,0.052549,0.0,0.052549,0.052549,0.052549,0.052549,,
6,0.045755,0.045755,0.045755,0.0,0.045755,0.045755,0.045755,0.045755,,
7,0.033424,0.033424,0.033424,0.0,0.033424,0.033424,0.033424,0.033424,,
8,0.016657,0.016657,0.016657,0.0,0.016657,0.016657,0.016657,0.016657,,
9,0.00242,0.00242,0.00242,0.0,0.00242,0.00242,0.00242,0.00242,,
10,-0.016807,-0.016807,-0.016807,0.0,-0.016807,-0.016807,-0.016807,-0.016807,,
11,-0.0329,-0.0329,-0.0329,0.0,-0.0329,-0.0329,-0.0329,-0.0329,,
12,-0.051638,-0.051638,-0.051638,0.0,-0.051638,-0.051638,-0.051638,-0.051638,,
13,-0.068885,-0.068885,-0.068885,0.0,-0.068885,-0.068885,-0.068885,-0.068885,,
14,-0.092589,-0.092589,-0.092589,0.0,-0.092589,-0.092589,-0.092589,-0.092589,,
15,-0.114989,-0.114989,-0.114989,0.0,-0.114989,-0.114989,-0.114989,-0.114989,,
16,-0.131269,-0.131269,-0.131269,0.0,-0.131269,-0.131269,-0.131269,-0.131269,,
17,-0.145556,-0.145556,-0.145556,0.0,-0.145556,-0.145556,-0.145556,-0.145556,,
18,-0.16223,-0.16223,-0.16223,0.0,-0.16223,-0.16223,-0.16223,-0.16223,,
19,-0.176232,-0.176232,-0.176232,0.0,-0.176232,-0.176232,-0.176232,-0.176232,,
20,-0.194717,-0.194717,-0.194717,0.0,-0.194717,-0.194717,-0.194717,-0.194717,,
21,-0.208103,-0.208103,-0.208103,0.0,-0.208103,-0.208103,-0.208103,-0.208103,,
22,-0.222942,-0.222942,-0.222942,0.0,-0.222942,-0.222942,-0.222942,-0.222942,,
23,-0.241814,-0.241814,-0.241814,0.0,-0.241814,-0.241814,-0.241814,-0.241814,,
24,-0.257095,-0.257095,-0.257095,0.0,-0.257095,-0.257095,-0.257095,-0.257095,,
25,-0.272173,-0.272173,-0.272173,0.0,-0.272173,-0.272173,-0.272173,-0.272173,,
26,-0.286719,-0.286719,-0.286719,0.0,-0.286719,-0.286719,-0.286719,-0.286719,,
27,-0.302726,-0.302726,-0.302726,0.0,-0.302726,-0.302726,-0.302726,-0.302726,,
28,-0.31845,-0.31845,-0.31845,0.0,-0.31845,-0.31845,-0.31845,-0.31845,,
29,-0.330515,-0.330515,-0.330515,0.0,-0.330515,-0.330515,-0.330515,-0.330515,,
30,-0.340263,-0.340263,-0.340263,0.0,-0.340263,-0.340263,-0.340263,-0.340263,,
31,-0.355152,-0.355152,-0.355152,0.0,-0.355152,-0.355152,-0.355152,-0.355152,,
32,-0.365939,-0.365939,-0.365939,0.0,-0.365939,-0.365939,-0.365939,-0.365939,,
33,-0.378039,-0.378039,-0.378039,0.0,-0.378039,-0.378039,-0.378039,-0.378039,,
34,-0.390594,-0.390594,-0.390594,0.0,-0.390594,-0.390594,-0.390594,-0.390594,,
35,-0.397253,-0.397253,-0.397253,0.0,-0.397253,-0.397253,-0.397253,-0.397253,,
