epoch,correlation
0,-0.07101308206813045
1,-0.049048558964203084
2,0.009987368217720376
3,0.02530382260650483
4,0.03530271363698228
5,0.09283465039424144
6,0.10602510758907639
7,0.12369697840345086
8,0.17746534206066072
9,0.1295619077777368
10,0.13398452986446996
11,0.20364025606936156
12,0.19306185970143086
13,0.20796485686907612
14,0.23817215954981968
15,0.20976127447948897
16,0.20671825293855597
17,0.18565250199110206
18,0.21976090714487076
19,0.20380693121465981
20,0.2639253538674122
21,0.21013506155292747
22,0.2209532913862336
23,0.21721888658715746
24,0.2013045324454457
25,0.18076358426356756
26,0.24371950327262548
27,0.21145060225711168
28,0.2460160007254496
29,0.21821870768090587
30,0.22082106124823486
31,0.19429686565255455
32,0.20256915113213425
33,0.17855114426893534
34,0.19193443833449575
35,0.20904744641215187
36,0.17116664153056665
37,0.21254086277404224
38,0.19183777693198098
39,0.20401919441863514
40,0.20022785938004545
41,0.24432319653461204
42,0.2194128512165252
43,0.22780713739924288
44,0.22953715284818837
45,0.21891422133186278
46,0.2530852193126449
47,0.2818957463125017
48,0.2146980306226716
49,0.25000628316845813
50,0.27041486246019253
51,0.2591781238761616
52,0.27826207705603445
53,0.2322833602462377
54,0.2916434394781654
55,0.2920477781931402
56,0.27791925144300283
57,0.2552079835519972
58,0.2392281846044877
59,0.27983036159925156
60,0.2686264648895725
61,0.27866853459574586
62,0.3083723633123182
63,0.272264190940471
64,0.28838641168944484
65,0.26065124109363663
66,0.25121074559588197
67,0.2134644489448712
68,0.2513031230063396
69,0.23249282720568296
70,0.2682442940470204
71,0.2649126489168179
72,0.2618218987911237
73,0.2709507456946326
74,0.2620195126543876
75,0.2566269849592319
76,0.24411151748018703
77,0.2861337444965018
78,0.26327278637400314
79,0.29213363413806404
80,0.27533547628194427
81,0.2502973303212098
82,0.28319070296188603
83,0.25774495094692784
84,0.2520145569133289
85,0.3482355277133919
86,0.28292522573582685
87,0.2788212955812961
88,0.3072833736484099
89,0.26629814905654003
90,0.3191961644316645
91,0.3291272175883221
92,0.2351126195674492
93,0.2195685976919463
94,0.24742883765032783
95,0.2322366001894161
96,0.23699305806811385
97,0.28525166855999845
98,0.26051689703002484
99,0.2604261768301023
