epoch,correlation
0,0.12765124841545733
1,-0.3182828429024541
2,-0.4051027798966277
3,-0.4243244969707335
4,-0.4276973627592012
5,-0.44070550800215724
6,-0.4337203835284032
7,-0.4743504423239985
8,-0.4036656138018919
9,-0.39903486329628013
10,-0.4173437075350216
11,-0.3949842377885151
12,-0.36476163887962276
13,-0.39323051780635554
14,-0.401556531167016
15,-0.3350436401420159
16,-0.2651797211855423
17,-0.4119046459035135
18,-0.26329310125907085
19,-0.4148758050059955
20,-0.3408992892131453
21,-0.31097993628550274
22,-0.3452441323187782
23,-0.40113514578695153
24,-0.2788667716990024
25,-0.38867374491973483
26,-0.3413857325752477
27,-0.3704916496981372
28,-0.29963411558048947
29,-0.26529251471680926
30,-0.26146946005750127
31,-0.4265957949803381
32,-0.24473682546066816
33,-0.20201255569435883
34,-0.23813621257316642
35,-0.3108641947487657
36,-0.2261681914877054
37,-0.32032589327171757
38,-0.29027148832587746
39,-0.13707833348206233
40,-0.16087263488927228
41,-0.2273601980222516
42,-0.1382787098796054
43,-0.1752586996650563
44,-0.3415775947110434
45,-0.1824372649091363
46,-0.22127867463513995
47,-0.21896369942923893
48,-0.11673454212960205
49,-0.2890079443600243
50,-0.2686400067196341
51,-0.3085632701555939
52,-0.2172600560782126
53,-0.22543350466667014
54,-0.24571584738306113
55,-0.16160866402670276
56,-0.2297555940893531
57,-0.1896126853655587
58,-0.24101862238735403
59,-0.2059354719238396
60,-0.17284921382501628
61,-0.2463591412051045
62,-0.20238715464377238
63,-0.18089863964917213
64,-0.12273224908439628
65,-0.2653670831742666
66,-0.20005724286521154
67,-0.07008565974336832
68,-0.2310169922810128
69,-0.21610913977323687
70,-0.23603672295656744
71,-0.07922494527265397
72,-0.3164765698153603
73,-0.3136378414044939
74,-0.25324401639838745
75,-0.18840449416064087
76,-0.06788101363300394
77,-0.22098958025678359
78,-0.25802609736747434
79,-0.0902634737496961
80,-0.21426122940202974
81,-0.18039273540594902
82,-0.17788747903595195
83,-0.16542974386790132
84,-0.19560580501977387
85,-0.1927143227098627
86,-0.13111205790983982
87,-0.12154080214770438
88,-0.08466614061234713
89,-0.013173068776565176
90,-0.19400785025342837
91,-0.1434264552721604
92,-0.19708972917382261
93,-0.11473061445595001
94,-0.1902234776473097
95,-0.1892200697548412
96,-0.11388128024584206
97,-0.11315154203962664
98,-0.1840589778886405
99,-0.07600444636653449
