epoch,layer1,layer3,layer5,layer7
2,0.11406356799171274,0.10591301447414307,0.1216868221337052,0.021537597567974014
3,0.08460492623364224,0.05983788257450279,0.06655378035093124,0.01642982108849637
4,0.06979623944024502,0.0460613963856936,0.045609044771843174,0.02161282186573516
5,0.07992250861928717,0.050368650101029956,0.04850130124027594,0.024569217081543335
6,0.0806483203358883,0.058685981511771464,0.06892502587594734,0.026481216191859464
7,0.06838172600190805,0.037604693257623986,0.03246881796431762,0.02171195154747725
8,0.06998858106862887,0.03931274374805185,0.04384417700219711,0.01810565072014811
9,0.059248967931939386,0.02908132531367841,0.022179416065352165,0.019143399436881637
10,0.05162348764854998,0.031508547998915976,0.0252628099585141,0.021391434126771403
11,0.04576991114258355,0.027195508250444544,0.02387885612838269,0.01880663207488252
12,0.05152890228793924,0.02855118727829014,0.02141324020320135,0.019982656680231487
13,0.043124722120843784,0.024166385186866462,0.017649384890131438,0.019982335649267827
14,0.04847618296648354,0.031045960993340074,0.024285912171462674,0.0381634463721504
15,0.051310710236752634,0.03274786052553654,0.02944109310130992,0.042993169213259914
16,0.05127766061356534,0.022825869008648914,0.01719427023749481,0.02683616638046501
17,0.05127425797610329,0.02774583379536461,0.021837023698297334,0.029347984360088505
18,0.0540515053259388,0.022534121327444718,0.018309973211340324,0.04100810133376088
19,0.047241973572237556,0.022247252909067223,0.019102200449162915,0.04225719477201486
20,0.042791175094872014,0.019074706314908232,0.011891806633140297,0.020605796005007913
21,0.04918680826197194,0.019703922350638725,0.017254417434384738,0.02034350626121269
22,0.04255654512527999,0.021605039226995186,0.011422743978571844,0.019717745053631254
23,0.040075614967209135,0.019318784666743395,0.011328438197739328,0.023677132913425134
24,0.04272576118689981,0.01883507549759225,0.01887086646129426,0.03669209420297511
25,0.04233917229942027,0.01965999570193239,0.015478739741981554,0.03521474622938518
26,0.04199028981800431,0.022259604196840508,0.013595213863709538,0.030135423856318993
27,0.036635977836001574,0.018726485762149817,0.011754737683164167,0.020533429060924042
28,0.0415013503153813,0.015285246645049587,0.010998228675564044,0.03468849482177053
