epoch,neuron1_bias,neuron2_bias,neuron3_bias,neuron4_bias,neuron5_bias,neuron6_bias,neuron7_bias,neuron8_bias,neuron9_bias,neuron10_bias,neuron11_bias,neuron12_bias,neuron13_bias,neuron14_bias,neuron15_bias,neuron16_bias,neuron17_bias,neuron18_bias,neuron19_bias,neuron20_bias,neuron21_bias,neuron22_bias,neuron23_bias,neuron24_bias,neuron25_bias,neuron26_bias,neuron27_bias,neuron28_bias,neuron29_bias,neuron30_bias,neuron31_bias,neuron32_bias,neuron33_bias,neuron34_bias,neuron35_bias,neuron36_bias,neuron37_bias,neuron38_bias,neuron39_bias,neuron40_bias,neuron41_bias,neuron42_bias,neuron43_bias,neuron44_bias,neuron45_bias,neuron46_bias,neuron47_bias,neuron48_bias,neuron49_bias,neuron50_bias,neuron51_bias,neuron52_bias,neuron53_bias,neuron54_bias,neuron55_bias,neuron56_bias,neuron57_bias,neuron58_bias,neuron59_bias,neuron60_bias,neuron61_bias,neuron62_bias,neuron63_bias,neuron64_bias,neuron65_bias,neuron66_bias,neuron67_bias,neuron68_bias,neuron69_bias,neuron70_bias,neuron71_bias,neuron72_bias,neuron73_bias,neuron74_bias,neuron75_bias,neuron76_bias,neuron77_bias,neuron78_bias,neuron79_bias,neuron80_bias,neuron81_bias,neuron82_bias,neuron83_bias,neuron84_bias,neuron85_bias,neuron86_bias,neuron87_bias,neuron88_bias,neuron89_bias,neuron90_bias,neuron91_bias,neuron92_bias,neuron93_bias,neuron94_bias,neuron95_bias,neuron96_bias,neuron97_bias,neuron98_bias,neuron99_bias,neuron100_bias,neuron101_bias,neuron102_bias,neuron103_bias,neuron104_bias,neuron105_bias,neuron106_bias,neuron107_bias,neuron108_bias,neuron109_bias,neuron110_bias,neuron111_bias,neuron112_bias,neuron113_bias,neuron114_bias,neuron115_bias,neuron116_bias,neuron117_bias,neuron118_bias,neuron119_bias,neuron120_bias,neuron121_bias,neuron122_bias,neuron123_bias,neuron124_bias,neuron125_bias,neuron126_bias
10,-0.000610,-0.000008,-0.000000,-0.019115,-0.000000,-0.000001,-0.000000,0.006816,-0.000003,0.047251,-0.011838,0.031703,0.046301,0.000624,-0.000000,-0.000000,-0.046747,0.025628,0.018652,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.000000,0.030822,0.028060,-0.024288,-0.000090,-0.000143,0.058086,0.031192,0.036693,-0.000001,-0.000003,-0.002170,-0.000001,-0.000000,0.034848,-0.003176,0.045548,0.035265,-0.000000,-0.031782,0.012397,-0.029632,-0.000003,-0.000003,-0.000000,0.016046,-0.000167,-0.011437,0.017895,-0.042837,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.037346,-0.002114,-0.000000,0.038562,-0.024817,-0.024641,0.055254,-0.021296,-0.000000,-0.000274,0.024341,0.028763,0.022060,0.038665,-0.021219,-0.022577,0.025508,-0.000011,-0.000002,0.041045,-0.000382,-0.022753,0.035002,0.018425,-0.000000,0.009610,0.046029,0.019684,0.038508,-0.000000,-0.000035,-0.000001,-0.006326,0.032378,-0.003540,0.053798,-0.000025,-0.000010,-0.038145,0.031002,-0.007148,0.064252,0.000335,-0.000001,-0.000000,-0.032763,-0.000001,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,0.000169,-0.000177,-0.000731,0.073578,-0.026578,-0.005195,-0.000000,-0.000044,0.000263
11,-0.000610,-0.000008,-0.000000,-0.018574,-0.000000,-0.000001,-0.000000,0.000141,-0.024530,0.048896,-0.011838,0.029163,0.044549,-0.000007,-0.000000,-0.000000,-0.047823,0.021382,0.011467,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.000000,0.026701,0.020717,-0.024288,-0.000090,-0.000143,0.052236,0.025114,0.036959,-0.000001,-0.000003,-0.002170,-0.000002,-0.000000,0.035167,-0.003176,0.044596,0.035583,-0.000000,-0.031782,0.007638,-0.033926,-0.000003,-0.000003,-0.000000,0.009450,-0.000167,-0.011437,0.017619,-0.045404,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.039367,-0.002114,-0.000000,0.033091,-0.024817,-0.027291,0.054018,-0.021296,-0.000000,-0.000274,0.008552,0.014198,0.017043,0.036091,-0.021219,-0.022577,0.021595,-0.000011,-0.000002,0.041205,-0.000382,-0.022753,0.017957,0.011777,-0.000000,0.001218,0.048726,0.016646,0.038089,-0.000000,-0.000035,-0.000001,-0.006326,0.027085,-0.003540,0.053402,-0.000025,-0.000010,-0.038145,0.026258,-0.007148,0.062728,-0.000142,-0.000001,-0.000000,-0.032763,-0.000001,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.000097,-0.000177,-0.000731,0.078483,-0.026578,-0.005195,-0.000000,-0.000044,-0.000001
12,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.000000,-0.024530,0.047391,-0.011838,0.033253,0.044711,-0.000007,-0.000000,-0.000000,-0.044807,0.021958,0.004657,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.000000,0.026549,0.021324,-0.024288,-0.000090,-0.000143,0.048061,0.023514,0.039601,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.036124,-0.003176,0.045747,0.037790,-0.000000,-0.031782,0.004928,-0.035588,-0.000003,-0.000003,-0.000000,0.005477,-0.000167,-0.011437,0.019378,-0.048962,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.040807,-0.002114,-0.000000,0.036581,-0.024817,-0.024918,0.056624,-0.021296,-0.000000,-0.000274,0.000916,0.003749,0.017471,0.036912,-0.021219,-0.022577,0.018950,-0.010408,-0.000002,0.039172,-0.000382,-0.022753,0.005268,0.006381,-0.000000,0.000051,0.049985,0.019147,0.039365,-0.000000,-0.000035,-0.000001,-0.006326,0.024767,-0.003540,0.057460,-0.000025,-0.000010,-0.038145,0.024906,-0.007148,0.059104,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.000097,-0.000177,-0.000731,0.081891,-0.026578,-0.005195,-0.000000,-0.000044,-0.000001
13,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.000000,-0.024530,0.043358,-0.011838,0.028769,0.041408,-0.000007,-0.000000,-0.000000,-0.049005,0.014709,0.000031,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.020706,0.017087,-0.024288,-0.000090,-0.000143,0.044861,0.024387,0.038449,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.038414,-0.003176,0.044268,0.037041,-0.000000,-0.031782,0.001339,-0.037772,-0.000003,-0.000043,-0.000000,0.001281,-0.000167,-0.011437,0.021441,-0.048526,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.041388,-0.002114,-0.000000,0.033966,-0.024817,-0.025987,0.061033,-0.021296,-0.000000,-0.000274,-0.000736,-0.000013,0.014032,0.035298,-0.021219,-0.022577,0.015096,-0.011663,-0.000002,0.035958,-0.000382,-0.022753,0.000426,0.001335,-0.000000,-0.000000,0.056479,0.012484,0.034270,-0.000000,-0.000035,-0.000001,-0.006326,0.025230,-0.003540,0.055729,-0.000025,-0.000010,-0.038145,0.023036,-0.007148,0.059487,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.000097,-0.000177,-0.000731,0.084739,-0.026578,-0.005195,-0.000000,-0.000044,-0.000001
14,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.000000,-0.024530,0.044500,-0.011838,0.029221,0.046657,-0.000007,-0.000000,-0.000000,-0.043437,0.016160,-0.000001,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.020578,0.014840,-0.024288,-0.000091,-0.000143,0.041411,0.019968,0.036197,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.038208,-0.003176,0.041740,0.038175,-0.000000,-0.031782,-0.002960,-0.039995,-0.000003,-0.000045,-0.000000,0.000091,-0.000167,-0.011437,0.017514,-0.051853,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.045312,-0.002114,-0.000000,0.037965,-0.024817,-0.020154,0.063821,-0.021296,-0.000000,-0.000274,-0.000778,-0.000014,0.013181,0.039976,-0.021219,-0.022577,0.011012,-0.011663,-0.000002,0.034469,-0.000382,-0.022753,-0.000001,-0.000015,-0.000000,-0.000000,0.056510,0.015444,0.034091,-0.000000,-0.000035,-0.000001,-0.006326,0.019314,-0.003540,0.053066,-0.000025,-0.000010,-0.038145,0.020967,-0.007148,0.056741,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.000097,-0.000177,-0.000731,0.086552,-0.026578,-0.005195,-0.000000,-0.000044,-0.000001
15,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.000000,-0.024530,0.039017,-0.011838,0.026145,0.040491,-0.000007,-0.000000,-0.000000,-0.041398,0.012675,-0.000001,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.016496,0.010159,-0.024288,-0.034588,-0.000143,0.039212,0.017234,0.033681,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.036540,-0.003176,0.040675,0.039162,-0.000000,-0.031782,-0.005880,-0.040753,-0.000003,-0.000045,-0.000000,-0.000008,-0.000167,-0.011437,0.018105,-0.054041,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.045371,-0.002114,-0.000000,0.031318,-0.024817,-0.024821,0.065054,-0.021296,-0.000000,-0.000274,-0.000778,-0.000014,0.011087,0.034295,-0.021219,-0.022577,0.011324,-0.011663,-0.000002,0.033892,-0.000382,-0.022753,-0.000001,-0.000015,-0.000000,-0.000001,0.054989,0.009747,0.028282,-0.000000,-0.000035,-0.000001,-0.006326,0.019734,-0.003540,0.050960,-0.000025,-0.000010,-0.038145,0.018646,-0.007148,0.056028,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.000097,-0.000177,-0.000731,0.088246,-0.026578,-0.005195,-0.000000,-0.000044,-0.000001
16,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.000000,-0.024530,0.040249,-0.011838,0.024482,0.040341,-0.000007,-0.000000,-0.000000,-0.037078,0.012780,-0.000001,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.016245,0.008326,-0.024288,-0.034588,-0.000143,0.035125,0.015985,0.035140,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.039082,-0.003176,0.041065,0.045040,-0.000000,-0.031782,-0.009126,-0.039528,-0.000003,-0.017492,-0.000000,-0.000008,-0.000167,-0.011437,0.018721,-0.053064,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.044231,-0.002114,-0.000000,0.025925,-0.024817,-0.026585,0.069022,-0.021296,-0.000000,-0.000274,-0.000778,-0.000014,0.009274,0.035195,-0.021219,-0.022577,0.007725,-0.011663,-0.000002,0.036446,-0.000382,-0.022753,-0.000001,-0.000015,-0.000000,-0.000001,0.053839,0.008961,0.026260,-0.000000,-0.000035,-0.000001,-0.006326,0.017906,-0.003540,0.041637,-0.000025,-0.000010,-0.038145,0.016799,-0.007148,0.051218,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.000097,-0.000177,-0.000731,0.090559,-0.026578,-0.005195,-0.000000,-0.000044,-0.000001
17,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.000000,-0.024530,0.038808,-0.011838,0.017544,0.042215,-0.000007,-0.000000,-0.000000,-0.037078,0.011056,-0.000054,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.015981,0.003279,-0.024288,-0.034588,-0.000143,0.029305,0.014610,0.034223,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.036628,-0.003176,0.042102,0.041428,-0.000000,-0.031782,-0.011347,-0.044381,-0.000003,-0.017492,-0.000000,-0.000008,-0.000167,-0.011437,0.018689,-0.052248,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.046782,-0.002114,-0.000000,0.016109,-0.024817,-0.027865,0.071227,-0.021296,-0.000000,-0.000274,-0.000778,-0.000014,0.010037,0.035133,-0.021219,-0.022577,0.004322,-0.011663,-0.000002,0.033867,-0.000382,-0.022753,-0.000001,-0.000015,-0.000000,-0.000001,0.054158,0.005987,0.009856,-0.000000,-0.000035,-0.000001,-0.006326,0.018272,-0.003540,0.029189,-0.000025,-0.000010,-0.038145,0.017775,-0.007148,0.049598,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.000097,-0.000177,-0.000731,0.093692,-0.026578,-0.005195,-0.000000,-0.000044,-0.000001
18,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.028972,-0.024530,0.037102,-0.011838,0.016973,0.035988,-0.000007,-0.000000,-0.000000,-0.037078,0.013479,-0.000054,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.015877,0.004331,-0.024288,-0.034588,-0.000143,0.023980,0.013817,0.034188,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.040530,-0.003176,0.038646,0.044306,-0.000000,-0.031782,-0.014187,-0.042218,-0.000003,-0.017492,-0.000000,-0.000008,-0.000167,-0.011437,0.021150,-0.057496,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.045492,-0.002114,-0.000000,0.014179,-0.024817,-0.026338,0.073945,-0.021296,-0.000000,-0.000274,-0.000778,-0.000014,0.007253,0.033403,-0.021219,-0.022577,0.000394,-0.011663,-0.000002,0.035246,-0.000382,-0.022753,-0.000001,-0.000015,-0.000000,-0.022842,0.053734,0.000517,0.004845,-0.000000,-0.000035,-0.000001,-0.006326,0.015464,-0.003540,0.014729,-0.000025,-0.000010,-0.038145,0.014398,-0.007148,0.045177,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.000097,-0.000177,-0.000731,0.094519,-0.026578,-0.005195,-0.000000,-0.000044,-0.000001
19,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.028972,-0.024530,0.037661,-0.011838,0.006211,0.034491,-0.000007,-0.000000,-0.000000,-0.037078,0.009874,-0.000054,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.013992,-0.001772,-0.024288,-0.034588,-0.000143,0.020752,0.010672,0.035386,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.038532,-0.003176,0.041117,0.045727,-0.000000,-0.031782,-0.017345,-0.048233,-0.000003,-0.017492,-0.000000,-0.000007,-0.000167,-0.011437,0.023283,-0.059155,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.046581,-0.002114,-0.000000,0.008637,-0.024817,-0.032380,0.074641,-0.021296,-0.000000,-0.000274,-0.000778,-0.000014,0.007174,0.031893,-0.021219,-0.022577,-0.004062,-0.011663,-0.000002,0.036699,-0.000382,-0.022753,-0.000001,-0.000015,-0.000000,-0.022842,0.056224,-0.000087,0.002690,-0.000000,-0.000035,-0.000001,-0.006326,0.015385,-0.003540,0.003313,-0.000025,-0.000010,-0.038145,0.014435,-0.007148,0.047513,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.000097,-0.000177,-0.000731,0.094864,-0.026578,-0.005195,-0.000000,-0.000044,-0.000001
20,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.028972,-0.024530,0.035914,-0.011838,0.006745,0.031440,-0.000007,-0.000000,-0.000000,-0.037078,0.009271,-0.000054,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.010820,-0.000140,-0.024288,-0.034588,-0.000143,0.017659,0.010373,0.028749,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.038659,-0.003176,0.037133,0.042164,-0.000000,-0.031782,-0.019871,-0.046227,-0.000003,-0.017492,-0.000000,-0.000007,-0.000167,-0.011437,0.020866,-0.058173,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.047536,-0.002114,-0.000000,0.004369,-0.024817,-0.033763,0.079614,-0.021296,-0.000000,-0.000274,-0.000778,-0.000013,0.001541,0.031720,-0.021219,-0.022577,-0.004510,-0.011663,-0.000002,0.034779,-0.000382,-0.022753,-0.000001,-0.000015,-0.000000,-0.022842,0.056621,-0.000087,-0.000345,-0.000000,-0.000035,-0.025682,-0.006326,0.015016,-0.003540,-0.000155,-0.000025,-0.039483,-0.038145,0.013030,-0.007148,0.043163,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.065173,-0.000177,-0.000731,0.095670,-0.026578,-0.005195,-0.000000,-0.000044,-0.000001
21,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.028972,-0.024530,0.034824,-0.011838,0.006722,0.033245,-0.000007,-0.000000,-0.000000,-0.037078,0.009527,-0.000054,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.010645,-0.000724,-0.024288,-0.034588,-0.000143,0.012385,0.007160,0.024702,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.040611,-0.003176,0.038116,0.041493,-0.000000,-0.031782,-0.021986,-0.045870,-0.000003,-0.017492,-0.000000,-0.000007,-0.000167,-0.011437,0.021195,-0.060474,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.045661,-0.002114,-0.000000,0.000962,-0.024817,-0.035092,0.080663,-0.021296,-0.000000,-0.000274,-0.000778,-0.000013,0.001460,0.033102,-0.021219,-0.022577,-0.003201,-0.011663,-0.000002,0.035538,-0.000382,-0.022753,-0.000001,-0.000016,-0.000000,-0.022842,0.057568,-0.000087,-0.000345,-0.000000,-0.000035,-0.025682,-0.006326,0.013927,-0.003540,-0.000155,-0.000025,-0.070306,-0.038145,0.010809,-0.007148,0.041563,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.065173,-0.000177,-0.000731,0.099487,-0.026578,-0.005195,-0.000000,-0.000044,-0.043580
22,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.028972,-0.024530,0.032660,-0.011838,0.003024,0.031551,-0.000007,-0.000000,-0.000000,-0.037078,0.007780,-0.023571,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.009914,-0.003808,-0.024288,-0.034588,-0.000143,0.009677,0.005411,0.019038,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.038107,-0.003176,0.037071,0.040536,-0.000000,-0.031782,-0.022521,-0.047595,-0.000003,-0.017492,-0.000000,-0.000007,-0.000167,-0.011437,0.019144,-0.059123,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.047511,-0.002114,-0.000000,-0.002036,-0.024817,-0.028244,0.083152,-0.021296,-0.000000,-0.000274,-0.000778,-0.000013,0.000540,0.028757,-0.021219,-0.022577,-0.008114,-0.011663,-0.000002,0.034810,-0.000382,-0.022753,-0.000001,-0.000016,-0.000000,-0.022842,0.057661,-0.000087,-0.000345,-0.000000,-0.000035,-0.025682,-0.006326,0.016274,-0.003540,-0.000155,-0.000025,-0.070306,-0.038145,0.010303,-0.007148,0.039957,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.065173,-0.000177,-0.000731,0.099888,-0.026578,-0.005195,-0.000000,-0.000044,-0.043580
23,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.028972,-0.024530,0.028557,-0.011838,-0.000944,0.028175,-0.000007,-0.000000,-0.000000,-0.037078,0.004223,-0.023571,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.007493,-0.008817,-0.024288,-0.034588,-0.000143,0.004793,0.001695,0.012564,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.038040,-0.003176,0.035562,0.037689,-0.000000,-0.031782,-0.024141,-0.048840,-0.000003,-0.017492,-0.000000,-0.064247,-0.000167,-0.011437,0.022609,-0.063000,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.044927,-0.002114,-0.000000,-0.002036,-0.024817,-0.028244,0.084828,-0.021296,-0.000000,-0.000274,-0.000778,-0.029805,0.000022,0.026519,-0.021219,-0.022577,-0.006902,-0.011663,-0.000002,0.032409,-0.000382,-0.022753,-0.044475,-0.033333,-0.000000,-0.022842,0.058910,-0.000087,-0.000345,-0.000000,-0.000035,-0.025682,-0.006326,0.014431,-0.003540,-0.000155,-0.000025,-0.070306,-0.038145,0.005840,-0.007148,0.039041,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.065173,-0.000177,-0.000731,0.102962,-0.026578,-0.005195,-0.000000,-0.000044,-0.043580
24,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.028972,-0.024530,0.028448,-0.011838,-0.001440,0.032439,-0.000007,-0.000000,-0.000000,-0.037078,0.008838,-0.023571,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.008163,-0.006159,-0.024288,-0.034588,-0.000143,-0.001454,-0.009942,0.005840,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.038642,-0.003176,0.034993,0.038932,-0.000000,-0.031782,-0.028071,-0.049753,-0.000003,-0.017492,-0.000000,-0.064247,-0.000167,-0.011437,0.024011,-0.062850,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.044203,-0.002114,-0.000000,-0.002036,-0.024817,-0.028244,0.087678,-0.021296,-0.000000,-0.000274,-0.000778,-0.029805,-0.000002,0.029328,-0.021219,-0.022577,-0.014493,-0.011663,-0.000002,0.034954,-0.000382,-0.022753,-0.044475,-0.033901,-0.000000,-0.022842,0.060001,-0.000087,-0.000345,-0.000000,-0.000035,-0.025682,-0.006326,0.015979,-0.003540,-0.000155,-0.000025,-0.070306,-0.038145,0.012186,-0.007148,0.033051,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.065173,-0.000177,-0.000731,0.103334,-0.026578,-0.005195,-0.000000,-0.000044,-0.043580
25,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.028972,-0.024530,0.028597,-0.011838,-0.001979,0.029233,-0.000007,-0.000000,-0.000000,-0.037078,0.006170,-0.023571,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.008452,-0.010302,-0.024288,-0.034588,-0.000143,-0.003589,-0.009942,0.000976,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.040380,-0.003176,0.038054,0.040058,-0.000000,-0.031782,-0.028004,-0.054223,-0.000003,-0.017492,-0.000000,-0.064247,-0.000167,-0.011437,0.021476,-0.062872,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.044791,-0.002114,-0.000000,-0.002036,-0.024817,-0.028244,0.086999,-0.021296,-0.000000,-0.000274,-0.000778,-0.029805,-0.000002,0.029291,-0.021219,-0.022577,-0.014752,-0.011663,-0.000002,0.036755,-0.000382,-0.022753,-0.044475,-0.033901,-0.000000,-0.022842,0.061172,-0.000087,-0.000345,-0.000000,-0.000035,-0.025682,-0.006326,0.015370,-0.003540,-0.000155,-0.000025,-0.070306,-0.038145,0.005236,-0.007148,0.031719,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.065173,-0.000177,-0.000731,0.102868,-0.026578,-0.005195,-0.000000,-0.000044,-0.043580
26,-0.000610,-0.000008,-0.013995,-0.018574,-0.000000,-0.000001,-0.000000,-0.028972,-0.024530,0.029610,-0.011838,-0.005205,0.031541,-0.000007,-0.000000,-0.000000,-0.037078,0.006937,-0.023571,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.006019,0.007077,-0.012158,-0.024288,-0.034588,-0.000143,-0.003933,-0.009942,0.000003,-0.000001,-0.000003,-0.002170,-0.054132,-0.000000,0.039406,-0.003176,0.036515,0.039131,-0.000000,-0.031782,-0.029916,-0.053118,-0.000003,-0.017492,-0.000000,-0.064247,-0.000167,-0.011437,0.021165,-0.063254,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.046354,-0.002114,-0.000000,-0.002036,-0.024817,-0.028244,0.087401,-0.021296,-0.000000,-0.000274,-0.000778,-0.029805,-0.000002,0.027676,-0.021219,-0.022577,-0.015828,-0.011663,-0.000002,0.035607,-0.000382,-0.022753,-0.044475,-0.033901,-0.000000,-0.022842,0.062015,-0.000087,-0.000345,-0.000000,-0.000035,-0.025682,-0.006326,0.014733,-0.003540,-0.000155,-0.000025,-0.070306,-0.038145,0.007489,-0.007148,0.026957,-0.000142,-0.000001,-0.000000,-0.032763,-0.039902,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,-0.065173,-0.000177,-0.000731,0.105012,-0.026578,-0.005195,-0.000000,-0.000044,-0.043580
