epoch,mean,median,mode,std_dev,min,max,q1_25th,q3_75th,skewness,kurtosis
0,0.03431475396825397,0.0306665,-0.038145,0.049567151292133446,-0.038145,0.360469,0.0008175,0.05205799999999999,2.6207502878034985,13.53824882276399
1,0.02734687301587302,0.0306315,-0.0,0.038027790232304175,-0.038145,0.236595,0.0,0.04921425,1.3993606652397086,5.708914176498817
2,0.020593777777777777,0.0203045,-0.0,0.03089295207697028,-0.038145,0.088416,-0.0006075,0.043991749999999996,0.24606755226146226,-0.9144868764464578
3,0.01697395238095238,0.003535,-0.0,0.029918423785474667,-0.038145,0.08256,-0.00062425,0.04143925,0.3808193373784315,-0.8548157999472012
4,0.014182666666666668,0.0,-0.0,0.028805146465601627,-0.039264,0.081922,-0.00062425,0.03798775,0.4954325482283173,-0.6458324900745249
5,0.012141555555555555,0.0,-0.0,0.027767579890817733,-0.040331,0.077169,-0.00089,0.034866,0.5294333091381417,-0.5252755882750035
6,0.010242015873015875,0.0,-0.0,0.026555980216397893,-0.043193,0.076515,-0.00089,0.033272499999999997,0.5710701405925329,-0.33433652562027216
7,0.008462452380952381,0.0,-0.0,0.025554781570282993,-0.041544,0.072908,-0.00089,0.0281005,0.566462900523993,-0.23918563833787188
8,0.006923039682539684,-1e-06,-0.0,0.024370671835969575,-0.044431,0.071018,-0.002156,0.02542975,0.5438139338605535,-0.1138445579192755
9,0.0054721031746031755,-1e-06,-0.0,0.02311294099095266,-0.045971,0.070025,-0.002156,0.0195835,0.5559698596175504,0.13201960478410335
10,0.004564341269841271,-2.4999999999999998e-06,-0.0,0.02254453198624387,-0.046747,0.073578,-0.0023635,0.01743275,0.5989223519777177,0.4637094420990824
11,0.0031170396825396826,-4.9999999999999996e-06,-0.0,0.022008371654426814,-0.047823,0.078483,-0.002989,0.009225500000000001,0.6825034937474175,1.0586551017825228
12,0.0018783809523809521,-9e-06,-0.0,0.023098972715032067,-0.054132,0.081891,-0.00604325,0.00443,0.6199135348421152,1.08700605856275
13,0.0011746111111111109,-2.1000000000000002e-05,-0.0,0.022923374268564868,-0.054132,0.084739,-0.00624925,2.3250000000000003e-05,0.6918855212005387,1.5122626597014097
14,0.0010248174603174614,-2.9999999999999997e-05,-0.0,0.022901955247644077,-0.054132,0.086552,-0.00624925,-0.0,0.7225173164366819,1.6963794486493997
15,0.00016581746031746068,-2.9999999999999997e-05,-0.0,0.02255638527004729,-0.054132,0.088246,-0.0069425,-0.0,0.718326235204295,2.02283932132735
16,-0.00010911904761904762,-2.9999999999999997e-05,-0.0,0.022427938976284086,-0.054132,0.090559,-0.0090205,-0.0,0.8040508937550414,2.2879267569792674
17,-0.000731333333333333,-3.5499999999999996e-05,-0.0,0.022073313364533404,-0.054132,0.093692,-0.009058,-0.0,0.8697616342214805,3.0025930988119693
18,-0.0015395952380952381,-4.9e-05,-0.0,0.022048975850015813,-0.057496,0.094519,-0.011606499999999999,-0.0,0.9168659942186014,3.338468185254807
19,-0.0020228253968253957,-8.65e-05,-0.0,0.02223887436916736,-0.059155,0.094864,-0.011606499999999999,-0.0,0.9456907058779442,3.525260182118445
20,-0.003429738095238094,-0.000149,-0.0,0.022947666827895688,-0.065173,0.09567,-0.014487,-0.0,0.8321200065208603,3.605486756792983
21,-0.004118650793650793,-0.000172,-0.0,0.02389399233397033,-0.070306,0.099487,-0.015809,-0.0,0.7127081812625379,3.6933656996978117
22,-0.0045941269841269835,-0.00030250000000000003,-0.0,0.02370572466993431,-0.070306,0.099888,-0.016216,-0.0,0.7790578320002524,4.059970669997639
23,-0.006337103174603175,-0.000605,-0.0,0.024642024965696098,-0.070306,0.102962,-0.021276749999999997,-0.0,0.7595503418870859,3.992429852501388
24,-0.006423682539682539,-0.00068,-0.0,0.024871499712458795,-0.070306,0.103334,-0.021276749999999997,-1e-06,0.8084736393899461,4.024040122228375
