,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,input_26,input_27,input_28,input_29,input_30,input_31,input_32,input_33,input_34,input_35,input_36,input_37,input_38,input_39,input_40,input_41,input_42,input_43,input_44,input_45,input_46,input_47,input_48,input_49,input_50,input_51,input_52,input_53,input_54,input_55,input_56,input_57,input_58,input_59,input_60,input_61,input_62,input_63,input_64,input_65,input_66,input_67,input_68,input_69,input_70,input_71,input_72,input_73,input_74,input_75,input_76,input_77,input_78,input_79,input_80,input_81,input_82,input_83,input_84,input_85,input_86,input_87,input_88,input_89,input_90,input_91,input_92,input_93,input_94,input_95,input_96,input_97,input_98,input_99,input_100,input_101,input_102,input_103,input_104,input_105,input_106,input_107,input_108,input_109,input_110,input_111,input_112,input_113,input_114,input_115,input_116,input_117,input_118,input_119,input_120,input_121,input_122,input_123,input_124,input_125,input_126
neuron_1,1.1492014e-34,-1.8213316e-34,3.2003128e-34,3.4591001e-34,1.9002915e-34,-5.5480505e-34,-1.2557802e-34,4.8382392e-34,3.2611225e-34,0.030533563,-5.3153044e-34,0.027045695,0.026780736,4.5752426e-34,-1.5838038e-34,2.97547e-37,2.8473038e-34,-1.9479606e-34,-4.832728e-34,-5.7714517e-35,5.7523496e-34,-3.2656725e-34,4.6007026e-34,5.3441582e-34,-3.8079419e-34,3.6892459e-34,4.277311e-34,4.4293936e-34,2.090392e-34,0.01978104,0.03768355,3.4300122e-35,-1.469052e-34,-3.9119543e-34,-0.039591387,-9.1832035e-35,-1.0068866e-34,2.336958e-34,-1.9192452e-34,5.5234703e-34,-1.7977634e-34,-2.4099994e-34,-0.034126714,-3.887869e-34,-3.0364505e-34,-0.034899764,-4.4800826e-34,-3.9896356e-34,-0.030970614,-0.026218358,2.415689e-34,4.686723e-34,1.906655e-34,1.4716487e-34,4.8899647e-34,3.7569927e-34,-2.1959933e-35,5.9215327e-36,-2.3528275e-34,4.46647e-34,-2.7443387e-34,1.8984468e-34,4.975953e-34,-1.8601111e-34,-3.648498e-34,-0.02944824,-3.1313723e-35,-1.545587e-34,-3.4297135e-34,2.5597905e-34,5.5404277e-34,-0.019077856,-3.417669e-34,-1.0432525e-34,7.776019e-35,-4.4438205e-34,-3.3122184e-34,-7.8040886e-36,0.02130714,3.9247736e-36,-7.541763e-35,-1.1713737e-20,-5.1069343e-34,-5.2812633e-34,-0.032826032,1.0312093e-34,1.8268983e-34,-5.328806e-34,5.896713e-34,3.54997e-35,-3.9381026e-34,-0.045506954,2.2293145e-34,-1.0942592e-34,-4.3045352e-35,-5.6089833e-34,-9.957057e-35,1.99796e-34,0.028896103,-4.143694e-34,8.117536e-35,9.1736624e-35,4.152333e-34,5.038597e-35,-7.4862316e-35,3.486227e-34,-0.040563032,1.6236516e-36,-6.507021e-35,4.8126364e-34,3.2320897e-34,-3.0264617e-36,-7.2781513e-35,-3.2386966e-34,1.0948123e-35,1.7352618e-34,1.4960659e-34,-3.7599335e-34,-4.229081e-34,3.7079693e-34,-0.040184364,-1.34039e-34,1.8093604e-34,2.3295984e-34,-2.804645e-34,-4.1365352e-34
neuron_2,5.2931133e-34,4.9184993e-34,-1.1045459e-34,4.9211336e-34,-4.284452e-34,-7.669676e-35,-2.7397373e-34,-1.7984157e-35,-3.9247323e-34,0.039820418,5.665012e-34,0.031834815,0.036926735,-2.5026275e-34,-1.8890873e-34,3.209212e-34,-7.233089e-35,4.3888224e-35,-4.416393e-34,1.1766839e-34,2.3361315e-07,-3.5222733e-34,1.983134e-34,-4.171447e-34,-4.0027047e-34,9.879695e-35,5.1696754e-34,4.1878547e-34,3.1231211e-34,0.029352352,0.046606097,3.3812613e-35,-9.500566e-35,-1.81095e-36,-0.046495046,2.15066e-34,-8.626383e-35,-4.941097e-34,-3.307836e-34,3.2645108e-36,2.4175474e-34,-1.8819506e-34,-0.03336184,-3.7728423e-34,-1.4972029e-34,-0.0437502,9.244805e-35,-3.592757e-34,-0.043480173,-0.030392068,3.6766247e-34,4.450895e-34,-3.6652754e-34,2.459124e-34,-1.4748193e-34,-1.7490566e-34,-9.447315e-35,-5.2901603e-34,-1.1955465e-34,1.6462557e-34,-4.9667924e-34,-1.1322658e-34,-3.8605505e-35,4.547782e-34,-5.458643e-34,-0.035634387,-4.583525e-34,-3.561664e-34,-2.5366264e-34,1.5851881e-34,-1.9456975e-34,-0.029223055,-4.353338e-34,5.2498193e-34,-5.0497846e-34,-8.475087e-35,6.224899e-35,3.1011024e-34,0.033423774,2.7438173e-34,4.6252075e-34,-3.021347e-13,4.239379e-34,6.566309e-35,-0.042212173,3.5498869e-34,5.354024e-34,5.59503e-34,1.797453e-34,-3.6183909e-34,-1.976738e-34,-0.048506867,-1.8953391e-35,1.1130097e-34,-3.1226098e-34,-4.3061784e-34,-2.2691128e-34,-3.9075127e-34,0.041215774,-1.7768633e-35,-3.681732e-35,3.6116361e-34,-1.5639879e-34,1.0687397e-34,4.069125e-34,-4.7738387e-35,-0.045404084,5.045648e-34,-1.073782e-34,3.9767167e-34,-1.3745858e-34,4.7232823e-34,5.273705e-34,1.3127445e-34,-1.5981792e-34,-3.5075838e-34,1.4537274e-34,-1.6215192e-34,2.169119e-34,-6.336679e-35,-0.040835075,-5.1420458e-34,4.050008e-34,7.1310515e-35,8.200198e-35,-1.8619096e-34
neuron_3,-1.6805565e-34,4.3051204e-34,2.9337136e-34,-5.5166584e-34,3.133728e-34,1.135812e-34,3.5524e-34,3.8868244e-34,-1.1336183e-34,0.034601994,-7.3459994e-35,0.030641496,0.031547505,3.649146e-34,1.1345196e-34,-2.4891807e-34,-1.516424e-34,4.917992e-34,-1.6593648e-34,2.5341698e-34,1.5196662e-34,-1.0818281e-34,-3.3276383e-34,-2.4755567e-34,5.099444e-34,3.2279207e-35,-5.0655146e-34,-5.3024805e-34,1.1687623e-34,0.027392454,0.04339309,4.866418e-34,3.797214e-35,-3.0115233e-34,-0.042872116,-3.4463635e-34,-2.6503357e-34,2.1027124e-34,1.3901644e-34,-3.1056588e-34,-2.9518987e-34,-5.681902e-34,-0.037161402,-1.4570937e-34,-5.333622e-36,-0.045718886,-2.8175805e-34,1.5524643e-34,-0.036579125,-0.033865385,3.857378e-36,5.0455413e-34,2.9146323e-34,-4.9563273e-36,1.7643678e-34,3.249995e-35,4.9578164e-34,-2.1136256e-34,4.0679823e-34,-4.831187e-34,-4.3721837e-34,4.1322396e-34,-1.8275112e-34,-5.4836784e-34,-4.67455e-34,-0.037871864,4.2747633e-34,8.293977e-35,2.9633528e-34,1.7964874e-34,1.6970131e-34,-0.024631502,4.469364e-34,-3.9971877e-34,1.1484353e-34,-4.8602504e-34,2.3955422e-34,3.9780735e-34,0.02485394,-4.2360936e-35,-2.98805e-34,-1.6162405e-16,3.7584508e-34,5.624782e-34,-0.04348899,2.9116729e-34,-4.142444e-34,-5.7403154e-34,3.3932518e-34,-4.078598e-34,1.9255952e-36,-0.049790397,3.067918e-34,-3.3413882e-34,-9.3996494e-35,8.288768e-35,-2.4325696e-34,-4.8897534e-34,0.032147273,4.8108447e-34,2.5624151e-34,-2.0650816e-34,-5.391243e-34,2.8701136e-34,1.6670557e-34,-4.012378e-34,-0.04272453,2.4459895e-34,5.7537705e-35,-4.9324524e-35,-9.024252e-35,-4.0356255e-34,-1.1576644e-34,-2.9103399e-34,2.6412823e-34,-1.0328982e-34,-4.3797924e-35,1.4695084e-34,-3.4621144e-34,-1.8133927e-34,-0.04714975,3.091363e-34,5.5915346e-34,7.232362e-35,-3.8774554e-35,-3.6669546e-34
neuron_4,-4.0793516e-34,2.7255602e-34,-1.118895e-34,-1.2005979e-34,1.5282783e-34,-2.5835587e-34,-4.5007984e-34,-3.1647302e-34,7.4062113e-35,-3.7303138e-34,-1.2507059e-34,-3.3204501e-34,5.010914e-34,9.0867826e-35,4.034749e-34,-2.1443418e-34,1.1293902e-34,-1.7340346e-34,-5.346971e-34,-2.2353083e-34,4.8405112e-36,-7.1849475e-35,3.2584403e-34,-3.675553e-05,-1.8329512e-34,-4.9203025e-34,-5.63415e-34,-6.542372e-35,-4.821131e-35,8.382302e-35,1.8305294e-34,3.6144135e-34,4.9175337e-34,-7.6225643e-35,2.9202898e-34,-2.716044e-34,-3.3877173e-34,6.735887e-35,-3.0165242e-34,-4.749646e-34,-4.2688445e-34,-5.567484e-34,-5.388655e-34,-1.2837081e-34,-4.1398854e-34,1.8856667e-34,-2.0916269e-35,-1.823534e-34,-3.1253355e-34,-1.6077438e-34,-1.9226562e-34,-2.8982426e-34,-2.4683448e-34,-3.8344626e-35,-1.8520063e-34,-4.2197693e-35,4.5055633e-34,-3.1385105e-34,-3.91635e-35,9.209166e-35,-4.496958e-34,-4.517603e-34,1.5897907e-34,-4.586938e-34,-7.411478e-35,4.5565435e-34,3.4279374e-34,-5.4453915e-35,-2.105456e-34,3.0099674e-34,2.5849667e-34,-1.5219628e-34,4.545566e-34,-2.025812e-34,-1.9009071e-34,1.4922602e-35,-1.5426894e-34,-3.0832638e-34,1.03414e-35,4.797085e-34,-4.3153807e-34,5.086885e-35,1.1582642e-34,-4.725027e-34,-5.6236844e-34,9.842244e-35,1.273385e-34,4.2833545e-35,-3.3305428e-35,-9.606062e-36,4.4525816e-34,-1.5995713e-34,4.7878183e-35,4.1114214e-34,1.1313022e-34,5.5086815e-34,4.9237803e-34,-4.0562696e-34,-5.386812e-34,-1.0181801e-34,-5.365014e-34,-4.2307534e-35,-6.247865e-11,3.0390518e-35,-1.4230048e-34,-4.070908e-35,5.185023e-34,3.9366544e-34,-3.7379343e-35,-4.3438015e-34,-7.437456e-35,8.826204e-35,2.4622554e-34,-2.1978869e-35,5.919528e-34,-2.9039252e-34,-4.0257815e-35,5.497001e-34,-3.7878834e-34,2.3734907e-34,2.8666505e-34,5.3144756e-34,-5.099551e-34,-3.1776138e-34,-3.2368996e-34,7.9902034e-05
neuron_5,-5.2005757e-34,-5.289382e-34,3.0047945e-34,7.7817703e-35,-2.5001688e-34,5.322905e-34,-3.4626027e-34,4.0554743e-34,-5.6157e-34,-7.4492495e-35,-3.134638e-34,-5.0630966e-34,1.1311823e-34,3.1211634e-34,-4.984799e-34,2.6766573e-34,-2.2902916e-34,1.938719e-34,-4.7704334e-34,-1.2142076e-34,-3.449374e-34,2.0934397e-34,4.207468e-34,-3.8956177e-34,-5.6712607e-34,-5.786758e-34,1.4133935e-34,-4.2010993e-34,5.2056675e-34,-8.6059365e-35,-8.747182e-35,-2.7742916e-34,3.8223368e-35,-2.4376656e-34,-1.624956e-34,-5.7814137e-34,8.1001835e-35,3.321923e-34,2.3914372e-34,-1.6911171e-34,-5.0844263e-34,4.912307e-35,-5.5962127e-34,-2.686201e-34,-9.2997433e-35,8.743722e-35,-3.1479206e-34,4.416722e-34,-3.6041876e-34,-4.4985214e-34,-1.3389395e-34,-4.945099e-34,2.4593739e-34,-4.541639e-34,4.173628e-34,-1.4399243e-35,-3.69229e-34,-9.495184e-35,4.4433746e-34,-4.382691e-34,1.9318184e-34,-5.3999634e-34,3.8848578e-34,-2.3721011e-35,1.742942e-34,-3.358289e-34,4.9307405e-34,2.5076187e-34,4.678371e-34,-9.723371e-35,2.7851598e-34,-4.225308e-34,-2.394483e-34,-2.9506642e-34,3.6383378e-34,1.0121383e-34,1.6378468e-34,4.764264e-34,-3.565176e-34,3.910133e-34,3.7681447e-34,4.6316544e-35,-1.4981175e-34,5.5107157e-34,5.743738e-34,-2.3138098e-34,4.0067313e-34,-5.4281675e-34,-1.6502256e-34,-2.4652458e-35,-2.6666408e-34,1.6322428e-35,4.2283257e-34,1.7706262e-34,1.9314199e-34,-4.0536927e-34,-2.0683815e-34,4.571129e-34,-3.3093443e-35,-4.3003307e-34,2.2724852e-34,2.4590277e-34,1.1459721e-34,-5.1899545e-34,1.6608952e-34,-3.093784e-34,-4.76785e-34,5.4946188e-34,1.17444685e-36,-6.267567e-35,1.3547138e-34,4.456458e-34,2.9627336e-34,2.8984316e-34,3.7819327e-34,7.938834e-35,-4.0935594e-34,-4.582897e-34,2.638211e-34,-4.67768e-34,6.199934e-35,-2.759306e-34,-9.8741525e-36,-2.030422e-34,-2.9377222e-13,4.4856736e-34
neuron_6,2.87331e-34,4.184804e-34,-2.0508848e-34,-2.8074192e-34,2.3658872e-34,-3.6382666e-34,3.4981796e-34,4.0356043e-34,4.2681337e-34,-2.4091894e-34,-5.0153045e-34,-2.4045857e-34,4.482226e-34,-9.4930924e-11,-2.8934467e-34,-5.855183e-34,5.220741e-34,3.3198337e-35,-3.668685e-34,5.322411e-35,2.724496e-34,-2.7570279e-34,-3.0610493e-34,-6.3067623e-13,-1.3601435e-34,2.0803409e-35,-2.8352614e-34,2.7801107e-34,-3.2269692e-34,2.6159672e-34,3.850071e-34,3.987252e-34,-1.8045308e-35,-1.4629176e-34,-5.126844e-34,-7.332605e-35,5.4981324e-34,1.8485887e-34,-4.5310164e-35,-3.1598519e-34,1.9204189e-34,5.5496764e-35,-2.6632726e-34,-8.347514e-36,5.5073674e-34,9.123223e-35,4.901397e-34,-4.7643686e-34,2.7688356e-34,-4.1780486e-34,4.1033266e-34,5.262308e-34,-2.3368382e-34,-3.9442234e-34,-1.7747361e-34,-1.9002192e-34,-4.511807e-34,-2.6513642e-34,-1.3740519e-34,-1.4600136e-34,4.42903e-34,-2.854649e-34,-1.7355905e-34,-6.1662577e-35,-3.5588209e-34,-4.3918342e-34,3.6021808e-34,-5.4703e-34,-1.0444969e-34,5.4249073e-34,7.947903e-35,5.7439586e-34,-4.331972e-35,-2.9471347e-34,-5.8952185e-34,-3.8843775e-35,-7.9746455e-35,-1.4247851e-12,-3.587966e-34,3.5891022e-34,-5.256161e-34,1.2750394e-34,2.0690083e-34,5.007434e-34,1.4517897e-34,1.5918501e-34,3.9286385e-34,3.5965278e-34,1.6564267e-34,-9.5626856e-35,-4.6334213e-34,-5.65083e-34,-9.1784895e-35,-2.6570677e-34,5.7545807e-34,-1.5534018e-34,-1.3912614e-34,3.1639613e-34,4.5846603e-34,-2.934168e-34,-4.3022937e-34,-2.827694e-34,1.456544e-34,4.223133e-34,3.3387052e-34,1.1825549e-34,-1.7051914e-34,1.9088017e-34,2.4782073e-34,2.9795292e-35,4.1895537e-34,-1.2272648e-34,-4.4637763e-34,4.4171703e-35,2.8615022e-34,9.588144e-35,-1.0993217e-34,-5.129664e-34,5.4981296e-34,2.3929084e-34,1.5477752e-34,2.7406504e-34,-2.9590751e-34,-2.8240848e-34,4.6709007e-34,-2.884002e-35
neuron_7,2.1748827e-34,4.6349246e-34,-1.0607542e-34,-6.35516e-36,5.007208e-34,5.687156e-35,5.0424e-34,1.0012288e-34,4.363947e-34,1.3404897e-34,1.714431e-34,5.2327425e-34,-5.650904e-34,-2.0534465e-34,5.8169136e-34,-3.515933e-34,-4.6773017e-34,-4.725782e-34,-3.8119346e-34,-1.8356563e-34,4.650071e-34,1.0284174e-34,4.888331e-34,-5.0917075e-34,5.893115e-34,-3.6762603e-34,-4.595482e-35,2.5735047e-34,-4.647348e-35,1.4627076e-34,-1.9025897e-34,-4.125986e-34,4.896837e-34,2.1595549e-34,-7.057443e-35,4.3915413e-34,-2.7674716e-34,3.176981e-35,-2.3329878e-34,-2.6800295e-36,2.919543e-34,6.2139266e-35,-2.1016007e-34,5.1743154e-34,-4.210336e-34,3.3724733e-34,-3.9913e-34,-1.8048614e-35,5.6340067e-34,4.479883e-34,2.1558621e-34,3.5273426e-34,-5.058943e-34,-1.2349181e-34,3.8557767e-34,2.215503e-34,-4.061179e-34,-1.3712308e-35,3.8621188e-35,-2.2966124e-34,9.2168205e-35,-2.834694e-34,-5.261532e-34,-4.1274284e-34,1.2883418e-35,-4.2251583e-34,-5.4653664e-34,-1.7188274e-34,-2.7376724e-35,5.7166347e-34,2.2989543e-34,5.39726e-34,-9.216259e-35,2.892151e-34,-2.1529308e-34,1.4036344e-35,-1.7209501e-34,-3.2753643e-35,-2.2457815e-34,-2.424121e-34,8.113931e-35,8.3971295e-35,-1.6691686e-34,-8.564158e-35,-4.2552037e-34,-3.0841138e-34,-3.8690515e-34,1.0086956e-34,-1.9358294e-34,-9.0535794e-35,-2.9302783e-34,-4.342016e-34,-3.6464057e-34,-2.6483378e-34,-2.7145333e-34,-1.0041232e-34,2.2533768e-35,-4.0430357e-34,5.2706063e-34,-4.7252306e-34,3.307195e-34,-3.5530763e-35,5.3920693e-34,-2.1898142e-34,-2.1138678e-34,-4.6868842e-34,-3.8856535e-34,1.0131019e-34,-4.2302736e-35,5.518115e-34,-3.3582524e-34,-2.704672e-34,2.3943688e-34,3.2839515e-34,2.7208325e-34,-4.4293995e-34,-4.1951355e-34,-5.939557e-35,-4.9429216e-34,3.5175934e-34,-3.1386624e-34,4.368812e-34,2.1058384e-35,-3.090518e-34,6.194842e-35,-3.910215e-34
neuron_8,5.580636e-34,5.917349e-34,2.9649705e-34,-1.5765778e-35,5.523762e-34,-3.7299974e-34,3.348965e-36,1.6376294e-34,2.098048e-34,-1.9558502e-34,5.280982e-34,1.2074673e-34,-3.8693564e-34,-3.7283301e-34,3.4241873e-34,1.2723822e-34,-3.4937217e-34,-4.5787884e-35,-9.2746573e-35,1.322213e-34,-5.059223e-34,-3.323051e-34,2.7674705e-34,-1.3885443e-34,3.5975862e-34,3.6317343e-34,2.0858335e-34,-1.2609562e-34,-3.6247975e-34,-3.525348e-34,-8.0199594e-36,2.734336e-35,-4.8907544e-34,2.7098892e-34,1.7423088e-34,-1.0874153e-34,2.2404353e-34,3.7126198e-34,7.890653e-35,-1.8093355e-34,5.440028e-34,2.1458567e-34,2.4994936e-35,9.3609626e-35,2.4898954e-34,-4.306008e-34,1.6541214e-35,-4.2490296e-34,2.2535437e-34,-4.1141062e-34,3.6231457e-34,-3.0539667e-34,-2.600058e-35,-2.4070892e-34,9.241801e-35,-4.014932e-34,6.5744458e-37,5.2334813e-34,-4.5265675e-34,-3.924836e-34,-2.9463192e-34,-1.5387841e-34,3.0147556e-35,-1.8193754e-35,3.185739e-34,4.7952622e-35,-4.3878357e-34,-3.067061e-34,1.3548904e-34,5.1088977e-34,-5.426634e-35,-4.1288114e-34,2.6089996e-34,-5.4779924e-34,3.8820875e-34,-5.276297e-34,-1.9115742e-35,1.9776813e-34,1.4870087e-34,2.7360363e-35,3.8787636e-34,-5.4378263e-34,1.9570677e-34,-3.5966633e-34,4.413253e-34,5.8115522e-34,1.9920616e-34,-2.8389107e-34,-3.8214072e-34,4.909695e-34,4.5503836e-34,2.6596664e-34,-3.5090623e-34,9.690548e-35,4.4598467e-34,-4.1709497e-34,3.4138792e-34,5.584496e-34,-2.0221566e-34,-1.8242244e-34,-4.6336426e-34,-1.9481874e-34,5.6183726e-34,3.4756475e-34,2.0259292e-34,2.2044716e-34,4.005124e-34,3.15319e-35,-1.0397018e-35,-5.652957e-34,-3.1667026e-34,-3.2448057e-34,-3.5659227e-34,2.8550983e-34,4.1635105e-34,4.754148e-34,2.5761588e-34,-1.1786186e-34,-3.064249e-34,-1.9161415e-34,1.0702073e-34,2.4394548e-34,-3.7625875e-34,-3.7818845e-34,-3.656311e-34,5.9123325e-34
neuron_9,-2.0094598e-34,2.2165932e-34,-2.8076008e-34,-3.7726828e-34,-3.6333534e-34,2.9071594e-34,1.8971533e-34,1.9428217e-34,-1.39899e-34,7.0719806e-35,-4.0555157e-34,8.3837554e-35,-3.2116684e-34,-1.3024429e-34,-3.605925e-34,-1.08505935e-36,2.292636e-34,-1.1978988e-34,4.0872884e-34,-2.201488e-34,4.481978e-34,2.1380135e-34,-2.173225e-35,2.3572753e-34,-5.1223695e-34,-2.3192595e-35,1.0089601e-34,-4.250739e-35,-5.3893243e-34,1.4441187e-34,4.010403e-34,5.1418074e-34,-4.966028e-34,-4.7437616e-34,-1.4791163e-35,-4.789509e-34,-4.795302e-34,-2.3334045e-35,-5.3160253e-34,3.254763e-34,-1.4740348e-34,4.238661e-34,5.918428e-34,-4.5811375e-34,5.0727724e-35,3.5900429e-34,-2.8845225e-35,-3.4691766e-34,3.3676807e-34,3.886446e-34,-2.6247852e-34,-5.249382e-34,4.274797e-34,-4.75297e-34,-2.7406938e-34,1.8443323e-34,-7.7820045e-35,-1.4812955e-34,-2.0966508e-34,9.3471695e-35,1.5843087e-35,-1.4629978e-34,-3.3925222e-34,-5.4948102e-34,-1.9855762e-34,1.4906623e-34,-1.5301339e-34,-1.4939052e-34,-4.9386614e-34,-1.1657353e-34,-2.7123797e-34,-1.7336292e-35,-2.2946265e-34,-2.4619104e-34,-1.2264292e-34,9.1062413e-35,8.6012334e-35,2.7385712e-35,-1.2261161e-34,-9.3169476e-35,4.054213e-34,-1.8907487e-34,3.3958044e-34,1.8588471e-34,3.7015367e-34,-5.143476e-34,2.9198825e-34,1.345778e-34,-4.108845e-34,-2.2262577e-35,-1.9195546e-34,2.7552818e-35,-4.5110863e-34,3.4857249e-34,4.9821253e-34,-2.7860591e-34,3.1227473e-34,-1.0558863e-34,-5.7818232e-34,2.0179514e-34,-9.202548e-36,-5.2924842e-34,1.7975602e-34,-5.387405e-34,-3.6646358e-35,4.0684163e-34,-1.4885462e-34,-2.9430838e-34,-3.2759375e-35,-2.0978474e-34,-1.9133099e-34,-2.296981e-34,4.163863e-34,4.542953e-34,1.7918177e-34,5.8352196e-34,2.3925422e-34,-9.808304e-35,8.2217955e-35,4.7344734e-34,-2.6677752e-34,3.8700667e-34,2.4804097e-34,-8.1833864e-35,1.6392815e-34,-3.636463e-34
neuron_10,-1.3088626e-34,-4.145374e-34,-5.27617e-34,4.319057e-34,4.5471905e-34,-4.279835e-34,-3.939065e-34,-1.4912611e-34,-5.6612763e-34,-6.6654295e-35,-3.805783e-34,-2.8788814e-34,2.98018e-35,-4.962497e-34,3.5481057e-34,-2.6494518e-34,3.7984038e-34,2.4664427e-34,3.32815e-34,1.5591422e-34,-2.5534768e-34,-4.853954e-35,-1.747618e-34,-4.3653406e-34,-3.946376e-34,-3.4691789e-34,-1.687318e-34,-1.8672604e-34,-1.1253118e-34,-7.525547e-35,-4.9484974e-34,-1.9463179e-34,-3.588015e-34,-8.337947e-35,-1.5809113e-34,-1.3085686e-34,2.7139152e-34,1.6601636e-34,3.2095732e-34,4.9669347e-34,-2.7557931e-34,2.2037323e-34,3.7507575e-34,2.5971978e-34,-4.933167e-34,-4.736995e-34,-2.0108713e-34,5.4474874e-34,-2.1568195e-34,-2.977348e-34,2.4746388e-34,2.029884e-34,-3.6025802e-36,2.367736e-34,-3.2418573e-34,-3.264649e-34,5.300561e-34,-5.389752e-34,-5.384388e-34,1.853887e-34,8.993855e-35,-3.1196858e-34,-5.067877e-34,-4.744765e-34,-3.875092e-34,4.3273354e-34,-1.8994317e-34,3.57124e-34,-3.5551426e-35,-3.2902714e-34,1.0862803e-34,5.7133516e-34,-3.7481386e-34,-5.7889446e-35,5.5624664e-34,-7.452772e-36,2.7346678e-34,-5.7565276e-34,2.6214925e-34,4.946959e-34,2.703181e-34,2.6288643e-34,-5.5201555e-34,8.85064e-36,-1.6294527e-35,-3.971639e-34,5.0944043e-34,2.3089055e-34,3.192414e-34,-3.5111298e-34,-4.36382e-34,6.894889e-35,-1.5958061e-34,-4.5591135e-34,-1.08559486e-35,3.771997e-34,3.1034373e-34,4.1757146e-34,-1.303856e-34,3.2540322e-34,-4.441597e-34,2.9280444e-34,-1.2628204e-34,1.8769031e-34,5.2325184e-34,5.7610556e-34,1.5148081e-34,2.0599707e-34,1.7836954e-34,-3.8342766e-34,-3.970856e-34,1.5371334e-34,2.8828558e-34,-2.8581626e-34,-1.1165628e-34,3.723089e-34,-2.302561e-34,4.078046e-34,-8.636722e-35,2.5702418e-34,-2.4974335e-34,5.262216e-34,4.731742e-34,-9.780017e-35,-3.4924217e-34,9.586868e-35
