,bias_value
neuron_1,0.0045301034
neuron_2,0.0056559984
neuron_3,0.013599733
neuron_4,-0.052460946
neuron_5,-0.043782704
neuron_6,0.006073959
neuron_7,0.017327867
neuron_8,-0.030245457
neuron_9,0.006550811
neuron_10,-0.016175376
neuron_11,0.0062186993
neuron_12,0.009472792
neuron_13,0.018660692
neuron_14,0.006645931
neuron_15,0.01924199
neuron_16,0.014066852
neuron_17,-0.03280381
neuron_18,0.015318587
neuron_19,0.01666744
neuron_20,0.0073505435
neuron_21,0.004563155
neuron_22,-0.036194295
neuron_23,0.0111122625
neuron_24,0.018694866
neuron_25,0.0071210917
neuron_26,0.013110806
neuron_27,0.010974615
neuron_28,0.014067188
neuron_29,-0.019313445
neuron_30,0.015806993
neuron_31,0.01733323
neuron_32,0.01321536
