epoch,mean,median,mode,std_dev,min,max,q1_25th,q3_75th,skewness,kurtosis
0,0.1422555625,0.183593,-0.052461,0.09409476533624808,-0.052461,0.245407,0.17304975,0.19210225,-1.2759285221574033,-0.17809715693941186
1,0.16054234374999998,0.2027355,-0.052461,0.1044870856881394,-0.052461,0.249836,0.1740665,0.23038875,-1.2426111689707218,-0.25294499002540993
2,0.146025625,0.18012699999999998,-0.052461,0.09776518818729331,-0.052461,0.246176,0.1520865,0.217279,-1.167652109963067,-0.32466246174414737
3,0.12690309375,0.1581955,-0.052461,0.08864789342581672,-0.052461,0.220316,0.12895025,0.19285225,-1.0802839605224892,-0.4207947565082817
4,0.10795940625,0.12792199999999998,-0.052461,0.07943244588519047,-0.052461,0.19239,0.10380975,0.17325725,-0.9865454603817086,-0.5045678679942638
5,0.09275987499999999,0.10240199999999999,-0.052461,0.07215680071974764,-0.052461,0.170461,0.08521575,0.15228575,-0.9006604331496497,-0.6124313774481065
6,0.07981025,0.082122,-0.052461,0.06590117830699235,-0.052461,0.146996,0.06664824999999999,0.137048,-0.826867049263123,-0.7204153467684828
7,0.06897571875,0.065605,-0.052461,0.060617819410443564,-0.052461,0.138855,0.0556395,0.12002075,-0.7493024737631779,-0.7894460335446003
8,0.06277015625,0.054992,-0.052461,0.05841883214828362,-0.052461,0.13246,0.04535475,0.11448525000000001,-0.6461961749853374,-0.9216715779885827
9,0.0578888125,0.048577499999999996,-0.052461,0.055826509177673324,-0.052461,0.121174,0.04262275,0.108921,-0.6270310293939966,-0.9527619370053189
10,0.05240315625,0.0398125,-0.052461,0.05374649455784848,-0.052461,0.110975,0.033779,0.10263125000000001,-0.5465953476727546,-1.0668569625762505
11,0.04881828125,0.036002,-0.052461,0.051883334946200683,-0.052461,0.104646,0.029774750000000003,0.09806925,-0.5263956999707657,-1.0932861545282946
12,0.04526871875,0.0315475,-0.052461,0.0500551829910215,-0.052461,0.104831,0.027077,0.0911945,-0.4989874837007354,-1.1101866794297357
13,0.04129221875,0.031564999999999996,0.030374,0.04635335546628096,-0.052461,0.09116,0.02543,0.08366525,-0.5950970237959112,-0.9661200779582213
14,0.03894787500000001,0.026936,-0.052461,0.04614107706991542,-0.052461,0.090363,0.02072325,0.08130899999999999,-0.5011269683250709,-1.0896040097429103
15,0.036859656250000004,0.024548,-0.052461,0.04503665439575953,-0.052461,0.08968,0.01911025,0.0781995,-0.4888182917533528,-1.1022113316374498
16,0.03540596875,0.0250225,-0.052461,0.04405658851372599,-0.052461,0.083452,0.01873325,0.07604,-0.49660111750701236,-1.0921152914930143
17,0.0328404375,0.025213,-0.052461,0.041242901826357876,-0.052461,0.081114,0.018022,0.069924,-0.6031750171705492,-0.9294360806063406
18,0.03137553125,0.021595000000000003,-0.052461,0.041156009060026984,-0.052461,0.076871,0.016473,0.069242,-0.530215404314685,-1.0209380986089092
19,0.028682624999999996,0.0175255,-0.052461,0.039648484268593104,-0.052461,0.075355,0.01444025,0.06511974999999999,-0.5192238176919141,-1.0236469987190089
20,0.02826684375,0.018163,-0.052461,0.03977376813311553,-0.052461,0.074917,0.01181725,0.065346,-0.4909251726832756,-1.0743746910279002
21,0.026286781250000002,0.0146515,-0.052461,0.03858968988743494,-0.052461,0.07122,0.011681500000000001,0.061698,-0.480294842628825,-1.0533936167879214
