epoch,neurons_positive,neurons_negative,neurons_zero,mean_incl_zero,median_incl_zero,std_incl_zero,min_incl_zero,max_incl_zero,q1_incl_zero,q3_incl_zero,skewness_incl_zero,kurtosis_incl_zero,mode_incl_zero,mean_excl_zero,median_excl_zero,std_excl_zero,min_excl_zero,max_excl_zero,q1_excl_zero,q3_excl_zero,skewness_excl_zero,kurtosis_excl_zero,mode_excl_zero
0.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.006145
1.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.006946
2.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.00751
3.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.008529
4.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.008231
5.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.008849
6.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009642
7.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.00895
8.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009254
9.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009814
10.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009285
11.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010261
12.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010207
13.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.01066
14.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009475
15.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009573
16.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.01039
17.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009805
18.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.0099
19.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009825
20.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010856
21.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009496
22.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010258
23.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010247
24.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009409
25.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009383
26.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010149
27.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.01065
28.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010581
29.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009631
30.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010749
31.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009895
32.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010301
33.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.011088
34.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.011286
35.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.00978
36.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009802
37.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009473
38.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.011018
39.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010606
40.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009613
41.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009001
42.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010118
43.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010215
44.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010074
45.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010852
46.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.01039
47.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010558
48.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.011073
49.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009679
50.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010209
51.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009897
52.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010314
53.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010669
54.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010877
55.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.011518
56.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010963
57.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.008988
58.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009854
59.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009611
60.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009336
61.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010007
62.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.00898
63.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010291
64.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.01047
65.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010266
66.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010575
67.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010401
68.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009206
69.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009599
70.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.008456
71.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.008461
72.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010266
73.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010318
74.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009118
75.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.011346
76.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.010743
77.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.009403
78.0,25,0,7,,,,,,,,,,0.0,,,,,,,,,,0.008989
