neuron_index,count,diff_srv_rate,dst_bytes,dst_host_count,dst_host_diff_srv_rate,dst_host_rerror_rate,dst_host_same_src_port_rate,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate,dst_host_srv_serror_rate,duration,flag_OTH,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,hot,is_guest_login_0,is_guest_login_1,is_host_login_0,is_host_login_1,land_0,land_1,logged_in_0,logged_in_1,num_access_files,num_compromised,num_failed_logins,num_file_creations,num_outbound_cmds,num_root,num_shells,protocol_type_icmp,protocol_type_tcp,protocol_type_udp,rerror_rate,root_shell,same_srv_rate,serror_rate,service_IRC,service_X11,service_Z39_50,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,src_bytes,srv_count,srv_diff_host_rate,srv_rerror_rate,srv_serror_rate,su_attempted,urgent,wrong_fragment
0,0.001515446901867108,0.00020332647429530226,5.022206166279931e-10,0.0009029984681365022,0.0003410112603557991,0.002720503932359861,0.0015225487507791514,0.0016515313036506996,0.0027013973769498987,0.002382492043216189,5.0618914305857745e-05,0.0001882775115336699,0.0015336222361656837,2.0686755892344867e-06,0.0,0.0005039346012927126,6.621836459942187e-05,0.0,4.8099321006702666e-05,0.0013558836473384873,0.0,0.0,2.9854488093405964e-06,0.001015922307051369,0.0,6.28527962987846e-05,5.491960328100731e-05,8.182871344160959e-05,0.0,0.0,0.0,0.0,0.0004961950966003314,0.0005348250551071487,2.337161131436005e-06,4.007737572919723e-09,2.664192143129185e-06,2.3145333453156168e-08,0.0,0.0,0.0,0.000246181236616394,0.0006318547877890524,0.00013638692750362225,0.0008131209956991369,1.1958526928310675e-05,0.0015541807137196884,0.0007793881901307032,0.0,0.0,0.0,0.0,0.0,6.673563524906001e-07,1.8420459174040005e-06,0.0,5.612290180607716e-06,0.0,5.08948985952884e-06,0.0,5.146276960658724e-05,0.0,3.75194338653273e-05,0.0002575550173196461,1.8416270078347451e-06,0.0,0.0,2.4909328780040595e-05,0.00021043820745035192,2.095719434237253e-05,0.0,0.0,0.0008088410555797055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8350661196642193e-06,1.373319246340543e-06,0.0,1.1900248806284708e-06,0.0,1.1486687925721384e-07,0.0,0.0,0.0,1.7797086421325048e-05,0.0,0.0,0.00031528165864983746,0.0,0.0,2.8318819240666925e-05,0.0,0.0029883853095816447,0.0,6.762175471521914e-06,0.0,0.0,0.0002084778861444647,0.0,3.271528403274715e-06,0.0,6.721592696412593e-07,0.0,0.0002190677810881425,0.0,0.0,9.671518346294761e-06,0.0,0.0,1.2596935881674654e-05,5.435861375602258e-07,0.0,1.004396288678322e-05,3.5903172149534535e-09,0.00026388225887785666,0.0003534023626684757,0.000909508894146711,0.0010396052920259536,0.0,0.0,0.0
1,0.002079819868413324,0.00026691172766732054,9.092456518148391e-10,0.0011854433313419578,0.0004490826775372625,0.0037215422000735996,0.0020153049374857803,0.0023137488983775256,0.003515217143292375,0.0032969906189828178,6.934972087947244e-05,0.0002640867211437126,0.002074609439296182,3.391642419951074e-06,0.0,0.0006508012743142899,8.517593051635686e-05,0.0,6.994417421651633e-05,0.0017700873361900448,0.0,0.0,3.94784816307947e-06,0.0014234965153355006,0.0,7.822981248409633e-05,6.808246530511042e-05,0.00010287421620773785,0.0,0.0,0.0,0.0,0.0007017550898922309,0.0007330922651175342,3.1742657301947475e-06,4.715427337487199e-09,3.699935841723345e-06,3.5873489165894056e-08,0.0,0.0,0.0,0.00032286435598507526,0.0008797809779935051,0.00016163211168532143,0.0011214214452775196,2.4953392243105553e-05,0.002137231710366905,0.0010774759121704846,0.0,0.0,0.0,0.0,0.0,9.110843262050139e-07,2.524214200403385e-06,0.0,7.519207019583973e-06,0.0,6.964798085391522e-06,0.0,7.376273908448638e-05,0.0,4.711628127552103e-05,0.0003720514200631442,2.403592702009405e-06,0.0,0.0,3.522863622237082e-05,0.0003018776944873025,2.703207317608758e-05,0.0,0.0,0.0011199375508385856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.539276953852365e-06,1.8619334150571376e-06,0.0,1.606667771341108e-06,0.0,1.5257460616258101e-07,0.0,0.0,0.0,2.345629958526274e-05,0.0,0.0,0.0004250269729618594,0.0,0.0,3.7473308038897814e-05,0.0,0.0039917981473263356,0.0,9.254174656234682e-06,0.0,0.0,0.00032055060002676326,0.0,4.362747713457793e-06,0.0,9.095242930351466e-07,0.0,0.00028775566311651347,0.0,0.0,1.3216899242252112e-05,0.0,0.0,1.6804533602226e-05,6.42470632903347e-07,0.0,1.4080671666860667e-05,4.547578022918303e-09,0.0003933273878982391,0.00046972904823633143,0.0011829431427941017,0.0014031784393591807,0.0,0.0,0.0
2,0.0017280721578026715,0.00022584685900767454,9.359406124737153e-10,0.0013803700386085893,0.0004859411708116568,0.003525292020494817,0.0019629364565844297,0.001938355712336488,0.0032727015730779387,0.0038390740544127764,6.150809765358645e-05,0.00022205484696769418,0.0017986370670405448,2.44962033302043e-06,0.0,0.0006788346475514118,8.159058764761084e-05,0.0,5.835558863736878e-05,0.0016434824926545844,0.0,0.0,3.561667981557548e-06,0.0011118091526441277,0.0,8.205325137339514e-05,7.519571413013182e-05,0.00011141113282519654,0.0,0.0,0.0,0.0,0.0005252481148568223,0.0005599531460666185,5.018508527427912e-06,4.977508751835557e-09,3.428901982260868e-06,4.405187847389413e-08,0.0,0.0,0.0,0.00033218852664504086,0.0008525461782119237,0.0002337548111245269,0.0010012484919207055,2.920741185278075e-05,0.0019873029983136802,0.000930702296027448,0.0,0.0,0.0,0.0,0.0,7.778504342681458e-07,2.1715807555189316e-06,0.0,6.646963922349869e-06,0.0,6.024191388860345e-06,0.0,7.861734723974223e-05,0.0,4.9572473160139906e-05,0.00032340826552172073,2.1400216360412115e-06,0.0,0.0,3.215555668333536e-05,0.0003437345870406716,2.5137737725344778e-05,0.0,0.0,0.001113698682179347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160322315454266e-06,1.6224599676206709e-06,0.0,1.402549530808983e-06,0.0,1.4318835388826835e-07,0.0,0.0,0.0,2.1493933629841422e-05,0.0,0.0,0.00042278259785234697,0.0,0.0,4.0490882238373164e-05,0.0,0.0035690546443220227,0.0,8.37982224766165e-06,0.0,0.0,0.0003383784495235886,0.0,3.93884169170633e-06,0.0,7.870011264565768e-07,0.0,0.0002761629226324658,0.0,0.0,1.1111226631328464e-05,0.0,0.0,1.5509318902786618e-05,5.792738112209151e-07,0.0,1.2396296096568449e-05,4.9736645410677036e-09,0.0002719350723509706,0.00040567259260001267,0.001241406193075818,0.0012276434793602675,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
