epoch,layer1,layer3,layer5
2,0.025929919976737305,0.029119588338436374,0.00903861455091432
3,0.020193249094685083,0.014982597438361613,0.006065355059681173
4,0.016061293876895474,0.016859141022009395,0.0055401535177285475
5,0.0234748825343174,0.018622792808813616,0.003691893687526769
6,0.019803569652969134,0.018621403464830464,0.00673470905087963
7,0.01988989248336954,0.01958253826754846,0.005406162224720971
8,0.021369764996368116,0.01681200270639997,0.007946284163053822
9,0.021306798797566938,0.016654988381863252,0.006018047773157006
10,0.016410120139718664,0.017645630223939297,0.005484268592984847
11,0.017002089518644466,0.016977149554621943,0.006225923786876932
12,0.024656154809702183,0.0213578030939514,0.00592045057406951
13,0.020268594376522512,0.01957368136043907,0.004839642652097366
14,0.020420352298625998,0.01924947253822816,0.006991737266230762
15,0.027108432064580936,0.01774721682405441,0.007119052465040554
16,0.024756473537238703,0.020007370691822554,0.005792942171297757
17,0.025777671403755614,0.01901654432329912,0.008631398148619957
18,0.025261783784998236,0.015023141582239047,0.0062804237914331875
19,0.02963080392091986,0.01655949528216365,0.008641713198203236
20,0.02282295283262006,0.018769086338977718,0.0049015115015676545
21,0.03261613226610415,0.015648947504544833,0.00919683369426674
22,0.020990241446920046,0.01929608628712051,0.007397822720233299
23,0.02305002533621167,0.0168327802813439,0.007976740562410186
24,0.021298718740806924,0.021395035966317047,0.008793676193720122
25,0.02797647576089598,0.020208889380666117,0.00917473580001081
26,0.02304611390234805,0.027009125050619462,0.006895270408040571
27,0.024014785508098966,0.022325630942931936,0.008528775175838554
28,0.02281920088434299,0.020945229194258057,0.009609084711875531
29,0.02106717686354771,0.02114023270922059,0.008347177846434087
30,0.02417610293244137,0.018967707056995582,0.010599454797299719
31,0.027699394253304525,0.018749506206831152,0.009112480781872738
32,0.02340641798738115,0.02065479968433487,0.012665346343468066
33,0.03149201457512682,0.019290729068648496,0.008988683552111507
34,0.03270042788710876,0.014287557733916597,0.009770230089409354
35,0.018352529307972786,0.017507957590764265,0.011781907146128761
36,0.02852336731523822,0.02088477826073334,0.01176127008447642
37,0.029212529435158462,0.018115875247969662,0.0068133081538999845
38,0.025188714377673185,0.016031395728382476,0.00801497760446029
39,0.019016648548048628,0.01617081751180193,0.008422810754136647
40,0.022968910923245794,0.021226979036122872,0.010357397356479087
41,0.03363988856997002,0.0159992178246313,0.010540099762336217
42,0.034960489470257705,0.02192054189567402,0.008930013213876003
43,0.025757490308646148,0.020928065725240832,0.009295889037633785
44,0.024574811698159567,0.017746357682634488,0.009332713592519595
45,0.02229712938922856,0.01972661608081832,0.007562240078177894
46,0.028093815173450543,0.01847803428398161,0.006899456427864444
47,0.02448592957189904,0.017197020061626954,0.01131169169487924
48,0.032287758206478195,0.024662618656582272,0.014950956524583971
49,0.032597198039095325,0.0237504357854756,0.010601268367511504
50,0.02783356937225263,0.02573113808209812,0.014125151114235911
51,0.021177412094021308,0.023692704045760585,0.008856758887990571
52,0.021970267408477306,0.01935742705010147,0.010298903436774223
53,0.025582868584269433,0.01705215059750529,0.009761524727213465
54,0.03015911054722934,0.02211370355684457,0.009746726578703234
55,0.031214996027550606,0.02149500395440764,0.012207127958696919
56,0.02437299240963242,0.018175850791641086,0.009144859430302904
57,0.027369165971947336,0.019668711879530898,0.00927434337298334
58,0.02869431595281546,0.02098067601389431,0.013507377835834753
59,0.03335214427889158,0.017583086333178257,0.009288104004585648
60,0.02799616738055408,0.024166090829921168,0.011819407176335027
61,0.03249636290417744,0.022814087336555895,0.012093752478035921
62,0.0224721649157352,0.02179026229764112,0.01042070611810927
63,0.020846039431988036,0.022885212321497043,0.00852020733315804
64,0.030430021048300324,0.028495545020230793,0.012120424827538013
65,0.019227000572112126,0.022912579776184088,0.01486024158619233
66,0.032212214826056275,0.01835097607758236,0.013218144915229216
67,0.0303703072589001,0.019178958626578247,0.011296438066930656
68,0.029241059608023787,0.02304797459648027,0.009460781521629174
69,0.02710993909989471,0.022475224648487942,0.009312936003216171
70,0.027247368294938137,0.01772888022408635,0.00998294240191738
71,0.03512424558620442,0.020409512586046733,0.011033380216416002
72,0.024831223006529502,0.02074246181146298,0.012227298270672883
73,0.03518126906465996,0.026013289949562323,0.009711935440477354
74,0.026389218631857975,0.022866768136315194,0.012447083875350078
75,0.023670247463852163,0.024545644786804852,0.01154833888487864
76,0.028407181556782426,0.022020737635238288,0.01185240903782856
77,0.028119614044293,0.015186853624105292,0.012453948289598766
78,0.03032341410527515,0.025098091580835383,0.014686102001552351
79,0.033156632835678594,0.021442735343234546,0.010822137034800476
80,0.029326723700406763,0.022274576382054944,0.011460486115344323
81,0.021284260099895414,0.02176747091418753,0.013527700100164844
82,0.02420267532732694,0.024312174748467075,0.010640097086023228
83,0.032781822097009805,0.020706617179056554,0.008350790980499996
84,0.03480929568376815,0.025998022251702148,0.00782244993592161
85,0.02614610351467308,0.0219432788570897,0.008865977611070311
86,0.02874673426669541,0.021262836428849283,0.010967690002913104
87,0.023592575293935162,0.019323145499633338,0.013660652546639196
88,0.039166710495010935,0.019008491286790753,0.015156160133754197
89,0.034311489067074895,0.024325497939405062,0.01083572392597744
90,0.030461267455573808,0.019896241253060838,0.009993077303813876
91,0.044967446402925756,0.02186952562357035,0.01400452812486019
92,0.03607051389986009,0.01842126882166372,0.013189056031422414
93,0.038144909227837996,0.0237430720842944,0.012263679627257062
94,0.03403865997656194,0.026480705428670134,0.013387413827920611
95,0.033576658454944563,0.024615999106272324,0.013735406328172458
96,0.025517986499722114,0.02313461871308883,0.011028354637025416
97,0.024426315153948212,0.02418201199238806,0.011627163927630843
98,0.03482659519677455,0.023011910589953197,0.01274611513363974
99,0.02752148006557787,0.01709724176585218,0.011887061747967826
100,0.016864027365964512,0.020348296071170193,0.010741662953193043
