epoch,neuron1_bias,neuron2_bias,neuron3_bias,neuron4_bias,neuron5_bias,neuron6_bias,neuron7_bias,neuron8_bias,neuron9_bias,neuron10_bias,neuron11_bias,neuron12_bias,neuron13_bias,neuron14_bias,neuron15_bias,neuron16_bias,neuron17_bias,neuron18_bias,neuron19_bias,neuron20_bias,neuron21_bias,neuron22_bias,neuron23_bias,neuron24_bias,neuron25_bias,neuron26_bias,neuron27_bias,neuron28_bias,neuron29_bias,neuron30_bias,neuron31_bias,neuron32_bias
73,0.008136,0.005234,0.025739,-0.052461,-0.043783,0.005487,0.020250,-0.030245,0.004646,-0.016175,0.004600,0.006232,0.017928,0.007168,0.015097,0.021288,-0.032804,0.018910,0.020237,0.003904,0.008182,-0.036194,0.023330,0.021732,0.007119,0.018397,0.020986,0.019402,-0.019313,0.018017,0.018862,0.015867
74,0.006873,0.008367,0.014487,-0.052461,-0.043783,0.007512,0.022025,-0.030245,0.009345,-0.016175,0.008305,0.006409,0.021208,0.005993,0.018663,0.019742,-0.032804,0.018162,0.024580,0.004600,0.006479,-0.036194,0.020371,0.018347,0.007003,0.018263,0.020423,0.020237,-0.019313,0.015025,0.020893,0.020372
75,0.007720,0.005696,0.018341,-0.052461,-0.043783,0.009256,0.019807,-0.030245,0.006151,-0.016175,0.004762,0.005950,0.022048,0.004342,0.020270,0.023010,-0.032804,0.019097,0.018231,0.005714,0.009126,-0.036194,0.022890,0.021575,0.008873,0.023321,0.022938,0.024998,-0.019313,0.023235,0.022517,0.019892
76,0.003498,0.004911,0.015078,-0.052461,-0.043783,0.006306,0.016724,-0.030245,0.008226,-0.016175,0.010306,0.007496,0.021728,0.008955,0.018221,0.021384,-0.032804,0.016696,0.022195,0.005152,0.006474,-0.036194,0.017069,0.019804,0.007373,0.022422,0.020819,0.021368,-0.019313,0.020586,0.021450,0.018099
77,0.009407,0.007956,0.018565,-0.052461,-0.043783,0.006722,0.019140,-0.030245,0.006232,-0.016175,0.008230,0.009256,0.016745,0.006628,0.017405,0.017382,-0.032804,0.016924,0.017309,0.009376,0.004079,-0.036194,0.014210,0.018994,0.003255,0.019180,0.016140,0.016433,-0.019313,0.019934,0.016488,0.016138
78,0.006709,0.007860,0.019976,-0.052461,-0.043783,0.004939,0.017019,-0.030245,0.008834,-0.016175,0.006741,0.003977,0.017449,0.006471,0.020175,0.012384,-0.032804,0.018821,0.018645,0.003268,0.006080,-0.036194,0.016205,0.019205,0.006359,0.019824,0.015905,0.020175,-0.019313,0.020466,0.021664,0.017529
79,0.006126,0.010206,0.022460,-0.052461,-0.043783,0.005721,0.018312,-0.030245,0.008765,-0.016175,0.007870,0.008456,0.017333,0.007943,0.016188,0.017363,-0.032804,0.016815,0.017134,0.005299,0.011344,-0.036194,0.016329,0.017202,0.005229,0.019822,0.018718,0.017390,-0.019313,0.015740,0.019696,0.018737
80,0.008386,0.004959,0.019221,-0.052461,-0.043783,0.006490,0.021192,-0.030245,0.006674,-0.016175,0.008730,0.010193,0.018506,0.007309,0.018793,0.017593,-0.032804,0.018085,0.019238,0.006461,0.005097,-0.036194,0.017488,0.017120,0.006304,0.021886,0.021907,0.020915,-0.019313,0.019132,0.017000,0.017429
81,0.006559,0.005601,0.015557,-0.052461,-0.043783,0.006990,0.015680,-0.030245,0.005447,-0.016175,0.006307,0.008605,0.018809,0.009413,0.018816,0.019492,-0.032804,0.015830,0.018342,0.007662,0.006706,-0.036194,0.011921,0.019673,0.007343,0.015969,0.017150,0.014644,-0.019313,0.016992,0.017498,0.015773
82,0.008200,0.007508,0.017698,-0.052461,-0.043783,0.006707,0.017961,-0.030245,0.004019,-0.016175,0.005645,0.006222,0.018049,0.006764,0.016115,0.017102,-0.032804,0.014141,0.019119,0.006231,0.007990,-0.036194,0.014510,0.018864,0.003139,0.018017,0.017993,0.017012,-0.019313,0.015422,0.019417,0.020317
83,0.009840,0.009493,0.015277,-0.052461,-0.043783,0.005760,0.018117,-0.030245,0.006368,-0.016175,0.007875,0.007300,0.017152,0.004760,0.016725,0.016764,-0.032804,0.020177,0.020516,0.006211,0.008041,-0.036194,0.019339,0.017036,0.005981,0.016277,0.018775,0.020354,-0.019313,0.014879,0.021954,0.015054
84,0.006562,0.005124,0.015376,-0.052461,-0.043783,0.006987,0.014512,-0.030245,0.004852,-0.016175,0.005047,0.005242,0.015094,0.008539,0.019060,0.017260,-0.032804,0.017977,0.018991,0.007881,0.008190,-0.036194,0.018071,0.017436,0.006782,0.016535,0.016963,0.016552,-0.019313,0.018476,0.018439,0.017980
85,0.008069,0.009106,0.015095,-0.052461,-0.043783,0.006432,0.016409,-0.030245,0.004414,-0.016175,0.006156,0.010191,0.017211,0.004660,0.021120,0.017148,-0.032804,0.017492,0.019027,0.008226,0.008321,-0.036194,0.013922,0.018883,0.008328,0.018519,0.015554,0.019949,-0.019313,0.019920,0.018021,0.017333
86,0.009508,0.002847,0.018389,-0.052461,-0.043783,0.007054,0.019815,-0.030245,0.006313,-0.016175,0.005784,0.007546,0.018021,0.008090,0.013995,0.018393,-0.032804,0.015020,0.017675,0.010632,0.004579,-0.036194,0.012435,0.018830,0.008634,0.014309,0.016175,0.019952,-0.019313,0.019150,0.021235,0.016632
87,0.003723,0.007167,0.015517,-0.052461,-0.043783,0.008445,0.016416,-0.030245,0.010623,-0.016175,0.008631,0.009591,0.017178,0.010516,0.016096,0.015132,-0.032804,0.015534,0.017261,0.006163,0.004139,-0.036194,0.014162,0.018920,0.004356,0.018844,0.018192,0.017080,-0.019313,0.014316,0.016899,0.015538
88,0.004782,0.005526,0.015049,-0.052461,-0.043783,0.005767,0.017838,-0.030245,0.007770,-0.016175,0.009948,0.007516,0.018324,0.006898,0.017094,0.015066,-0.032804,0.018068,0.013326,0.006203,0.003948,-0.036194,0.015394,0.018619,0.008471,0.015730,0.015445,0.020598,-0.019313,0.015036,0.016076,0.016752
89,0.005889,0.004560,0.015390,-0.052461,-0.043783,0.006463,0.014443,-0.030245,0.007116,-0.016175,0.011158,0.006613,0.012702,0.006420,0.019581,0.022569,-0.032804,0.018021,0.018273,0.002845,0.005778,-0.036194,0.015315,0.017620,0.007063,0.015189,0.017616,0.018019,-0.019313,0.015595,0.018781,0.016025
90,0.006151,0.008160,0.015125,-0.052461,-0.043783,0.007748,0.019504,-0.030245,0.004922,-0.016175,0.004179,0.008664,0.020121,0.003934,0.015395,0.019605,-0.032804,0.014187,0.017333,0.004472,0.009023,-0.036194,0.015351,0.014403,0.004050,0.012607,0.016400,0.017875,-0.019313,0.022078,0.018064,0.016116
91,0.005696,0.005062,0.020510,-0.052461,-0.043783,0.008839,0.016143,-0.030245,0.005761,-0.016175,0.009546,0.004993,0.015269,0.005205,0.017986,0.012509,-0.032804,0.014209,0.016965,0.002564,0.005560,-0.036194,0.020971,0.017181,0.003809,0.016414,0.012770,0.015864,-0.019313,0.016021,0.014439,0.017947
92,0.003148,0.002571,0.017683,-0.052461,-0.043783,0.006349,0.017942,-0.030245,0.007862,-0.016175,0.005665,0.010185,0.017440,0.007573,0.021424,0.014192,-0.032804,0.016755,0.013945,0.008377,0.005443,-0.036194,0.014508,0.014322,0.003092,0.015754,0.017490,0.015720,-0.019313,0.015099,0.013208,0.017258
93,0.007436,0.007884,0.014113,-0.052461,-0.043783,0.006356,0.019314,-0.030245,0.009631,-0.016175,0.005261,0.007618,0.018498,0.005702,0.015997,0.015398,-0.032804,0.014939,0.012631,0.007897,0.007097,-0.036194,0.016284,0.017458,0.009376,0.016817,0.018844,0.014948,-0.019313,0.011657,0.017142,0.013211
94,0.004171,0.005852,0.016359,-0.052461,-0.043783,0.004646,0.021494,-0.030245,0.004954,-0.016175,0.010910,0.007321,0.017341,0.004687,0.021817,0.016572,-0.032804,0.011443,0.016323,0.004874,0.005334,-0.036194,0.016623,0.014852,0.005675,0.014384,0.013993,0.021376,-0.019313,0.018509,0.015639,0.015341
95,0.009625,0.005763,0.014930,-0.052461,-0.043783,0.006237,0.013679,-0.030245,0.005648,-0.016175,0.008377,0.009952,0.015667,0.005219,0.015462,0.016707,-0.032804,0.014961,0.015667,0.005258,0.009078,-0.036194,0.013844,0.015023,0.005890,0.016254,0.015470,0.013264,-0.019313,0.015528,0.018590,0.012943
96,0.009317,0.006376,0.015036,-0.052461,-0.043783,0.003463,0.017129,-0.030245,0.008655,-0.016175,0.009807,0.006637,0.015295,0.004448,0.019308,0.018199,-0.032804,0.013352,0.013405,0.007134,0.009290,-0.036194,0.013693,0.015117,0.004458,0.011887,0.014882,0.014729,-0.019313,0.016838,0.012633,0.020578
97,0.007591,0.003511,0.013491,-0.052461,-0.043783,0.006494,0.014452,-0.030245,0.005636,-0.016175,0.007857,0.006524,0.015136,0.008964,0.013942,0.012363,-0.032804,0.017359,0.018013,0.006719,0.004143,-0.036194,0.016672,0.014403,0.006620,0.014427,0.017618,0.015125,-0.019313,0.016912,0.014042,0.020472
98,0.005360,0.006642,0.013016,-0.052461,-0.043783,0.003181,0.017698,-0.030245,0.008737,-0.016175,0.003820,0.004671,0.015490,0.008840,0.018422,0.015649,-0.032804,0.016468,0.017271,0.008075,0.003149,-0.036194,0.015831,0.012365,0.005773,0.014626,0.013183,0.015342,-0.019313,0.016300,0.016442,0.014678
99,0.004530,0.005656,0.013600,-0.052461,-0.043783,0.006074,0.017328,-0.030245,0.006551,-0.016175,0.006219,0.009473,0.018661,0.006646,0.019242,0.014067,-0.032804,0.015319,0.016667,0.007351,0.004563,-0.036194,0.011112,0.018695,0.007121,0.013111,0.010975,0.014067,-0.019313,0.015807,0.017333,0.013215
