epoch,neuron1_bias,neuron2_bias,neuron3_bias,neuron4_bias,neuron5_bias,neuron6_bias,neuron7_bias,neuron8_bias,neuron9_bias,neuron10_bias,neuron11_bias,neuron12_bias,neuron13_bias,neuron14_bias,neuron15_bias,neuron16_bias,neuron17_bias,neuron18_bias,neuron19_bias,neuron20_bias,neuron21_bias,neuron22_bias,neuron23_bias,neuron24_bias,neuron25_bias,neuron26_bias,neuron27_bias,neuron28_bias,neuron29_bias,neuron30_bias,neuron31_bias,neuron32_bias
17,0.017674,0.018138,0.069923,-0.052461,-0.043783,0.023017,0.062021,-0.030245,0.024442,-0.016175,0.023553,0.022069,0.067776,0.020836,0.073004,0.069927,-0.032804,0.073920,0.070784,0.025076,0.025350,-0.036194,0.073292,0.069508,0.020412,0.065343,0.068679,0.081114,-0.019313,0.077531,0.071897,0.066583
18,0.019030,0.021486,0.072893,-0.052461,-0.043783,0.018802,0.068395,-0.030245,0.019966,-0.016175,0.016203,0.016563,0.064290,0.017583,0.075745,0.063079,-0.032804,0.076550,0.076871,0.017964,0.017876,-0.036194,0.064982,0.073950,0.021704,0.066471,0.073261,0.072281,-0.019313,0.062685,0.071783,0.064579
19,0.017183,0.017387,0.069077,-0.052461,-0.043783,0.016017,0.064672,-0.030245,0.014938,-0.016175,0.015826,0.012947,0.060372,0.015880,0.071168,0.059323,-0.032804,0.063255,0.075355,0.016648,0.017664,-0.036194,0.063687,0.070736,0.016450,0.066463,0.067791,0.066879,-0.019313,0.059576,0.070795,0.058730
20,0.014591,0.012581,0.067508,-0.052461,-0.043783,0.013920,0.071847,-0.030245,0.016772,-0.016175,0.014945,0.014985,0.064173,0.011608,0.067871,0.074917,-0.032804,0.060631,0.058329,0.019545,0.011887,-0.036194,0.063679,0.069369,0.016781,0.065439,0.065581,0.060468,-0.019313,0.065315,0.070310,0.062462
21,0.010633,0.013421,0.060283,-0.052461,-0.043783,0.012758,0.068071,-0.030245,0.013863,-0.016175,0.013116,0.013892,0.053075,0.012031,0.060306,0.060355,-0.032804,0.061585,0.063649,0.015411,0.013393,-0.036194,0.052385,0.062037,0.013469,0.071220,0.063487,0.070587,-0.019313,0.066756,0.069393,0.056976
22,0.011178,0.014538,0.057401,-0.052461,-0.043783,0.014742,0.058776,-0.030245,0.011595,-0.016175,0.010675,0.013486,0.056458,0.012624,0.069717,0.058492,-0.032804,0.062284,0.059977,0.012145,0.011237,-0.036194,0.059079,0.059550,0.010814,0.063079,0.055706,0.059361,-0.019313,0.057724,0.070343,0.059154
23,0.008072,0.011007,0.060455,-0.052461,-0.043783,0.009753,0.060065,-0.030245,0.012827,-0.016175,0.016283,0.009920,0.054232,0.013087,0.060553,0.061640,-0.032804,0.062911,0.064118,0.011753,0.012498,-0.036194,0.056701,0.061677,0.008623,0.053285,0.058408,0.058921,-0.019313,0.050729,0.062478,0.053963
24,0.010551,0.014974,0.052209,-0.052461,-0.043783,0.009565,0.055045,-0.030245,0.011716,-0.016175,0.011437,0.012727,0.056165,0.011762,0.055177,0.056292,-0.032804,0.055616,0.051547,0.013983,0.011762,-0.036194,0.056767,0.060337,0.011951,0.054059,0.064023,0.063333,-0.019313,0.050909,0.051906,0.050984
25,0.009524,0.012107,0.052088,-0.052461,-0.043783,0.016118,0.056234,-0.030245,0.014417,-0.016175,0.010784,0.011284,0.052301,0.014267,0.057708,0.052749,-0.032804,0.054298,0.053818,0.012630,0.012013,-0.036194,0.048073,0.052617,0.009654,0.047136,0.058251,0.062826,-0.019313,0.048896,0.058852,0.055525
26,0.008474,0.012013,0.053241,-0.052461,-0.043783,0.011809,0.050940,-0.030245,0.011555,-0.016175,0.009496,0.013064,0.050610,0.011093,0.054134,0.049595,-0.032804,0.047012,0.049478,0.009240,0.011706,-0.036194,0.050121,0.055801,0.014028,0.046441,0.051864,0.055749,-0.019313,0.049525,0.060131,0.049090
27,0.015358,0.007443,0.054132,-0.052461,-0.043783,0.015011,0.044395,-0.030245,0.013951,-0.016175,0.015815,0.008477,0.051168,0.009214,0.050898,0.045473,-0.032804,0.046844,0.048322,0.011467,0.013379,-0.036194,0.043640,0.052865,0.008071,0.049963,0.044871,0.053904,-0.019313,0.049296,0.052821,0.047059
28,0.012283,0.012053,0.050349,-0.052461,-0.043783,0.012167,0.043189,-0.030245,0.013407,-0.016175,0.011288,0.013080,0.049417,0.013132,0.047877,0.046979,-0.032804,0.047459,0.043730,0.010110,0.008998,-0.036194,0.052102,0.048673,0.011832,0.048140,0.049848,0.053008,-0.019313,0.046992,0.049873,0.048010
29,0.008320,0.007450,0.050758,-0.052461,-0.043783,0.009028,0.048391,-0.030245,0.011806,-0.016175,0.014009,0.009870,0.052248,0.010093,0.047556,0.047966,-0.032804,0.042802,0.048991,0.011539,0.013641,-0.036194,0.046965,0.047622,0.009364,0.054900,0.053736,0.050254,-0.019313,0.044028,0.048058,0.044545
30,0.006933,0.011852,0.043123,-0.052461,-0.043783,0.011813,0.046747,-0.030245,0.008420,-0.016175,0.009302,0.012183,0.045536,0.010176,0.050674,0.045376,-0.032804,0.039634,0.042689,0.007798,0.011356,-0.036194,0.046318,0.046824,0.012963,0.041002,0.047593,0.045366,-0.019313,0.042742,0.044724,0.048107
31,0.011343,0.010511,0.042990,-0.052461,-0.043783,0.009908,0.042472,-0.030245,0.009720,-0.016175,0.012762,0.008806,0.047292,0.008419,0.043183,0.044461,-0.032804,0.038001,0.045716,0.011540,0.010363,-0.036194,0.036434,0.044262,0.012533,0.048510,0.045164,0.038923,-0.019313,0.038380,0.041290,0.037492
