epoch,correlation
0,-0.1480930511284043
1,-0.2472067400266935
2,-0.198631515872437
3,-0.20269935682785173
4,-0.18628670835067448
5,-0.14168391225944155
6,-0.08455168793963773
7,-0.06434997139428722
8,-0.14338821614485
9,-0.11419973260679203
10,-0.08706551500015129
11,-0.05578330829277388
12,-0.03418264027542192
13,-0.055870062665382796
14,-0.055676018364209726
15,-0.05628364954549092
16,-0.05186984804401714
17,-0.0671663740229406
18,-0.0961504983712205
19,-0.07280156427465045
20,-0.08850325926606731
21,-0.05885585774684654
22,-0.037536035360799434
23,-0.03724742093797639
24,-0.08418557949260029
25,-0.0681273178695147
26,-0.1423817739535334
27,-0.06530673102552817
28,-0.0842125118020656
29,-0.09298761165184492
30,-0.05873937602019426
31,-0.049343999802703556
32,-0.05177330083226153
33,-0.07765449993085516
34,-0.10744313468519898
35,-0.11403534574696209
36,-0.1248915194947134
37,-0.07151652631377811
38,-0.07425061882684286
39,-0.08259285669585564
40,-0.07648889284412752
41,-0.06382545909366955
42,-0.08124924569163049
43,-0.04876794011321671
44,-0.060380938282123674
45,-0.05701317660906718
46,-0.03687276673781495
47,-0.05220340308830763
48,-0.11148343077586423
49,-0.14840736070542113
50,-0.14397244794400832
51,-0.13793001230479093
52,-0.12075926579811992
53,-0.1023481366625377
54,-0.10481111767735365
55,-0.17253387737403858
56,-0.16279945388045786
57,-0.11704057359209719
58,-0.1042138068348133
59,-0.13862594818279972
60,-0.15845895656675765
61,-0.20215189435563133
62,-0.18244058429331883
63,-0.1879475155907056
64,-0.15416324100051548
65,-0.16271043539471802
66,-0.17624239668493913
67,-0.17712023711694957
68,-0.15684268086580325
69,-0.1562198523099475
70,-0.13884455952460065
71,-0.15135976888538097
72,-0.1155187665769409
73,-0.11926416268335777
74,-0.12588840401500795
75,-0.14405361094623945
76,-0.1523167783755331
77,-0.17756547913472784
78,-0.19162346165672461
79,-0.1698131493055944
80,-0.19628232455604255
81,-0.20089092456297764
82,-0.166072893831413
83,-0.2071549838648855
84,-0.19562897018778386
85,-0.1820416294638784
86,-0.19368920350080274
87,-0.2351560813155938
88,-0.17261579955214967
89,-0.16594129720571793
90,-0.12924566293321063
91,-0.08055895863898821
92,-0.08695714248914209
93,-0.03121022397600098
94,-0.05228463413395477
95,-0.0862339958599586
96,-0.11381832733723077
97,-0.11478409667481676
98,-0.14437369792972907
99,-0.15832850372545249
