epoch,mean,median,mode,std_dev,min,max,q1_25th,q3_75th,skewness,kurtosis
0,0.08170843750000001,0.1041465,-0.048973,0.06875819767668502,-0.048973,0.216389,0.028496749999999998,0.12503599999999998,-0.29919512811656396,-0.7273779406293781
1,0.08426384374999998,0.1031325,-0.048973,0.06873143637312613,-0.048973,0.200865,0.0128275,0.137687,-0.5137747334815609,-0.8780699542319841
2,0.07303803125,0.08965000000000001,-0.048973,0.062279536969409334,-0.048973,0.166605,0.00014725,0.12129999999999999,-0.5500803204842889,-0.9725465497381935
3,0.064002453125,0.07893649999999999,-0.0,0.055886860359214155,-0.048973,0.141385,0.0,0.11128525,-0.5902821889694433,-0.9045350629932605
4,0.053865234375,0.0667025,-0.0,0.048474288943257775,-0.048973,0.122991,-0.0,0.09362875,-0.6953653115579331,-0.778811968093001
5,0.045674875000000004,0.0608405,-0.0,0.04190726229183762,-0.048973,0.096495,-0.0,0.07637849999999999,-0.9126395410203509,-0.5759808773665429
6,0.039783296875,0.055564,-0.0,0.03766009257269212,-0.048973,0.084374,-0.0,0.0642575,-1.0436799271670034,-0.3903870117408874
7,0.03492954687500001,0.0518875,-0.0,0.03447170126437485,-0.048973,0.072285,-0.0,0.0578945,-1.1323937883888142,-0.2569064528509202
8,0.031920406250000005,0.047861,-0.0,0.03274012729278035,-0.048973,0.066968,-0.0,0.05415,-1.145018221119916,-0.19570483146396223
9,0.028732484375,0.042813000000000004,-0.0,0.03127904980773482,-0.048973,0.063564,-0.0,0.05051675,-1.0856598860952658,-0.20854452260572476
10,0.026266125,0.0367465,-0.0,0.03038349129024469,-0.048973,0.065752,-0.0,0.04834025,-0.9764068239599675,-0.24159818626983576
11,0.023902218750000002,0.033308500000000005,-0.0,0.029360747667202692,-0.048973,0.060226,-0.0,0.047921000000000005,-0.9451585522514603,-0.2922837329452719
12,0.02194759375,0.029449,-0.0,0.028529436459185643,-0.048973,0.056502,-0.0,0.04411225,-0.8930637105575927,-0.3013976942954506
13,0.0212975625,0.027918,-0.0,0.028737520317454215,-0.048973,0.056872,-0.0,0.045806,-0.803621606949484,-0.44712605232424707
14,0.01981978125,0.028174499999999998,-0.0,0.02773139210098185,-0.048973,0.05644,-0.0,0.0422835,-0.8343718292362493,-0.370339056860876
15,0.017634203124999998,0.0231125,-0.0,0.02675349522794854,-0.048973,0.050373,-0.0,0.0414415,-0.787087223072577,-0.3832680310022756
16,0.017358125000000002,0.0235815,-0.0,0.026668280304335806,-0.048973,0.052643,-0.0,0.0409625,-0.7679315133618647,-0.3799394475498201
17,0.01697596875,0.024087499999999998,-0.0,0.02675356372871703,-0.048973,0.049858,-0.0,0.04116725,-0.7349887003000596,-0.47891399501647625
