epoch,layer1,layer2,layer3,layer4
2,0.5607477482415794,0.5024026936173817,0.45519428205877155,1.4062667088475784
3,0.4994016604527869,0.30857699568179087,0.2065653706384495,1.1672053969957474
4,0.47499472553492733,0.2689740693133819,0.18299437112108102,1.1340283693563402
5,0.4319369190842575,0.32163318127021645,0.19274666091530623,1.1428090741081818
6,0.4289091686767728,0.2529592149991774,0.17149546487006584,1.1549931073170956
7,0.41384674461206056,0.25810194184856505,0.18847731241186577,1.1874214288680327
8,0.3584978026906164,0.2486093056424074,0.18569175586977474,1.212724330187203
9,0.3942064120191355,0.22524039952459685,0.16883771997098274,1.207120455119952
10,0.3740313201832175,0.21757636759308238,0.17757928010609783,1.2158898182578055
11,0.3617996203480593,0.2108043658893239,0.15258125811842027,1.2369840521089994
12,0.3561259122010082,0.23896235959037604,0.1835951262234377,1.1622316910693842
13,0.35136139823406937,0.21020136574009232,0.15064287157379863,1.1680663073948327
14,0.3614194362842157,0.22989207935246486,0.1752459059379134,1.176614168023231
15,0.36772579680653417,0.2304928137513187,0.15453019438608115,1.1527090351216132
16,0.38468935827625966,0.21824990109734302,0.16749703318566572,1.0800583092069607
17,0.3488150633129246,0.21915489487118472,0.16899014181602426,1.0952940206825745
18,0.3448558357081987,0.20062904014623606,0.15186993544806687,1.1095985536278425
19,0.3623979798081114,0.20032737600737446,0.16783688997654833,1.1165974512549277
20,0.36326100182238064,0.20864540058913336,0.16602913649718243,1.066699980140151
21,0.38406891183874825,0.2074717711400757,0.1438794139548809,1.0714501195632022
22,0.3798830191624783,0.2322822774707532,0.1762010886345484,1.0778311795842612
23,0.3178184008675394,0.19542359165412967,0.1538051865835478,1.0466288441649216
24,0.34054671357686017,0.1876526003177148,0.2168659298737358,1.0209572008453638
25,0.3166780517702481,0.19796309178733296,0.15594733066006614,0.9710869349950088
26,0.3403960149972383,0.2242652631951725,0.20119726624136808,1.0308154998407812
27,0.3512740695923906,0.1952486063740277,0.18339560861427412,1.0050671653421976
28,0.3383410543918669,0.18452988117104493,0.16197533652071852,1.0332254618963859
29,0.3452051022073693,0.18710703774577797,0.1614590889079955,1.0127549234489057
30,0.33227129096116603,0.19121993378568042,0.13849077293090675,1.0196693594911055
31,0.3360939208420763,0.1806519382597375,0.14819863602611189,0.9818452302863219
32,0.34510139581288274,0.17048078142418283,0.15180986501541996,0.9989745361149093
33,0.3492591714386318,0.17107484729497785,0.14036125424774473,0.9894678866815234
34,0.3407921700582337,0.16738567688425443,0.11424638877443785,0.9990070489916479
35,0.35058741728419246,0.15253800971233364,0.1397940172933019,0.9318450283239168
36,0.35709357516903045,0.17160177649721453,0.15310532162534396,0.9411946919182018
37,0.335341245518651,0.16759988896177705,0.1217289612335536,0.9203423768446183
38,0.34293139476431717,0.16012269389752348,0.1257121565999088,0.9502477736364333
39,0.3358223008497206,0.16555827125818873,0.13469424798037963,0.9218284019881354
40,0.344702840430711,0.1877314398389358,0.14946646732963215,0.9000623345491141
41,0.3677944369617352,0.16008643285425533,0.11573315963888657,0.8842087081283468
42,0.3617220609100304,0.1720500395524511,0.14644160203302892,0.912992108241906
43,0.34210510654183446,0.1660503678135041,0.1302992839427754,0.8341111640560873
44,0.3041932189250774,0.15824965318761355,0.1317539432692623,0.8022907242035144
45,0.31477362204606685,0.15753470077414697,0.136380410609442,0.8781982363976818
46,0.3305964328407072,0.1852922304091566,0.12885315136619663,0.8666416984302112
47,0.31091801166867156,0.16130587232025995,0.1230775278188508,0.8655209942046475
48,0.33587151474931604,0.1852177210501198,0.16451082191150831,0.8570679639678509
49,0.3441361763648219,0.1912373119608201,0.14907675886267446,0.855260353958957
50,0.30570173357539193,0.2014585309883897,0.16475337296092,0.8111055889383328
51,0.30336759348190073,0.17490523186285759,0.14597087294046016,0.8495365079241746
52,0.3455713173152535,0.17076249797891802,0.13594309629400086,0.8276981303041583
53,0.3341590903327336,0.1506501936407649,0.13078729943691014,0.8298770156300265
54,0.3418404466384867,0.17437765996250784,0.15492105480211524,0.8360960545391899
55,0.33605042787801964,0.18139431091685307,0.14146131666996464,0.8294943933589916
56,0.3335119456796117,0.17059784942958678,0.1255451387788472,0.8240818729173699
57,0.34453860796578384,0.17696490156807934,0.12493931138756932,0.7536239942278914
58,0.34207490837534427,0.17745662328862233,0.13123537061326118,0.767151481418761
59,0.35296032236782676,0.15004259553540114,0.10497736552228774,0.7976280816119751
60,0.3415097393120729,0.16970216640927124,0.13541829093220756,0.7822872062893521
61,0.3194831626971915,0.18451615200572555,0.14137353095611632,0.7904585966488065
62,0.3427656294671329,0.1654213576960363,0.1410653949769397,0.7690520351920275
63,0.3344394655344967,0.15515983561798463,0.1273692381974549,0.714144375967493
64,0.36239134703797793,0.18709447441065702,0.15702104654153848,0.7763606582188458
65,0.37138105089920764,0.1739722016530227,0.14025229609172174,0.7628676946705768
66,0.34393684918601003,0.17378875917619063,0.13721177394086845,0.6946794210065529
67,0.3338890433781861,0.17287766802858015,0.12398656205411934,0.6905534896856288
68,0.3424709746431074,0.1661599058256834,0.13280354551742965,0.7106558064900332
69,0.31064428203332456,0.17656501347945466,0.1354194915623301,0.7493400627332042
70,0.3471776084009452,0.16044448495040267,0.11430005544180641,0.7350464048772699
71,0.35250369939619086,0.17389007492953698,0.13532852149491612,0.7088883715705888
72,0.32066210403164286,0.17184631990531546,0.13652138380122,0.7328283743517293
73,0.34232663722240525,0.19334912235642562,0.1489851614322715,0.6888797142215763
74,0.3933604659799963,0.17942259264652263,0.13291994776180127,0.6746668455956611
75,0.39628852553032656,0.17042333234331497,0.14077801536461582,0.6962500143166979
76,0.34427990885034254,0.16522153418970537,0.12691134376012259,0.6895078269229413
77,0.35177454265338765,0.1523300037681349,0.10725637740945759,0.6265049812515465
78,0.34692367279417546,0.15702646417403657,0.1499528923028829,0.6944670396332719
79,0.3341605099484379,0.17247741996852806,0.12575406622451618,0.7034712899301592
80,0.32232803314635844,0.17559509709271484,0.1324879419268032,0.647293022824284
81,0.3523939224206343,0.15600692540717542,0.13699724914026554,0.6747653193977885
82,0.3701076280110965,0.15476634763733363,0.12956248398359774,0.6646201479657391
83,0.3316991418770928,0.15119510087631816,0.11914813445874847,0.6504640133520055
84,0.31651486156419284,0.17872410253796214,0.13061244478226416,0.6793254827665459
85,0.29558217533877096,0.17848232472712808,0.12453186636760888,0.6311092814845951
86,0.29641486514680737,0.16543646813505172,0.12948206682008126,0.6710186929609312
87,0.3290009666247202,0.1561279101217972,0.14534087387242434,0.6412619888532302
88,0.3817023363001595,0.18532495197625162,0.12055533642273984,0.6366522366253039
89,0.350834214867934,0.18697138195991383,0.12663397331679985,0.6241617346866123
90,0.33767625515573346,0.15252260582615285,0.11007612147055322,0.6418143185158763
91,0.3387953596479738,0.18414602656044468,0.15357700190132623,0.6564150499714326
92,0.3275304770826676,0.16540907274995528,0.13450053839669196,0.6614355392893544
93,0.33379623249671375,0.15188245041807827,0.1281017711548127,0.5902637568900889
94,0.3582898994752711,0.16602056546404118,0.13756195780083974,0.6759624875301874
95,0.353991025240754,0.17468748539033932,0.1386080780654577,0.6365516393537922
96,0.3216175696024705,0.1623128097317029,0.125975763978632,0.6432344313257808
97,0.3398501186596822,0.15857962970381784,0.1312054945419589,0.6381911544435568
98,0.34670170107601134,0.18548621147136518,0.13577047517041405,0.6198644291697992
99,0.3668599455268995,0.15780153202361502,0.1130451939712609,0.636703136262103
100,0.32168858631912944,0.15384357354793857,0.11512483576101208,0.5867470205829777
