epoch,mean,median,mode,std_dev,min,max,q1_25th,q3_75th,skewness,kurtosis
0,0.0003188017132779037,0.0,0.0,0.011783795988376523,-0.107684,0.109267,-0.00028825,0.00033224999999999997,0.5838530002127714,15.597549642747992
1,0.00017434517510707986,0.0,-0.0,0.011455396385227502,-0.114981,0.113515,-7.9e-05,6.7e-05,0.5741084239864637,19.09331738983926
2,0.00016390873015873018,0.0,-0.0,0.011235472580531848,-0.124336,0.162567,-4.6e-05,1.4e-05,0.40878712508285325,24.272301686499116
3,0.00019898343411438652,0.0,0.0,0.010857907879563105,-0.133981,0.171482,-6e-06,3e-06,0.2698458364117137,27.90422270521966
4,0.00017462843285462334,0.0,0.0,0.010782330703180043,-0.123214,0.18934,0.0,0.0,0.5991349196549104,31.312312572896253
5,0.00015539405391786344,0.0,0.0,0.010493733648842268,-0.124452,0.176086,-0.0,0.0,0.5287083880177221,30.61072226244618
6,0.0001612986898463089,0.0,-0.0,0.01027779067089224,-0.115589,0.182688,0.0,0.0,0.43491930958741887,36.251716154618414
7,0.00013270382968002013,0.0,0.0,0.010409343040472257,-0.111043,0.177632,0.0,0.0,0.3857439793848938,33.45269354187221
8,0.0001957342529604434,0.0,0.0,0.010164827825340136,-0.103766,0.167723,0.0,0.0,0.33736979668216854,35.27870379303449
9,8.032130259511215e-05,0.0,-0.0,0.01009860436018561,-0.104156,0.15601,-0.0,0.0,0.2190973877570576,33.96423224871513
10,0.00011302488032249937,0.0,0.0,0.00990297167972276,-0.102426,0.150777,-0.0,0.0,0.32643455152848105,35.45822550402466
11,7.104925673973297e-05,0.0,0.0,0.009940870307351938,-0.111575,0.153009,0.0,0.0,0.2409685639141613,37.14135654473268
12,0.00011886791383219953,0.0,0.0,0.009735564918725726,-0.11845,0.15021,0.0,0.0,-0.002917163595284519,37.85822154468514
13,5.6049319727891133e-05,0.0,-0.0,0.009822538189953522,-0.113311,0.147842,0.0,0.0,-0.19587633242790578,37.776966135133385
14,5.896283698664653e-05,0.0,0.0,0.009854660160199362,-0.117101,0.141752,0.0,0.0,-0.24286824313424882,36.726136452896185
15,4.5815885613504685e-05,0.0,-0.0,0.009893767048620713,-0.115395,0.146656,0.0,0.0,-0.09605266400611684,38.36909371950973
16,8.49622700932225e-05,0.0,-0.0,0.009486456606186962,-0.115309,0.147314,0.0,0.0,-0.13047392973360702,39.804747797844165
17,1.5191043083900221e-05,0.0,0.0,0.0095689698613977,-0.113589,0.143739,-0.0,0.0,-0.4696282216520255,40.569664417943535
18,3.3234693877551026e-05,0.0,-0.0,0.00956134839855285,-0.109815,0.142686,0.0,0.0,-0.1896839684978506,38.72255095161468
