epoch_number,neuron1_connection1,neuron1_connection2,neuron1_connection3,neuron1_connection4,neuron1_connection5,neuron1_connection6,neuron1_connection7,neuron1_connection8,neuron1_connection9,neuron1_connection10,neuron1_connection11,neuron1_connection12,neuron1_connection13,neuron1_connection14,neuron1_connection15,neuron1_connection16,neuron1_connection17,neuron1_connection18,neuron1_connection19,neuron1_connection20,neuron1_connection21,neuron1_connection22,neuron1_connection23,neuron1_connection24,neuron1_connection25,neuron1_connection26,neuron1_connection27,neuron1_connection28,neuron1_connection29,neuron1_connection30,neuron1_connection31,neuron1_connection32
16,5.401653,5.667909,-3.798783,0.262048,0.279545,5.000483,-3.445373,0.105399,5.418278,-0.224159,5.108897,5.239406,-3.599741,5.704094,-3.905750,-3.511139,0.083077,-3.761546,-3.929155,5.433766,5.335522,0.365651,-3.420231,-3.821292,5.222478,-3.294394,-3.780372,-4.013250,-0.323222,-3.183515,-3.826725,-3.786216
17,5.665923,5.938304,-3.987249,0.262048,0.279545,5.282090,-3.626419,0.105399,5.681583,-0.224159,5.389088,5.521189,-3.765126,5.972710,-4.081980,-3.676740,0.083077,-3.945622,-4.117996,5.715338,5.608854,0.365651,-3.587734,-3.991175,5.490763,-3.464389,-3.974082,-4.210047,-0.323222,-3.369173,-4.004855,-3.964118
18,5.959677,6.220356,-4.186790,0.262048,0.279545,5.553568,-3.822875,0.105399,5.943087,-0.224159,5.657462,5.788094,-3.941379,6.252212,-4.266479,-3.841887,0.083077,-4.127662,-4.313855,5.980106,5.871510,0.365651,-3.748697,-4.180029,5.770455,-3.646868,-4.179278,-4.387507,-0.323222,-3.526010,-4.184599,-4.144374
19,6.231513,6.479981,-4.366561,0.262048,0.279545,5.804224,-4.001814,0.105399,6.202590,-0.224159,5.920387,6.046268,-4.113164,6.513665,-4.443689,-4.011324,0.083077,-4.296597,-4.490132,6.240727,6.139100,0.365651,-3.917939,-4.361395,6.027670,-3.820493,-4.357563,-4.554117,-0.323222,-3.695274,-4.362442,-4.321782
20,6.499785,6.726989,-4.540151,0.262048,0.279545,6.053773,-4.188625,0.105399,6.454563,-0.224159,6.174358,6.324742,-4.297523,6.759610,-4.619390,-4.212622,0.083077,-4.474035,-4.643473,6.510823,6.383849,0.365651,-4.096745,-4.538453,6.300059,-3.989896,-4.538175,-4.728189,-0.323222,-3.868973,-4.547370,-4.508732
21,6.740425,6.992382,-4.715827,0.262048,0.279545,6.317008,-4.363753,0.105399,6.716058,-0.224159,6.442154,6.583755,-4.473032,7.037538,-4.791769,-4.378424,0.083077,-4.655510,-4.826454,6.776997,6.652289,0.365651,-4.260946,-4.709039,6.560013,-4.163456,-4.717349,-4.929276,-0.323222,-4.040560,-4.725524,-4.691257
22,6.999834,7.256712,-4.885458,0.262048,0.279545,6.582919,-4.519410,0.105399,6.968634,-0.224159,6.690810,6.833078,-4.657918,7.295815,-4.984551,-4.542390,0.083077,-4.839364,-5.007219,7.018133,6.905524,0.365651,-4.442919,-4.882742,6.809072,-4.323416,-4.886824,-5.095963,-0.323222,-4.190300,-4.903901,-4.868531
23,7.251606,7.490725,-5.067566,0.262048,0.279545,6.821341,-4.686453,0.105399,7.217083,-0.224159,6.940594,7.083551,-4.834108,7.552626,-5.146913,-4.712812,0.083077,-5.014795,-5.181404,7.275635,7.152481,0.365651,-4.615970,-5.053803,7.045706,-4.470001,-5.066543,-5.268921,-0.323222,-4.342714,-5.056684,-5.050592
24,7.486144,7.745208,-5.221485,0.262048,0.279545,7.052587,-4.842302,0.105399,7.446971,-0.224159,7.172389,7.316637,-5.005969,7.788697,-5.307116,-4.866118,0.083077,-5.163279,-5.327190,7.517730,7.388382,0.365651,-4.779001,-5.214447,7.297877,-4.622300,-5.238363,-5.439254,-0.323222,-4.493382,-5.200635,-5.217194
25,7.741691,7.981877,-5.397778,0.262048,0.279545,7.314749,-5.009162,0.105399,7.683838,-0.224159,7.418167,7.546340,-5.184607,8.046120,-5.489619,-5.029999,0.083077,-5.330094,-5.502446,7.762497,7.654298,0.365651,-4.939324,-5.376417,7.552440,-4.778555,-5.405784,-5.607039,-0.323222,-4.661045,-5.385363,-5.410218
