epoch_number,neuron1_connection1,neuron1_connection2,neuron1_connection3,neuron1_connection4,neuron1_connection5,neuron1_connection6,neuron1_connection7,neuron1_connection8,neuron1_connection9,neuron1_connection10,neuron1_connection11,neuron1_connection12,neuron1_connection13,neuron1_connection14,neuron1_connection15,neuron1_connection16,neuron1_connection17,neuron1_connection18,neuron1_connection19,neuron1_connection20,neuron1_connection21,neuron1_connection22,neuron1_connection23,neuron1_connection24,neuron1_connection25,neuron1_connection26,neuron1_connection27,neuron1_connection28,neuron1_connection29,neuron1_connection30,neuron1_connection31,neuron1_connection32
63,15.716370,15.947645,-11.071952,0.262048,0.279545,15.242400,-10.607313,0.105399,15.594839,-0.224159,15.405794,15.494429,-10.809472,15.968773,-11.194378,-10.599832,0.083077,-11.083737,-11.247936,15.648777,15.499236,0.365651,-10.524628,-11.053749,15.494194,-10.311708,-11.120408,-11.295828,-0.323222,-10.184383,-10.975016,-11.121261
64,15.918829,16.126471,-11.195839,0.262048,0.279545,15.425155,-10.736077,0.105399,15.768565,-0.224159,15.592223,15.667448,-10.949674,16.147915,-11.324525,-10.727333,0.083077,-11.211943,-11.383489,15.817908,15.680134,0.365651,-10.657991,-11.178082,15.665751,-10.441875,-11.254921,-11.431529,-0.323222,-10.300014,-11.116432,-11.256235
65,16.072613,16.311525,-11.312027,0.262048,0.279545,15.586270,-10.849733,0.105399,15.941876,-0.224159,15.756903,15.816998,-11.070127,16.313536,-11.442603,-10.843225,0.083077,-11.319176,-11.489086,15.980917,15.853601,0.365651,-10.778569,-11.306931,15.834374,-10.542064,-11.380678,-11.554122,-0.323222,-10.419740,-11.235508,-11.379496
66,16.243231,16.465849,-11.430892,0.262048,0.279545,15.751667,-10.965258,0.105399,16.105982,-0.224159,15.912076,15.989385,-11.209256,16.471113,-11.561984,-10.955644,0.083077,-11.441397,-11.598411,16.150812,16.013838,0.365651,-10.885473,-11.436703,15.988674,-10.651905,-11.495411,-11.671353,-0.323222,-10.526710,-11.363073,-11.510292
67,16.401913,16.628479,-11.567501,0.262048,0.279545,15.923321,-11.085227,0.105399,16.269230,-0.224159,16.074156,16.158396,-11.321537,16.652718,-11.667149,-11.085405,0.083077,-11.564996,-11.726643,16.320421,16.199846,0.365651,-11.011612,-11.557446,16.152109,-10.768478,-11.618729,-11.780513,-0.323222,-10.654749,-11.476735,-11.626916
68,16.576954,16.813671,-11.688616,0.262048,0.279545,16.110004,-11.210014,0.105399,16.433928,-0.224159,16.241293,16.345676,-11.434585,16.826645,-11.800419,-11.209113,0.083077,-11.696647,-11.858236,16.500221,16.373114,0.365651,-11.140019,-11.692780,16.333248,-10.906517,-11.751138,-11.925571,-0.323222,-10.765928,-11.602311,-11.748910
69,16.746307,16.978836,-11.809187,0.262048,0.279545,16.268234,-11.339551,0.105399,16.628866,-0.224159,16.418985,16.538174,-11.551988,16.987728,-11.954881,-11.331511,0.083077,-11.827231,-11.987047,16.665976,16.536430,0.365651,-11.256650,-11.809573,16.494711,-11.030583,-11.888340,-12.052332,-0.323222,-10.878863,-11.745908,-11.883123
70,16.921524,17.156561,-11.930383,0.262048,0.279545,16.440439,-11.462996,0.105399,16.799078,-0.224159,16.606810,16.698805,-11.671905,17.153290,-12.059191,-11.459837,0.083077,-11.927437,-12.098745,16.840832,16.702463,0.365651,-11.368606,-11.917241,16.675571,-11.142512,-12.008008,-12.173150,-0.323222,-11.004930,-11.857403,-12.002272
71,17.088907,17.322458,-12.052876,0.262048,0.279545,16.608860,-11.597462,0.105399,16.982315,-0.224159,16.768547,16.883888,-11.793712,17.332634,-12.184571,-11.581742,0.083077,-12.061535,-12.229703,17.037388,16.863609,0.365651,-11.495072,-12.039385,16.848886,-11.265237,-12.129431,-12.296611,-0.323222,-11.118547,-11.969525,-12.133655
72,17.246368,17.474974,-12.178520,0.262048,0.279545,16.779572,-11.711507,0.105399,17.149401,-0.224159,16.935175,17.049843,-11.916572,17.487692,-12.302334,-11.703159,0.083077,-12.183066,-12.358188,17.201376,17.020683,0.365651,-11.609208,-12.154460,17.006567,-11.381458,-12.234288,-12.426792,-0.323222,-11.247555,-12.084952,-12.244120
73,17.406937,17.639158,-12.306772,0.262048,0.279545,16.936279,-11.835336,0.105399,17.303944,-0.224159,17.092014,17.211330,-12.041196,17.635881,-12.407470,-11.813023,0.083077,-12.295389,-12.480991,17.353100,17.186954,0.365651,-11.726972,-12.273294,17.158138,-11.496306,-12.353049,-12.547051,-0.323222,-11.359896,-12.205068,-12.357216
74,17.566645,17.810665,-12.404660,0.262048,0.279545,17.103600,-11.946797,0.105399,17.477823,-0.224159,17.258278,17.372965,-12.165568,17.806122,-12.526426,-11.927312,0.083077,-12.404567,-12.610447,17.511135,17.368715,0.365651,-11.842193,-12.386627,17.326118,-11.613986,-12.472184,-12.667166,-0.323222,-11.464837,-12.328753,-12.477075
75,17.733904,17.968428,-12.517482,0.262048,0.279545,17.281282,-12.057556,0.105399,17.633530,-0.224159,17.408754,17.529551,-12.286500,17.955917,-12.658953,-12.050137,0.083077,-12.520270,-12.712805,17.674328,17.541168,0.365651,-11.962325,-12.508950,17.498598,-11.734689,-12.595884,-12.784066,-0.323222,-11.586209,-12.448185,-12.590907
76,17.869701,18.123360,-12.619962,0.262048,0.279545,17.430590,-12.160373,0.105399,17.793308,-0.224159,17.563417,17.688881,-12.392270,18.103905,-12.770092,-12.153031,0.083077,-12.626495,-12.833645,17.819618,17.688236,0.365651,-12.045968,-12.614918,17.643166,-11.839505,-12.701640,-12.889327,-0.323222,-11.696721,-12.548744,-12.702754
77,18.047220,18.285416,-12.746110,0.262048,0.279545,17.593859,-12.283924,0.105399,17.960419,-0.224159,17.716263,17.855288,-12.497753,18.267809,-12.891468,-12.270309,0.083077,-12.767453,-12.943676,17.997942,17.850044,0.365651,-12.161821,-12.724854,17.804049,-11.956448,-12.819245,-12.996540,-0.323222,-11.815434,-12.652870,-12.828980
78,18.221132,18.450562,-12.866633,0.262048,0.279545,17.776686,-12.398817,0.105399,18.131285,-0.224159,17.875813,18.023924,-12.612923,18.429283,-13.021405,-12.368744,0.083077,-12.900526,-13.064057,18.162710,18.013510,0.365651,-12.271801,-12.852397,17.972916,-12.074575,-12.925981,-13.124952,-0.323222,-11.933355,-12.773750,-12.946873
79,18.375122,18.615095,-12.979157,0.262048,0.279545,17.925203,-12.515717,0.105399,18.284016,-0.224159,18.010365,18.191505,-12.723078,18.576546,-13.127200,-12.480104,0.083077,-13.009439,-13.173965,18.313906,18.174837,0.365651,-12.385963,-12.968482,18.107782,-12.182364,-13.047843,-13.224609,-0.323222,-12.037019,-12.885033,-13.072709
80,18.528919,18.771072,-13.085644,0.262048,0.279545,18.093311,-12.639141,0.105399,18.440348,-0.224159,18.165434,18.351530,-12.838570,18.731997,-13.247412,-12.604252,0.083077,-13.128531,-13.292853,18.466272,18.323214,0.365651,-12.497931,-13.079979,18.271660,-12.312040,-13.177680,-13.348033,-0.323222,-12.155509,-12.990608,-13.180253
81,18.679724,18.932560,-13.191791,0.262048,0.279545,18.259684,-12.744034,0.105399,18.594194,-0.224159,18.316860,18.508303,-12.960227,18.909832,-13.370449,-12.721713,0.083077,-13.234656,-13.416924,18.625858,18.485804,0.365651,-12.598047,-13.195934,18.431580,-12.407374,-13.276688,-13.458261,-0.323222,-12.264458,-13.108591,-13.289701
82,18.844847,19.088310,-13.297371,0.262048,0.279545,18.415344,-12.850411,0.105399,18.743685,-0.224159,18.461401,18.665113,-13.072194,19.052055,-13.474865,-12.829695,0.083077,-13.348657,-13.529398,18.776020,18.648197,0.365651,-12.710813,-13.312256,18.591890,-12.513305,-13.391170,-13.575289,-0.323222,-12.373189,-13.216243,-13.407103
83,19.020350,19.255001,-13.405519,0.262048,0.279545,18.568413,-12.975022,0.105399,18.907408,-0.224159,18.611273,18.814795,-13.187669,19.201731,-13.597001,-12.941751,0.083077,-13.481916,-13.648654,18.943903,18.799833,0.365651,-12.838063,-13.418915,18.748232,-12.626506,-13.499584,-13.696535,-0.323222,-12.485106,-13.343568,-13.526199
84,19.175001,19.405939,-13.514268,0.262048,0.279545,18.735384,-13.080434,0.105399,19.052570,-0.224159,18.749170,18.953520,-13.292963,19.371679,-13.719317,-13.049203,0.083077,-13.581574,-13.749552,19.093088,18.944130,0.365651,-12.953896,-13.528595,18.900469,-12.726259,-13.603009,-13.803863,-0.323222,-12.587129,-13.439412,-13.632967
85,19.325668,19.564678,-13.632285,0.262048,0.279545,18.902464,-13.190564,0.105399,19.202440,-0.224159,18.900335,19.119558,-13.397915,19.509966,-13.838059,-13.160053,0.083077,-13.696797,-13.862157,19.254080,19.106903,0.365651,-13.072679,-13.649939,19.062111,-12.850089,-13.721566,-13.919873,-0.323222,-12.703681,-13.555517,-13.758445
86,19.493568,19.712687,-13.759023,0.262048,0.279545,19.058922,-13.307244,0.105399,19.346016,-0.224159,19.054926,19.256277,-13.508929,19.662546,-13.940668,-13.270667,0.083077,-13.792842,-13.968740,19.412827,19.246162,0.365651,-13.179478,-13.768494,19.201773,-12.957396,-13.824449,-14.039237,-0.323222,-12.810339,-13.674327,-13.874231
87,19.613848,19.869789,-13.867764,0.262048,0.279545,19.210058,-13.418221,0.105399,19.493538,-0.224159,19.220430,19.409525,-13.617859,19.828283,-14.060460,-13.372584,0.083077,-13.908827,-14.071722,19.549505,19.400763,0.365651,-13.298966,-13.879164,19.337513,-13.076207,-13.941051,-14.136966,-0.323222,-12.914199,-13.776941,-13.985199
88,19.768522,20.016584,-13.969172,0.262048,0.279545,19.357481,-13.527726,0.105399,19.655458,-0.224159,19.377991,19.551697,-13.721447,19.968018,-14.164880,-13.479408,0.083077,-14.020814,-14.174948,19.690756,19.543724,0.365651,-13.401218,-13.982368,19.481203,-13.185472,-14.040591,-14.245907,-0.323222,-13.029753,-13.879704,-14.100529
89,19.936312,20.162539,-14.078860,0.262048,0.279545,19.496370,-13.618509,0.105399,19.805384,-0.224159,19.529554,19.700521,-13.824341,20.125498,-14.284918,-13.601455,0.083077,-14.122983,-14.294185,19.835201,19.700737,0.365651,-13.513196,-14.089828,19.642288,-13.285020,-14.152706,-14.357884,-0.323222,-13.144449,-13.987688,-14.203359
90,20.103783,20.326105,-14.194896,0.262048,0.279545,19.661211,-13.745403,0.105399,19.947010,-0.224159,19.679304,19.850016,-13.953024,20.264084,-14.392391,-13.711714,0.083077,-14.233905,-14.397761,19.980303,19.859510,0.365651,-13.627021,-14.196640,19.788208,-13.391914,-14.274338,-14.469843,-0.323222,-13.265109,-14.100464,-14.321897
91,20.265409,20.483925,-14.317810,0.262048,0.279545,19.819117,-13.854480,0.105399,20.085857,-0.224159,19.834156,20.013681,-14.054357,20.434116,-14.512133,-13.811588,0.083077,-14.343999,-14.513711,20.128294,20.011187,0.365651,-13.762108,-14.315543,19.948149,-13.508261,-14.381319,-14.570580,-0.323222,-13.371676,-14.210389,-14.440140
92,20.414988,20.624050,-14.413138,0.262048,0.279545,19.940308,-13.948201,0.105399,20.227942,-0.224159,19.973181,20.150938,-14.159569,20.577112,-14.621119,-13.900393,0.083077,-14.451070,-14.607547,20.280869,20.167480,0.365651,-13.858005,-14.418327,20.089172,-13.607560,-14.484745,-14.664706,-0.323222,-13.466728,-14.309609,-14.531168
93,20.586432,20.789576,-14.515569,0.262048,0.279545,20.090616,-14.073388,0.105399,20.392857,-0.224159,20.128504,20.299549,-14.283077,20.737814,-14.737131,-14.013553,0.083077,-14.568086,-14.716101,20.435612,20.329967,0.365651,-13.959157,-14.540107,20.258348,-13.726492,-14.605115,-14.782170,-0.323222,-13.571795,-14.432169,-14.643542
94,20.743330,20.945168,-14.628676,0.262048,0.279545,20.243690,-14.185474,0.105399,20.537071,-0.224159,20.299650,20.436443,-14.385939,20.890182,-14.848960,-14.124563,0.083077,-14.673147,-14.833869,20.581280,20.480373,0.365651,-14.057587,-14.640102,20.401445,-13.823452,-14.705632,-14.908154,-0.323222,-13.683873,-14.535858,-14.755469
95,20.904688,21.091221,-14.739121,0.262048,0.279545,20.402048,-14.283748,0.105399,20.684631,-0.224159,20.450157,20.590784,-14.490801,21.032749,-14.942088,-14.243602,0.083077,-14.791668,-14.945624,20.752089,20.626705,0.365651,-14.167898,-14.749435,20.552490,-13.941469,-14.819412,-15.009155,-0.323222,-13.793053,-14.647083,-14.863215
96,21.053236,21.235971,-14.852861,0.262048,0.279545,20.556393,-14.383220,0.105399,20.841017,-0.224159,20.610327,20.736067,-14.599625,21.193342,-15.058887,-14.351316,0.083077,-14.896609,-15.039978,20.912510,20.771492,0.365651,-14.267761,-14.864414,20.705240,-14.042222,-14.939809,-15.103622,-0.323222,-13.904874,-14.739444,-14.988817
97,21.199474,21.370453,-14.960007,0.262048,0.279545,20.692476,-14.486814,0.105399,20.971418,-0.224159,20.745266,20.884134,-14.706644,21.357275,-15.158420,-14.440805,0.083077,-15.011824,-15.159470,21.069445,20.911478,0.365651,-14.378146,-14.967631,20.861063,-14.153761,-15.046189,-15.213655,-0.323222,-14.013235,-14.848575,-15.099442
98,21.334373,21.537764,-15.070025,0.262048,0.279545,20.832296,-14.592474,0.105399,21.143478,-0.224159,20.876965,21.042013,-14.812197,21.516512,-15.277497,-14.550158,0.083077,-15.116195,-15.263580,21.219156,21.059366,0.365651,-14.480300,-15.072832,21.010612,-14.278271,-15.154969,-15.327662,-0.323222,-14.110502,-14.959697,-15.198668
99,21.467833,21.690779,-15.174129,0.262048,0.279545,20.971130,-14.707954,0.105399,21.281643,-0.224159,20.995899,21.187128,-14.916760,21.650499,-15.381502,-14.655172,0.083077,-15.212791,-15.368202,21.347029,21.196583,0.365651,-14.568226,-15.189026,21.154240,-14.368092,-15.244431,-15.425474,-0.323222,-14.214765,-15.066852,-15.294926
